,metric,variation 1,variation 2,variation 3,variation 4,variation 5,direct translation
variation 1,pearson,1.0,0.9698499769931556,0.7337299956962472,0.8501067391385259,0.6231762238821174,0.0017062493689195964
variation 2,pearson,0.0,1.0,0.8501067391385259,0.7913367801006604,0.5205228832757727,0.0005828399431792743
variation 3,pearson,0.0,0.0,1.0,0.3447042220069576,0.3846730627355087,0.00032983852077799353
variation 4,pearson,0.0,0.0,0.0,1.0,0.8501067391385259,0.00043963875262656454
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.00728455700947966
direct translation,pearson,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.9698499769931556,0.9097218891455553,0.6231762238821174,0.5707503880581739,0.0022022199424970783
variation 2,spearman,0.0,1.0,0.7913367801006604,0.8501067391385259,0.6231762238821174,0.0005828399431792743
variation 3,spearman,0.0,0.0,1.0,0.5205228832757727,0.4273553138978077,0.0005828399431792743
variation 4,spearman,0.0,0.0,0.0,1.0,0.8501067391385259,0.0005828399431792743
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.011329696684474665
direct translation,spearman,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.9698499769931556,0.8501067391385259,0.7337299956962472,0.5707503880581739,0.0028272720911168077
variation 2,accuracy,0.0,1.0,0.9698499769931556,0.7337299956962472,0.5707503880581739,0.0005828399431792743
variation 3,accuracy,0.0,0.0,1.0,0.6231762238821174,0.3846730627355087,0.0010079762403767444
variation 4,accuracy,0.0,0.0,0.0,1.0,0.8501067391385259,0.0005828399431792743
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.0211339281291611
direct translation,accuracy,0.0,0.0,0.0,0.0,0.0,1.0
