,metric,similarity-trained AE,similarity-trained VAE,pre-similarity-trained VAE,AE with classifier,CPA-based AE,direct translation AE
similarity-trained AE,pearson,1.0,0.0010079762403767444,0.00032983852077799353,0.7337299956962472,0.9097218891455553,0.00018267179110955002
similarity-trained VAE,pearson,0.0,1.0,0.21229383619233155,0.0013149446697132139,0.0010079762403767444,0.5205228832757727
pre-similarity-trained VAE,pearson,0.0,0.0,1.0,0.00024612812790522973,0.00032983852077799353,0.47267559351158717
AE with classifier,pearson,0.0,0.0,0.0,1.0,0.6775849579524755,0.00018267179110955002
CPA-based AE,pearson,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation AE,pearson,0.0,0.0,0.0,0.0,0.0,1.0
similarity-trained AE,spearman,1.0,0.0013149446697132139,0.00018267179110955002,0.6775849579524755,0.5205228832757727,0.00018267179110955002
similarity-trained VAE,spearman,0.0,1.0,0.16197241048012612,0.0017062493689195964,0.0013149446697132139,0.3074894566186813
pre-similarity-trained VAE,spearman,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.16197241048012612
AE with classifier,spearman,0.0,0.0,0.0,1.0,0.7337299956962472,0.00018267179110955002
CPA-based AE,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation AE,spearman,0.0,0.0,0.0,0.0,0.0,1.0
similarity-trained AE,sign accuracy,1.0,0.0013149446697132139,0.00018267179110955002,0.7337299956962472,0.6775849579524755,0.00018267179110955002
similarity-trained VAE,sign accuracy,0.0,1.0,0.14046504815835495,0.0017062493689195964,0.0013149446697132139,0.3846730627355087
pre-similarity-trained VAE,sign accuracy,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.14046504815835495
AE with classifier,sign accuracy,0.0,0.0,0.0,1.0,0.6775849579524755,0.00018267179110955002
CPA-based AE,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation AE,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0
