,metric,direct translation,similarity-trained AE,similarity-trained VAE,pre-similarity-trained VAE,AE with classifier,CPA-based AE,direct translation AE
direct translation,pearson,1.0,0.0036105143123296027,0.0028272720911168077,0.00579535854433471,0.0022022199424970783,0.00728455700947966,0.0211339281291611
similarity-trained AE,pearson,0.0,1.0,0.7913367801006604,0.9698499769931556,0.5205228832757727,0.6231762238821174,0.4273553138978077
similarity-trained VAE,pearson,0.0,0.0,1.0,0.7913367801006604,1.0,0.6775849579524755,0.3846730627355087
pre-similarity-trained VAE,pearson,0.0,0.0,0.0,1.0,0.6231762238821174,0.5707503880581739,0.5205228832757727
AE with classifier,pearson,0.0,0.0,0.0,0.0,1.0,0.3447042220069576,0.24132159301718004
CPA-based AE,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.7337299956962472
direct translation AE,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
direct translation,spearman,1.0,0.0036105143123296027,0.004586392080253494,0.00728455700947966,0.0022022199424970783,0.00728455700947966,0.025748080821108063
similarity-trained AE,spearman,0.0,1.0,0.8501067391385259,0.6775849579524755,0.5707503880581739,0.8501067391385259,0.3846730627355087
similarity-trained VAE,spearman,0.0,0.0,1.0,0.9097218891455553,0.7913367801006604,0.6775849579524755,0.3846730627355087
pre-similarity-trained VAE,spearman,0.0,0.0,0.0,1.0,1.0,0.3846730627355087,0.4273553138978077
AE with classifier,spearman,0.0,0.0,0.0,0.0,1.0,0.21229383619233155,0.27303633975118835
CPA-based AE,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.5707503880581739
direct translation AE,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
direct translation,sign accuracy,1.0,0.004586392080253494,0.00579535854433471,0.011329696684474665,0.0022022199424970783,0.00728455700947966,0.025748080821108063
similarity-trained AE,sign accuracy,0.0,1.0,0.9097218891455553,0.6775849579524755,0.5707503880581739,0.7913367801006604,0.4273553138978077
similarity-trained VAE,sign accuracy,0.0,0.0,1.0,0.8501067391385259,0.7913367801006604,0.6231762238821174,0.3846730627355087
pre-similarity-trained VAE,sign accuracy,0.0,0.0,0.0,1.0,0.9097218891455553,0.3447042220069576,0.47267559351158717
AE with classifier,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.27303633975118835,0.3074894566186813
CPA-based AE,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.6775849579524755
direct translation AE,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
