,metric,similarity-trained AE,similarity-trained VAE,pre-similarity-trained VAE,AE with classifier,CPA-based AE,direct translation AE
similarity-trained AE,pearson,1.0,0.0022022199424970783,0.0022022199424970783,0.6775849579524755,0.9097218891455553,0.00018267179110955002
similarity-trained VAE,pearson,0.0,1.0,0.9097218891455553,0.004586392080253494,0.0036105143123296027,0.3846730627355087
pre-similarity-trained VAE,pearson,0.0,0.0,1.0,0.0022022199424970783,0.0028272720911168077,0.18587673236587576
AE with classifier,pearson,0.0,0.0,0.0,1.0,0.8501067391385259,0.00018267179110955002
CPA-based AE,pearson,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation AE,pearson,0.0,0.0,0.0,0.0,0.0,1.0
similarity-trained AE,spearman,1.0,0.0028272720911168077,0.0022022199424970783,0.7913367801006604,0.8501067391385259,0.00018267179110955002
similarity-trained VAE,spearman,0.0,1.0,0.7913367801006604,0.0028272720911168077,0.0013149446697132139,0.3846730627355087
pre-similarity-trained VAE,spearman,0.0,0.0,1.0,0.0028272720911168077,0.0036105143123296027,0.21229383619233155
AE with classifier,spearman,0.0,0.0,0.0,1.0,0.7913367801006604,0.00018267179110955002
CPA-based AE,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation AE,spearman,0.0,0.0,0.0,0.0,0.0,1.0
similarity-trained AE,sign accuracy,1.0,0.0013149446697132139,0.0028272720911168077,0.9097218891455553,0.7337299956962472,0.00018267179110955002
similarity-trained VAE,sign accuracy,0.0,1.0,0.8501067391385259,0.0022022199424970783,0.0013149446697132139,0.3846730627355087
pre-similarity-trained VAE,sign accuracy,0.0,0.0,1.0,0.0028272720911168077,0.0036105143123296027,0.18587673236587576
AE with classifier,sign accuracy,0.0,0.0,0.0,1.0,0.7337299956962472,0.00018267179110955002
CPA-based AE,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation AE,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0
