,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
aRhIgG_gp120_ZM109F,0.00014505253,-0.00012652238,1.4701286e-06,-9.1274815e-05,0.00018103536,-4.1821124e-05,0.00011214786,-0.00031790737,-4.640469e-05,-0.00011061444,-4.982407e-05,-0.00010462472,7.687855e-05,-0.00010525844,7.6280536e-05,0.00011234839,-8.2633625e-05,6.837516e-05,-0.00010748041,2.5185505e-05,6.275854e-05,-1.472104e-05,0.00023999723,0.00017830808,0.00011054414,7.1869625e-05,4.5239267e-05,0.00014394555,3.6854704e-05,-0.00012858759,0.00016348428,6.7901485e-05
aRhIgG_Barouch_Boost,0.00012179442,0.00016830789,-7.57195e-05,-0.00016194327,0.00056005386,-0.0003287949,-2.5520792e-05,-0.0007662126,2.4278852e-05,-0.00066227315,-8.0153746e-05,0.00014783995,0.00058141607,-0.0002473451,-5.972044e-05,0.00011236421,-0.00041210392,0.00033951184,-0.00010901587,-5.3683576e-05,0.0005247238,-0.00038212806,0.0003548441,0.00034904556,-8.4859945e-05,0.000102321916,-0.000118732634,0.0002923748,0.000113838716,-0.00058518036,0.0007575407,-1.2976976e-05
aRhIgG_gp120_CN54,-9.7069475e-05,1.6920492e-05,-1.5450845e-05,-7.4038326e-05,0.0001412298,-3.2976684e-06,-5.8564678e-05,-1.2983329e-05,5.6953522e-06,-1.7864583e-06,5.3400316e-05,-2.8438395e-05,-4.0955565e-05,5.979773e-05,-6.504748e-05,7.799282e-05,0.00014151749,3.3345597e-05,-7.822831e-05,-4.30619e-05,1.9351404e-05,5.6789373e-05,4.03499e-05,-5.9577367e-05,6.585681e-05,-0.00018258352,-5.6082306e-05,7.908761e-07,0.00027561505,5.348863e-06,-0.000120359684,0.000112075875
aRhIgG_HIV_p7,-0.00011257715,0.00011181871,-7.712798e-05,6.903569e-05,8.643485e-05,6.930263e-06,-0.0001424829,8.523766e-05,0.00027865806,0.0001808161,-9.5036645e-05,1.7099232e-05,0.00030131376,5.5172917e-05,5.2321124e-05,1.9875717e-05,0.00015630471,0.00020187757,-8.936015e-05,-0.0001846408,-0.000101081525,-0.00026053528,9.6948424e-05,0.0001581745,-0.00014978716,-2.8495706e-05,-5.0410836e-05,-0.00016962748,0.00016020288,-0.00058027863,0.00011961258,-0.00024321556
aRhIgG_Barouch_Prime,0.00011480454,-0.00035708662,0.0003851526,-5.0493825e-05,-0.0007288982,0.0011847618,0.00016505383,0.0013011446,-6.101583e-05,0.00035872086,0.00010552192,-0.00018158385,-0.0010716346,0.0004996437,3.0959683e-05,-7.6620236e-05,0.0004150328,-0.0006840512,-0.00014324191,1.9088624e-05,-0.00034504742,0.00020682567,-0.00082419213,-0.0007771095,-7.5418e-05,0.00023002512,-0.00028073083,0.00022343798,-0.00019341058,0.001542279,-0.0010307676,-0.00026645532
aRhIgG_Gag,0.0002266745,3.9048813e-05,4.4885328e-05,-0.0002794602,0.00030262786,0.00011815677,0.00016272534,4.070426e-05,-0.000117166266,-0.00034570752,0.00017359485,-0.00017033862,8.140072e-06,-0.00011820766,2.5752122e-05,0.00022102061,7.3699644e-05,0.00041711587,-0.00016169762,3.8985007e-05,0.00036123567,2.8365062e-06,0.00010785437,-4.4324646e-05,0.00015674245,-1.6450154e-05,-3.0968335e-05,-5.4277214e-05,1.7053257e-05,9.069988e-05,-0.0002461717,7.330857e-05
aRhIgG_gp120_BAL,-0.00017829327,-0.00010626487,-0.000116948744,4.912885e-05,5.1136743e-05,-5.1486393e-05,-0.00016606647,9.056743e-05,0.00015630976,7.648583e-05,1.5431682e-05,7.175699e-05,-0.00015686528,-5.67969e-05,-8.8358654e-05,9.156098e-06,0.00015393311,3.3899767e-05,-0.0001895215,-0.00015137949,-8.3288425e-05,3.591673e-05,4.4253917e-05,-0.00011486361,2.6180494e-05,-7.1701084e-05,-0.00012329729,0.00014951147,0.00021432101,-0.00014890399,-0.00029299007,-3.0329431e-05
aRhIgG_gp120_YU2,3.9111696e-05,0.00011822134,3.0008214e-05,-8.343293e-05,1.6400032e-05,7.1046634e-05,3.172428e-05,0.00028132898,9.2556445e-05,7.7736e-05,8.802858e-05,-0.00010631691,-0.00029248054,9.049434e-06,9.206139e-06,3.3608576e-05,0.00016784015,5.6229892e-05,4.4541213e-07,-8.3019935e-05,1.1183231e-05,0.00012717358,-0.00012355276,0.00012165156,-0.000107047534,-1.4297775e-05,2.069939e-05,-0.00011997928,5.4078188e-05,7.518725e-05,-8.136029e-05,-0.0002263779
aRhIgG_RSC3_gp120,0.00012421673,-6.0542654e-05,9.732501e-06,-0.00010677339,-6.698952e-05,0.00040452625,4.598545e-05,0.00028496262,0.00023639706,5.749195e-05,-0.00022489477,-0.00012684618,-0.000488541,7.8689576e-05,8.3498184e-05,-5.7842544e-06,0.00018490595,5.330716e-05,6.8160293e-06,-6.337785e-05,4.8536556e-05,-4.8485617e-05,-0.00020122384,-3.977076e-06,-4.92352e-05,0.00016781564,6.898727e-05,0.00030113623,-3.5678735e-05,0.00015841666,-0.00011543853,-7.3626026e-05
aRhIgG_1086_gp120,1.2984008e-05,0.00016758422,-6.521682e-05,-0.00013011986,0.00033695556,-0.0003699765,-0.00010096233,-0.00049435924,2.4450937e-05,-0.00015198938,5.6341694e-05,-7.622163e-05,0.0003382515,-0.00032081254,6.1567196e-05,8.455097e-05,-1.1258431e-05,0.00029793492,-0.00010539467,-3.123318e-05,0.0001976049,-0.00017075472,0.00050434144,0.00036293894,-2.1150918e-06,-1.5422753e-05,0.00012043755,-6.9762704e-05,4.599433e-05,-0.00060318224,0.0004051543,-6.529085e-05
