"",feature,species
1,aRhIgG_Barouch_Prime,primates
73,FcgR2AH_Barouch_Prime,primates
145,FcgR2AH_gp140_BR29,primates
217,FcgR2AR_gp120_BAL,primates
289,FcgR2AR_Boost,primates
361,R3A_1_gp140_BR29,primates
433,R3A_3_gp41_HxBc2,primates
505,FcgR3AV_1086_gp120,primates
577,FcgR3AF_gp120_CN54,primates
649,FcgR3AF_gp140_BR29,primates
721,FcgR3AF_Boost,primates
793,FcgR3AF_gp120_JRCSF,primates
865,C97_wk28,primates
11,primary_v2_gp70_v1v2_zollapazner,human
282,toggle_v2_cyclic_peptide_42aa,human
563,secondary_gt_igg_244_gdneg,human
844,secondary_gt_igg_HxB2new8bcore_diff,human
1125,secondary_gt_igg_YU2gp120oldcore_diff,human
1406,IgG_C1086C_V1_V2Tags,human
1687,IgG_gp70V1V2A,human
1968,IgG_gp70V1V2C,human
2249,IgG_gp70V1V2CaseA2,human
2530,IgG_gp70_BCaseA2V1V2169K,human
2811,IgG3_CC_C1086C_V1_V2Tags,human
3092,IgG3_CC_gp70V1V2C,human
3373,IgG3_CC_gp70V1V2CaseA2,human
3654,IgG3_CC_gp70_BCaseA2V1V2169K,human
