,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
aRhIgG_gp120_ZM109F,0.0056601926,-0.00044634813,-0.0006431832,0.0012273289,-0.00048676366,0.00033234162,0.0011836583,0.0031307878,0.0034856454,0.002922745,0.004537101,0.0067686527,0.007118964,0.0063889856
aRhIgG_Barouch_Boost,0.003497291,0.00011447682,0.001569021,0.0034652029,0.0027666776,0.0011424075,0.00149674,0.0032060668,0.0031756999,0.0026009097,0.00026913985,0.0024642071,0.0027129643,0.002919424
aRhIgG_gp120_CN54,-0.0024332786,-0.00086179376,-0.00017908338,7.574592e-05,-0.00027195242,0.00054960226,-0.00045546584,-0.0007076401,-0.0005692686,-0.00044940284,-0.0027382623,-0.0039550774,-0.004197261,-0.0031769294
aRhIgG_HIV_p7,0.0023044974,0.0016943178,0.0005037905,-0.0007528379,-0.0008441482,-5.486003e-05,0.0002817563,0.00072443276,0.0005683533,0.0002900461,0.001776988,0.0015552905,0.0014940589,0.001197026
aRhIgG_Barouch_Prime,0.001340259,0.0032302358,0.0027415273,0.00070798653,0.0009854817,0.0023797571,0.0015323706,0.0012399321,0.0016702063,0.0019664562,0.00096575945,0.00057787105,0.0001449014,0.0012183688
aRhIgG_Gag,0.0025162392,0.0015448174,0.00110591,-0.00019060462,-0.00012343167,0.0017388281,0.00055501756,0.0021675841,0.001906772,0.0016514327,0.0019743931,0.0020216834,0.0016730758,0.0014247814
aRhIgG_gp120_BAL,-0.0012609937,-0.0046347287,-0.0030021057,-0.0014895173,-0.0027225008,-0.0013166,-0.0023994644,-0.00080487266,-0.0005994648,-0.00076895143,-0.00044396718,0.0005847528,0.0007743523,0.00079523626
aRhIgG_gp120_YU2,0.0027530496,0.00018485014,0.00034953377,0.001988802,0.001128633,-0.00010928587,-0.00019991517,0.0025280614,0.0015384955,0.00056254014,-0.0006547787,0.0011838762,0.0014330584,0.00031387524
aRhIgG_RSC3_gp120,-0.00016863996,-0.0006376374,-0.0006959821,-0.00016920942,-0.0003140484,-0.00011484783,-0.0005597105,-2.592128e-07,-9.211975e-05,-6.349611e-05,0.0006932378,0.0019694942,0.0025613506,0.0026301986
aRhIgG_1086_gp120,-0.0026679733,-0.0009952885,-0.0019773063,-0.002491396,-0.0035991806,0.00048773125,-0.00073958136,-0.0017255268,-0.0012304119,-0.00033105328,-0.00047459392,-0.0016092415,-0.0013456439,-0.00046931647
aRhIgG_gp140_BR29,0.0023268594,0.001070982,0.0010407628,0.0004304002,-0.00012388384,0.0019188358,0.0014620378,0.001676748,0.0022297103,0.0025785272,0.002847647,0.0031587682,0.0028300756,0.0039477646
aRhIgG_gp41_HxBc2,-0.000793221,0.0019284943,0.0018847268,0.002913016,0.0023476635,0.0014291479,0.0007755652,-0.0007752296,0.00017997039,0.0008021106,-0.002958614,-0.0036302796,-0.004711552,-0.0027179108
aRhIgG_p24_HxBc2,0.0034778486,0.0025776853,0.0023793986,0.0008604728,0.0010799612,0.0022582351,0.0022608277,0.002838789,0.002679746,0.0025663245,0.003075898,0.0028651394,0.0025323257,0.0025861205
aRhIgG_Boost,-0.003346709,0.0009363904,0.00065667916,-0.0015302983,-0.0008223394,0.00049694057,-0.0006030528,-0.0012323703,-0.0015839392,-0.0013012658,-0.0012225119,-0.0028942355,-0.002945804,-0.002669684
aRhIgG_p17_Clade_C,-0.0038970483,0.0022103426,-0.00051143236,-0.0043915836,-0.003352173,0.00011113766,-0.0013887564,-0.002682141,-0.003103054,-0.002326546,0.0005977535,-0.0018708528,-0.0013421891,-0.0019125803
aRhIgG_gp120_CM235,0.0011395314,-0.000946522,0.0001910493,0.0008536337,0.0006542176,-0.00015974008,9.699173e-06,0.0013059729,0.0009879022,0.00055175717,-0.00030048765,0.000999607,0.0011269152,0.00077276374
