,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32
PC1,-0.06766687579213851,0.1269494724189754,-0.0020331250365216297,-0.04234327525570833,-0.1634252257529494,0.026481564106681475,0.44075374383052707,-0.015046863176895459,0.15118455597336222,-0.04537781914991003,-0.24465799392852333,0.015596418154831326,-0.2288174416829777,0.13756215747727257,0.0040850741965286815,0.16947730985252338,0.11498293350162939,0.0995814407480071,0.05757389623049773,-0.07912580035457203,-0.2014347350830854,-0.32145011298649817,-0.2484681600174584,-0.07558516596939534,0.2629023213025304,0.3746274688683925,0.10669148402055914,-0.014163779403995113,-0.18573403204732758,-0.04924460263704635,-0.014763443806051695,0.4090699822529375
PC2,-0.019974851156582075,-0.1064349728065989,0.04966466854584507,0.014619522820268738,0.1673094815935699,-0.04932586074572489,-0.15161540122057657,-0.10883806871894523,-0.19087503519400775,-0.05248251341990443,-0.12695251422309523,-0.17257488733827514,0.06285469788258534,-0.013123257773154883,0.04092759106145309,0.008369308881577175,0.09733122203471568,-0.15932758123109494,0.013795832919975964,-0.2956041194379687,0.13309688635670663,0.001886923198027682,-0.12299380339266863,-0.11937630880234669,-0.09986257350864736,0.032039421760705476,-0.1412607288269799,0.0060898366421081405,0.09272501197047923,0.11220906552836223,0.11323334688958878,-0.1088397513213722
PC3,-0.06513624569775205,-0.21694887286431377,-0.042694026712588595,-0.012160511175664602,0.11630491969172074,-0.036291016898641615,-0.17495139810844101,-0.04865078223752467,0.1264620948998903,0.13904608283784067,0.11458678616183755,-0.19136843486394933,-0.024700243100965392,-0.04624500922711172,-0.06834506588269036,-0.18187578201434762,0.08411441594182853,-0.01186241760244117,-0.06279292264485009,-0.04168476024242776,0.15937371202855982,-0.025198539746046446,-0.11436688290347245,0.13898708318474234,0.12433251031591686,0.11078929872764043,0.1921152609276255,0.07420721886629655,0.08423626480122551,-0.06296749619621071,0.09195823149969211,0.10575048568665449
PC4,-0.06639772717362319,-0.15798862379468828,0.1270289845917672,-0.06805613836144583,-0.07186350014329215,-0.08095930474724553,-0.12011317203536684,0.04458833930511781,0.05013796573217497,0.012184394292371859,0.10761106578189064,0.02027842308471271,0.015695028064236408,-0.12675770002120001,0.0464588353565928,-0.09885746985067614,-0.08857700674453275,0.03820917620061548,-0.10704755740651473,-0.07243751273310543,-0.10804636310915205,-0.0017823237233167255,-0.07279152017883612,0.030273253323853666,-0.11452094933489101,-0.026139353713724917,-0.11973025716666597,-0.08692766799262155,0.025301426805332178,0.06111246316066068,0.08318827706769168,0.0473012112685093
PC5,0.06037148740154994,-0.026990897668295193,0.21358790894800883,-0.02057129518469265,-0.04724981618727195,-0.08717376787020512,0.031183999605444816,0.11965994481697324,-0.09122579838492081,-0.03764952798720482,-0.140852545878467,-0.10474315545311721,-0.00626103706538807,-0.05187377645994229,0.018839628954076714,0.10877035686234322,0.1874336571832897,-0.05096497217356414,0.02292776176762782,-0.10728611567980026,-0.07988714638350658,-0.07562047339727265,0.04514291140039968,0.07762794077334241,-0.0767620870777137,0.00031476200277933964,-0.14364765456435205,-0.09253182635195452,0.07445701715745744,0.10940535678707404,0.10092183685236382,0.07874005265488801
PC6,0.04874052409916567,0.03438368867154315,0.021029197322610056,0.15282988713040396,0.19370030936698446,-0.05602117318545317,-0.04800347777908026,-0.017212384907169177,0.08439356582699158,0.11230825609876201,-0.09006597254853417,0.04371837712599519,0.025595968390991736,0.0707908975717886,-0.027046578321022946,0.09966004374277612,0.042555963085006226,0.17886507125302628,-0.04742135569037083,-0.07157358673823348,0.10397531054067177,0.036132227599131386,-0.029499912844428638,0.059339765668255426,0.08250626322387987,-0.13000492027551055,0.0649721545120763,0.22053766536666375,-0.001923859742919945,0.1229234702598144,-0.048034396103517264,0.03347409389738927
PC7,0.0708467986778314,0.10075388688816375,0.10387928098942241,0.09225387913193078,0.14858883923490643,-0.20120526047948561,-0.023354256658471313,-0.1407724990830847,-0.02635420628033346,-0.1118348831434631,-0.0977315905925191,-0.05527370346522653,0.002583696992306206,0.04555478202037962,0.0392941213817217,-0.19513467957245523,0.009543180915950713,-0.01846557281726767,0.10463893055547788,-0.018696101436887557,0.07034585320332545,0.10409784479125694,-0.095695762078043,0.0022807534205296076,-0.018284236826838163,0.01132476401072438,-0.018493925722852453,0.026617489606252633,-0.061297998508704724,0.01858863048856948,-0.06101789852581736,-0.05801606524718854
PC8,-0.06655512063030103,0.014820111733293445,0.14160747763077158,-0.01612524120112012,-0.019871551572487843,-0.039122226561458986,-0.0015675228043742918,-0.13979201268988123,0.005910596182881758,0.021409792357753595,-0.08397814544974018,0.017922012272369912,-0.07037751593084436,0.038488857509835404,0.13667741427299135,0.08717269702021693,-0.04676688919800398,-0.15570539447775805,0.02649399753691569,-0.07829068719046926,-0.050931698981575055,0.08366403642204197,-0.10035656493548126,-0.07107849418792693,-0.14538694385691153,0.09889597760000803,0.05119559779848952,-0.022737839350293415,0.0775000942351605,-0.03926636063570037,0.13003510151048356,0.0334503977860461
PC9,-0.01037018980364628,-0.05185732768595015,0.007595371161925918,0.06311636748168482,0.03695727793618778,0.01379037669319308,-0.003647535495713279,0.07220376245644457,-0.014817922831420516,0.09049762869823388,0.01716206222681328,0.04768731398665089,0.07693030795305858,-0.21520880826870573,0.056102117020316464,0.057066520474892544,3.559309729611031e-05,0.0051561158983021325,0.03044096785066037,-0.02320478283343521,-0.07517689541943229,-0.03503800575244423,-0.006790930652146932,-0.014269731795193247,0.03308773703575994,-0.06034784850670364,0.021775390337245303,0.04059408356874248,0.0029372160858758796,0.06290770939327925,0.13839111175258592,0.01940719253634556
PC10,-0.05523395433072399,0.1024495245676857,0.0046909482931967224,-0.1307142159697743,0.020925893602862396,-0.04119763599716871,-0.015509331731031775,-0.06859946740285733,0.08144403625321048,0.007473270079845579,0.07002839911356049,-0.08201644938231116,-0.09207503521475971,-0.04490268955049016,0.10215025497150351,-0.048711096619289955,0.05845673285415591,-0.012575627536050949,-0.017637897681966254,-0.06822707569915569,0.07486204165972037,-0.02305468867962613,0.0748189849240477,-0.06520430698966825,0.060899847121404484,-0.0006917778466144553,0.0988377985043012,-0.0817860511201295,-0.018780121852127733,-0.054404964750717655,-0.013656118595040515,-0.0291834651719645
