,F1,Accuracy,F1Species,AccuracySpecies,F1_global,Accuracy_global,F1Protection,AccProtection,recon_pear_primates,recon_pear_human,recon_r2_primates,recon_r2_human,latent_human_pear,latent_mouse_pear,KNNTranslationF1,ClassifierTranslationF1,KNNTranslationAcc,ClassifierTranslationAcc
0,0.981132075,0.972972973,1,1,0.981132075,0.972972973,0.819672131,0.702702703,0.842046142,0.941409171,0.495869637,0.834377885,-0.038537815,0.023037145,1,1,1,1
1,0.984126984,0.972222222,1,1,0.984126984,0.972222222,0.838709677,0.722222222,0.85709101,0.897141337,0.516635001,0.569536626,-0.00551081,-0.093879342,1,1,1,1
2,0.947368421,0.914285714,1,1,1,1,0.888888889,0.8,0.670895278,0.907363117,-0.604315698,0.675244391,-0.027970983,-0.115084045,1,1,1,1
3,0.852459016,0.742857143,1,1,0.961538462,0.942857143,0.8,0.714285714,0.617024481,0.943355739,-1.221324563,0.790698171,-0.002769683,-0.051146016,1,1,1,1
4,0.983606557,0.971428571,1,1,0.923076923,0.857142857,0.813559322,0.685714286,0.795899034,0.91211462,-0.281934321,0.529463947,-0.001386928,0.030286921,1,1,1,1
5,0.981132075,0.971428571,1,1,0.981132075,0.971428571,0.771929825,0.628571429,0.881315529,0.926558614,0.260154992,0.707526922,0.038193643,0.109062627,1,1,1,1
6,1,1,1,1,1,1,0.885245902,0.8,0.886005342,0.846657634,0.53753233,0.27515617,-0.041060939,0.001359452,1,1,1,1
7,0.983606557,0.971428571,1,1,0.983606557,0.971428571,0.852459016,0.742857143,0.622503698,0.929772139,-4.715707779,0.741732717,0.017293382,0.122291133,1,1,1,1
8,0.970588235,0.942857143,1,1,0.970588235,0.942857143,0.727272727,0.571428571,0.682775021,0.907592595,-0.886182785,0.568699956,0.001691237,-0.056813836,1,1,1,1
9,0.983606557,0.971428571,1,1,0.983606557,0.971428571,0.90625,0.828571429,0.845499456,0.93892926,-0.038605992,0.745819807,-0.078197479,0.101571098,1,1,1,1
