,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,0.040358,0.061336223,-0.38509783,-0.14865553,0.005663768,0.00599283,-0.015552115,-0.36220694,-0.36857083,0.0056552603,0.031180494,0.018654367,-0.5195113,-0.024029532,-0.0052915327,-0.6680406,0.32980138,0.3947384,0.033158094,0.025027713,0.3992353,0.7661531,0.24258134,-0.03319612,0.0857795,0.09118975,-0.01476004,-0.009406144,0.009172911,0.0014120367,-0.7616416,-0.03635888,1,1
1,0.013143452,0.048113957,-0.3753363,-0.12678942,0.008287798,0.03150728,-0.04635709,-0.351149,-0.3367251,-0.0055868514,0.024121575,0.060583394,-0.53351367,-0.030161904,0.0061851507,-0.662808,0.3209189,0.38709292,0.034251206,-0.0016812484,0.3940668,0.7793957,0.24916238,-0.0042010066,0.095202014,0.09682222,0.021186462,-0.0008135411,0.045315847,-0.028012225,-0.73739403,-0.026750164,1,1
2,-0.060233843,-0.048327174,-0.37496355,-0.13664302,-0.023789309,0.022761656,-0.0074796495,-0.37094447,-0.37109295,-0.011450625,-0.01796864,-0.036227383,-0.52995354,0.06304442,-0.074967235,-0.7147175,0.3844787,0.38999134,-0.05784731,0.017420266,0.42538598,0.738891,0.24828722,0.009091589,0.062978834,0.061818976,-0.039434716,-0.07835921,-0.016713876,0.06670147,-0.7303362,0.038914576,0,0
3,0.01995572,0.01938787,-0.37464875,-0.13619435,0.005807784,0.013828092,-0.0038727971,-0.35466778,-0.33188415,0.01351264,0.03880367,0.046773933,-0.52137107,-0.016165078,-0.0011364911,-0.6446142,0.29606822,0.38183033,0.054745737,0.003234175,0.38643762,0.75539273,0.23747629,-0.006292734,0.09591378,0.08574693,0.018697584,-0.039224293,0.04894053,-0.07251928,-0.7465056,-0.0627497,1,1
4,-0.071195506,-0.055647157,-0.3561886,-0.13247415,-0.031108197,0.028715184,-0.008736907,-0.3672932,-0.35386565,-0.0116438065,-0.012739753,-0.032308023,-0.5191612,0.061793894,-0.06514965,-0.6957005,0.37890178,0.3902335,-0.05024055,0.027609646,0.41672587,0.7143186,0.24702623,0.0027219402,0.05863067,0.0627438,-0.039715093,-0.076141335,-0.014691249,0.059788376,-0.7034446,0.04124535,1,0
5,-0.0014932732,0.06682224,-0.3803815,-0.16272248,-0.031744894,0.033561952,-0.058929384,-0.32074657,-0.32660854,-0.005682426,0.02719312,0.02521255,-0.5145678,-0.045020018,0.035590656,-0.64246655,0.3458741,0.40179226,0.042666625,-0.0052749435,0.36179802,0.7950244,0.23168372,0.0040171645,0.11318965,0.08666702,0.007882522,0.026979227,0.032340154,0.005815498,-0.7043528,-0.017723238,1,1
6,-0.06848982,-0.061560147,-0.3599913,-0.13438393,-0.032143783,0.03126348,-0.015821842,-0.36312324,-0.346517,-0.008544274,-0.013027383,-0.016641794,-0.5212946,0.056506563,-0.06492425,-0.6917258,0.38076982,0.38452005,-0.04177258,0.027466873,0.4123213,0.71243525,0.23978898,0.0071553057,0.057516586,0.062282395,-0.027143536,-0.06854321,-0.0015115655,0.06171956,-0.69243705,0.035610925,1,0
7,0.015561422,0.06694864,-0.353034,-0.14218116,-0.011953644,0.021585854,-0.044997286,-0.31150097,-0.3359787,-0.00897171,0.016900577,0.018514233,-0.50646484,-0.036937136,0.0024888965,-0.6760692,0.32951257,0.37579986,0.03262095,0.026950572,0.37442604,0.78338176,0.24206921,0.022720926,0.0898756,0.03355999,-0.005118668,0.015900841,0.029550064,-0.041719213,-0.7502625,-0.047603805,1,1
8,0.009435949,0.0526292,-0.38381115,-0.12367073,0.016109107,0.03605303,-0.036912207,-0.3717363,-0.35465384,-0.009079059,0.020155046,0.009697662,-0.5231201,-0.034893766,-0.010828484,-0.6622133,0.33214706,0.4035743,0.05215338,0.01820173,0.39441416,0.7736151,0.23162673,-0.016529793,0.084482834,0.08038596,0.016191933,0.023069793,0.030209972,-0.0011347629,-0.7345324,-0.052715067,1,1
9,0.006759938,0.0049957153,-0.36111632,-0.14042646,0.0044051795,0.023867346,-0.0016205595,-0.34616792,-0.32087573,0.022348203,0.040770072,0.060058355,-0.51903766,-0.024759978,0.0055936994,-0.6333282,0.31382114,0.38995957,0.07446448,0.017856743,0.374968,0.7188091,0.20467731,-0.021894692,0.11312115,0.08986244,0.025717082,-0.04990214,0.050344642,-0.093205616,-0.7077126,-0.025647042,1,1
