,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,0.43403,0.37402692,0.022421049,-0.0026592452,-0.18671761,0.01816104,0.017754678,0.39082274,-0.36115652,0.018272957,-0.6950981,0.28433874,0.38284054,-0.6443632,0.358092,0.30860454,0.31286937,0.3842338,0.03316334,-0.39935797,0.50580454,-0.2611499,0.497102,0.3500203,0.023392372,0.33335543,-0.24735062,0.43526006,0.26525387,0.66705304,0.0035607438,0.38608807,1,1
1,0.45143878,0.35905004,-0.0065184776,0.0069421437,-0.17593299,0.032858312,-0.0188439,0.4050601,-0.3615622,0.030064223,-0.69946027,0.30508396,0.39233044,-0.64849114,0.37645096,0.27339107,0.3166033,0.37910903,0.011913107,-0.3922615,0.5084559,-0.27156323,0.5063123,0.36758587,0.040680204,0.3177672,-0.27101701,0.44079524,0.28509435,0.67877245,-0.027501352,0.3717861,1,1
2,0.4508743,0.41438335,-0.08960726,-0.108031675,-0.15281487,-0.0945353,0.07629273,0.46540952,-0.36056682,-0.054032877,-0.65983945,0.2963598,0.361642,-0.64504856,0.39264238,0.32268885,0.34049562,0.47360915,-0.08034719,-0.42581654,0.5265517,-0.1956739,0.5116117,0.37331736,-0.09258298,0.49836037,-0.29590246,0.48288047,0.1891754,0.66159904,0.062453624,0.37444782,0,0
3,0.4371021,0.34057167,0.024865698,0.03920569,-0.17419875,0.024692431,0.033795994,0.3773764,-0.35705987,-0.013845146,-0.68296564,0.30454108,0.37601107,-0.6329928,0.35672024,0.25840905,0.29056948,0.39069197,0.040801387,-0.43276215,0.50414526,-0.28503957,0.48215428,0.3436463,0.040207606,0.36865193,-0.2632721,0.43150494,0.29305077,0.6591552,-0.034781683,0.42074898,1,1
4,0.42031595,0.3248487,0.022777628,0.004087844,-0.19196334,0.061163794,-0.04766474,0.41178864,-0.37799647,0.058303967,-0.6551182,0.34780815,0.38331634,-0.64936763,0.33578685,0.27269098,0.3393459,0.35308522,-0.015396744,-0.35541028,0.49939004,-0.31702602,0.48650962,0.4022674,0.023190998,0.2841212,-0.26821256,0.42090946,0.28972435,0.69198567,-0.047404543,0.3840384,1,1
5,0.45788598,0.41623378,-0.1006539,-0.11591621,-0.15411104,-0.09273665,0.08134115,0.46225858,-0.34799993,-0.037371412,-0.6692662,0.28354648,0.3568267,-0.6457041,0.39613855,0.3127684,0.3378877,0.47159147,-0.096320145,-0.44567412,0.53118056,-0.1860826,0.50385326,0.35877272,-0.08647618,0.5045059,-0.29493484,0.48008478,0.20039347,0.65560645,0.044552326,0.36859763,1,0
6,0.4368703,0.33055696,0.030205043,0.008914627,-0.17814218,0.06390905,-0.030105919,0.41022477,-0.37376994,0.07723498,-0.65755695,0.35593265,0.39501387,-0.64329535,0.34824085,0.3000172,0.33421376,0.35321778,0.01950841,-0.36492836,0.4919292,-0.29921925,0.46992013,0.3885041,0.03802867,0.27395105,-0.26777896,0.4398604,0.28216672,0.7164758,-0.004929782,0.3793741,1,1
7,0.4486398,0.40887907,-0.10285985,-0.09824129,-0.15986215,-0.08753676,0.074420735,0.46135703,-0.34631407,-0.039597206,-0.67098594,0.28405234,0.34837064,-0.6409595,0.38418725,0.30493155,0.33684298,0.46213326,-0.09400757,-0.4445189,0.52922636,-0.19561806,0.49879542,0.34728315,-0.075993925,0.5009971,-0.28897864,0.47508696,0.21800926,0.65402,0.033497684,0.37101316,1,0
8,0.43866235,0.36621732,0.025590345,0.00036755053,-0.18123266,0.046269473,0.009138253,0.39192826,-0.3563119,0.052938297,-0.7216581,0.27177274,0.37428012,-0.6279853,0.37584317,0.2937786,0.31306913,0.3891347,0.0049121827,-0.409768,0.5060138,-0.2535338,0.5050911,0.35952315,0.021800127,0.34336394,-0.26458505,0.43623903,0.29158533,0.67131865,-0.014344114,0.38728148,1,1
9,0.47337523,0.35320267,-0.010327623,0.014208464,-0.19363965,-0.023521317,0.03147771,0.38164786,-0.3461757,-0.005199984,-0.7218288,0.26952675,0.38019183,-0.6317325,0.354045,0.25110024,0.28085837,0.3646619,0.00865447,-0.46709234,0.5388941,-0.26718292,0.5080866,0.31536803,0.04259343,0.37490702,-0.26165113,0.4448266,0.2933315,0.65760595,-0.079596326,0.39530253,1,1
10,0.44440722,0.35572726,0.071405105,0.0046251747,-0.13283016,0.072837606,-0.012836533,0.3919338,-0.3641054,0.09005543,-0.7161803,0.27246305,0.35444507,-0.60766935,0.3645896,0.33442974,0.33282492,0.3435749,0.000250642,-0.41720623,0.47691077,-0.2791584,0.4693431,0.35769445,0.011964288,0.30276164,-0.23236103,0.44922945,0.28327072,0.6483164,0.039029457,0.37324387,1,1
11,0.4528652,0.27784938,-0.034117036,0.0447805,-0.16049118,0.026005512,0.014866252,0.43691686,-0.3561527,0.013061702,-0.71632236,0.31172353,0.35280526,-0.65542907,0.38669497,0.16225328,0.28434503,0.34638205,-0.021965036,-0.42250997,0.5120507,-0.32177824,0.5030228,0.40886462,0.06790271,0.3423847,-0.2884927,0.46587384,0.3557684,0.65399486,-0.15145198,0.38815778,1,1
12,0.4672636,0.35521156,0.06503985,0.04487632,-0.14943446,0.05522284,0.0053262985,0.38571584,-0.38394856,0.029476572,-0.70300555,0.32188067,0.40132377,-0.6252176,0.38200814,0.3078974,0.3112193,0.3683873,0.07337902,-0.40333503,0.47399986,-0.26867604,0.49713093,0.37095803,0.04672325,0.3005737,-0.27683264,0.46475714,0.26051635,0.6959286,0.03517385,0.40512794,1,1
13,0.46336108,0.3466341,-0.029586494,0.013083771,-0.1839307,0.012936735,-0.006618238,0.4221168,-0.32465985,0.058161918,-0.6868027,0.31489515,0.40722913,-0.6270946,0.36076063,0.22370219,0.3149516,0.3515242,-0.031948052,-0.39698535,0.54510903,-0.27534717,0.5001494,0.36896047,0.015763113,0.30739585,-0.26656923,0.44137317,0.31508708,0.65463006,-0.088527575,0.34358293,1,1
14,0.40589777,0.3028204,0.00083745655,0.06521027,-0.14946564,0.03803768,-0.0126419505,0.4010495,-0.31891835,0.005820576,-0.6373479,0.3023596,0.39011633,-0.655632,0.29218134,0.26005253,0.31971207,0.31921124,0.04844915,-0.36698708,0.5033664,-0.31047344,0.43255407,0.36596817,0.024280649,0.28144032,-0.26242557,0.44087905,0.2784333,0.67398334,-0.037533756,0.3857942,1,1
15,0.45520154,0.41163617,-0.10135881,-0.10126131,-0.15575996,-0.08741878,0.08205052,0.46550396,-0.353106,-0.045127433,-0.6706266,0.2860549,0.3562825,-0.65041256,0.39680436,0.30915886,0.3390252,0.46462828,-0.1014375,-0.44239196,0.53680634,-0.19178365,0.50371474,0.35963795,-0.08235614,0.5090188,-0.2985227,0.48464066,0.20957671,0.65913785,0.04259201,0.37015605,1,1
16,0.48122427,0.35759825,0.026480384,-0.008339332,-0.1771919,0.048582077,0.0013753944,0.4008806,-0.32496536,0.094173655,-0.7018299,0.31737876,0.3702401,-0.58844954,0.3808766,0.2758378,0.30824772,0.38882273,-0.025999216,-0.4417621,0.5223153,-0.26605445,0.48948938,0.34725228,0.03764541,0.34834826,-0.2711366,0.4335094,0.3063736,0.66612875,-0.038167015,0.38162723,1,1
17,0.45109165,0.40860283,-0.101109065,-0.118448615,-0.16368158,-0.097390726,0.08090307,0.4578759,-0.34925112,-0.018780937,-0.687546,0.2700515,0.34156835,-0.6420165,0.38766506,0.3057772,0.32847285,0.46270287,-0.10520921,-0.46881953,0.5380002,-0.19196129,0.5013708,0.3511863,-0.087169185,0.50918424,-0.28972882,0.48305646,0.22974594,0.6536807,0.039838046,0.35507613,1,0
18,0.44957379,0.36514777,0.040322885,0.030038716,-0.16623737,0.044888582,0.022468334,0.37910628,-0.31021407,0.070816316,-0.7104806,0.32616073,0.363047,-0.6009678,0.39281306,0.2988839,0.306072,0.38499048,0.0003506923,-0.44290927,0.49062115,-0.2562832,0.46742117,0.3288505,0.071690165,0.34294453,-0.24380326,0.4033803,0.2863226,0.66365784,-0.043593086,0.41117966,1,1
19,0.4596708,0.3626946,0.07004055,-0.014058555,-0.1879894,0.058290407,-0.0099949,0.40756398,-0.38117272,0.07242389,-0.7117735,0.30450463,0.38033375,-0.6069091,0.37551042,0.2871689,0.31256276,0.3864961,-0.013584389,-0.40656856,0.5149603,-0.26272297,0.49850243,0.37931323,0.0074576624,0.33028874,-0.28760323,0.47899696,0.31290776,0.6736094,0.011808393,0.36681795,0,1
20,0.43529978,0.35354137,0.00904366,-0.00028014905,-0.18671179,0.02871158,-0.015894873,0.39654532,-0.34769198,0.057728224,-0.69506323,0.31651923,0.36613974,-0.6336525,0.36382404,0.26476103,0.31144798,0.3775278,-0.011021139,-0.4088342,0.5149028,-0.27522668,0.48861384,0.3571851,0.044146985,0.34247783,-0.25619772,0.4291718,0.30266884,0.69069874,-0.05859096,0.38083768,1,1
21,0.46708372,0.35599992,0.038638093,-0.0072800266,-0.16339327,0.04592422,-0.01624966,0.401614,-0.35092875,0.08719025,-0.7158381,0.3047907,0.37376484,-0.62542784,0.3777153,0.2944351,0.3042158,0.36390615,-0.032777883,-0.423621,0.5212035,-0.28291523,0.48130354,0.37738377,0.043068223,0.3145721,-0.2699346,0.4566504,0.27698073,0.67045933,-0.027635792,0.37192178,1,1
22,0.4169548,0.3531213,0.033977777,0.028166663,-0.17116614,0.012328088,0.044179454,0.34983933,-0.30483332,0.012299331,-0.7116185,0.23834062,0.3664217,-0.6288137,0.3283195,0.2579264,0.26441026,0.37486562,0.01875824,-0.46741942,0.5293495,-0.25787067,0.44202003,0.2904717,0.011584533,0.4040065,-0.26234442,0.45417085,0.31670538,0.6404712,-0.047288816,0.39711446,1,1
23,0.46949646,0.37414303,0.015534239,0.019021854,-0.14586022,-0.005444112,0.0026985784,0.36644062,-0.35443965,0.04365367,-0.699159,0.29588816,0.38462123,-0.63271,0.35378525,0.3620456,0.30454686,0.34933394,0.0891023,-0.44048756,0.53475595,-0.29377845,0.5118833,0.35903493,0.048201874,0.28824967,-0.21923195,0.42904752,0.18491608,0.67290723,0.02980627,0.38093182,0,1
24,0.39867154,0.3965467,-0.024118833,-0.067727245,-0.19839165,0.04920251,-0.09755205,0.44240358,-0.35542545,0.037245937,-0.6193847,0.30762497,0.3610656,-0.5982223,0.2949991,0.27296385,0.3487899,0.34883076,-0.021784244,-0.3088127,0.5070956,-0.28046748,0.45140284,0.34085712,0.024969151,0.28565598,-0.25813654,0.4250993,0.28075033,0.66028297,-0.090266734,0.3383507,0,1
25,0.43853018,0.35823083,0.020745926,-0.0033064221,-0.20512131,0.039936,0.017549057,0.3986912,-0.35780102,0.011268363,-0.67332715,0.30679122,0.3672939,-0.61689365,0.3477199,0.2796902,0.3173058,0.40539584,0.025683036,-0.40707397,0.49449933,-0.26067147,0.48668468,0.34367904,0.03445746,0.3553725,-0.25922325,0.41197202,0.29512307,0.6727813,-0.020680709,0.40928262,1,1
26,0.45637152,0.3968629,0.026309326,0.016294401,-0.15530196,0.0074441857,0.06484597,0.35306603,-0.29613298,0.035848454,-0.7375684,0.27659947,0.3346034,-0.6271459,0.39736214,0.30076313,0.3018381,0.38109633,0.01982335,-0.49046683,0.5220438,-0.21737388,0.4631072,0.27717435,0.06839958,0.3927053,-0.2243016,0.42002288,0.2753884,0.65651447,-0.03769291,0.38296083,1,1
27,0.4477584,0.36083296,0.041954324,-0.004448372,-0.18813248,0.07065632,-0.002901954,0.40221065,-0.36920068,0.036040686,-0.6708922,0.3247855,0.37554306,-0.6049956,0.3559239,0.2688999,0.31949127,0.38871625,0.022107337,-0.4004747,0.48837465,-0.2580105,0.47911602,0.34672588,0.036829267,0.34188697,-0.28248134,0.44306964,0.3145182,0.69346774,-0.017897638,0.38986352,1,1
28,0.48367792,0.3081002,0.06647504,0.07062099,-0.16208439,0.009509698,0.036836144,0.36127445,-0.33258727,0.09335164,-0.76336324,0.28505385,0.3911603,-0.64094496,0.39482397,0.254169,0.2617571,0.3463418,-0.033796433,-0.51504296,0.5415294,-0.3074649,0.4899596,0.39495456,0.031829942,0.34050843,-0.26787308,0.4762858,0.29491526,0.65739,-0.04199275,0.40634406,1,1
29,0.4731666,0.35184553,0.0092620505,0.0120557705,-0.1674511,0.012599065,-0.008251405,0.41653818,-0.3688436,0.043827713,-0.7119712,0.32199907,0.39148948,-0.62326014,0.37592945,0.30127934,0.31803125,0.34315374,0.011647524,-0.39448017,0.5084208,-0.27944082,0.50087726,0.36672604,0.06316288,0.27718714,-0.25093073,0.4444023,0.2681987,0.67734826,-0.034768607,0.37753928,1,1
30,0.45987162,0.33656198,0.05553791,0.006396385,-0.15737836,0.059664965,-0.017017381,0.39778197,-0.35857466,0.082055114,-0.70494324,0.3100475,0.37235838,-0.62829274,0.38876936,0.30742964,0.3312598,0.38208535,-0.010783769,-0.42062098,0.4913621,-0.2914501,0.5031218,0.38285193,0.02326706,0.31053677,-0.24592367,0.41502777,0.2828529,0.6670333,-0.0009563477,0.3956306,1,1
31,0.47653413,0.36224976,0.052839708,0.016829941,-0.10435556,0.04886112,-0.047586996,0.39896306,-0.3555238,0.08769759,-0.7202059,0.2832918,0.39329475,-0.62371016,0.4078607,0.37730417,0.3432116,0.3489229,0.023567587,-0.38764954,0.5311182,-0.27589974,0.5137215,0.3930441,0.014024972,0.25528073,-0.23713517,0.44925684,0.2348989,0.64854205,0.03549201,0.3469798,0,1
32,0.42139584,0.44772062,-0.060845613,-0.04391544,-0.21642919,-0.004164397,-0.028442154,0.42937422,-0.3189292,0.024687247,-0.6866917,0.29304627,0.3876934,-0.5813687,0.37941548,0.2926057,0.3184544,0.4264484,-0.032959696,-0.3959548,0.4881952,-0.14597479,0.4592526,0.23345822,0.05832587,0.39369366,-0.28357452,0.41286543,0.30231684,0.67776513,-0.061913133,0.37159368,0,1
33,0.45900568,0.35805666,0.040865097,0.020185355,-0.17443176,0.034448493,-0.018028589,0.38436052,-0.3414124,0.07205646,-0.7292239,0.26992756,0.39614588,-0.6378196,0.38250047,0.3040472,0.30561975,0.3702476,-0.006642587,-0.42763197,0.51104176,-0.26982462,0.48196885,0.36014438,0.0321361,0.3087021,-0.26172766,0.4380982,0.27998275,0.6406861,-0.012639048,0.37997082,1,1
34,0.48155427,0.36720824,0.0031306013,0.0044809286,-0.17204538,0.023909383,-0.02504869,0.4082398,-0.36284667,0.026474508,-0.6955812,0.32949382,0.38814363,-0.6177127,0.37705335,0.29720083,0.32239985,0.36103255,0.056315716,-0.3971073,0.5137692,-0.25907263,0.5072045,0.3517515,0.061107997,0.29159784,-0.26513976,0.43653467,0.27187622,0.70182884,-0.040288933,0.35944408,1,1
35,0.46235043,0.38601154,-0.010550011,0.00311852,-0.18075901,0.04572484,-0.0059127454,0.41236803,-0.33142728,0.06506927,-0.69743365,0.33290425,0.40196714,-0.6095709,0.40962178,0.2822475,0.3197225,0.4102271,0.008959241,-0.38903612,0.48670268,-0.20328632,0.49481952,0.3110828,0.06236432,0.35261205,-0.2920758,0.42344838,0.31072816,0.7115508,-0.039213736,0.3877582,1,1
36,0.47917363,0.3845356,0.017078077,-0.018804748,-0.16164605,-0.05908738,0.05941542,0.37878233,-0.3794125,-0.032034244,-0.7274372,0.32943895,0.36505803,-0.64393365,0.43029338,0.29563612,0.2888259,0.37525016,-0.008769067,-0.4859947,0.5852642,-0.23034562,0.5105325,0.32366642,0.061008662,0.41652623,-0.28267547,0.4830376,0.26084223,0.67754,-0.07065362,0.3752813,1,1
37,0.45504203,0.34523657,-0.015728172,0.0036110447,-0.18532865,0.006288371,-0.033255856,0.41106397,-0.34171233,0.057738584,-0.69876134,0.28900588,0.41136748,-0.6190988,0.32777637,0.2564039,0.3163283,0.35880294,-0.009641079,-0.3983416,0.5085428,-0.2633253,0.500993,0.3337998,0.019837288,0.29971606,-0.27681983,0.4505158,0.27988896,0.67872345,-0.037516505,0.37101042,1,1
