,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,-0.35333484,-0.034222625,-0.61019397,0.01807317,-0.46181244,-0.039800473,-0.06701184,0.0017409585,-0.103859864,-0.47988972,-0.5487131,0.40383416,-0.68052006,-0.36221272,0.0054902416,-0.21899252,0.005620716,-0.042948738,-0.45690706,0.3144695,0.017898405,0.10186793,-0.07702135,-0.018164042,-0.03100985,0.03880019,-0.048136912,-0.22543436,-0.06790349,-0.1378465,0.051925354,-0.41770315,0,1
1,-0.22786951,-0.0396647,-0.51379126,0.06281916,-0.48397583,-0.017907998,-0.03811954,-0.04560597,-0.06084504,-0.29162407,-0.26802194,0.49669808,-0.51155156,-0.30076003,-0.015156042,-0.24064478,-0.11573891,-0.025836116,-0.39352944,0.34484982,0.04669667,-0.013101049,-0.13025795,0.09536658,-0.089947805,0.030283913,-0.02521975,-0.2543969,-0.08988495,-0.11019871,0.020286778,-0.3801576,0,1
2,-0.25356764,-0.0742995,-0.5202174,0.03023126,-0.4537723,-0.035083182,-0.03590668,-0.026501449,-0.03941361,-0.35005137,-0.325437,0.41544425,-0.66984224,-0.3161922,-0.032186687,-0.3074028,-0.08515354,-0.048391376,-0.43926227,0.32048076,0.044571005,0.036943354,-0.14115933,-0.10945819,-0.053631455,0.037223257,0.015806824,-0.2478645,-0.072854154,-0.06441356,-0.039724395,-0.48996988,0,1
3,-0.3366669,0.091435775,-0.7090044,0.0034962203,-0.6013278,-0.1101257,-0.062370803,0.062128924,-0.11085771,-0.4503758,-0.59532535,0.7249193,-0.7399101,-0.46823096,-0.14685048,-0.37073264,0.04903798,0.083547235,-0.37355334,0.4199679,0.0011120625,0.028328534,-0.09649158,-0.115134,-0.03485424,-0.077760026,0.0147605,-0.23590185,-0.09022136,0.01789872,0.009459829,-0.49822012,1,1
4,-0.32484433,-0.025686756,-0.6165111,0.08984396,-0.5630275,-0.012916401,-0.023458512,-0.022784658,-0.14631303,-0.33636132,-0.3451992,0.55111,-0.6043736,-0.48490652,-0.030358475,-0.3441359,0.03641191,-0.07777455,-0.38473606,0.43390703,0.036437456,-0.059489064,-0.0587764,-0.1963209,-0.01459498,0.013533955,-0.041819748,-0.26536727,-0.064237386,0.020672485,0.07053296,-0.47067022,0,1
5,-0.34057692,0.045019425,-0.7023878,-0.055854738,-0.597307,-0.10714531,-0.048374485,0.046436466,-0.04641267,-0.56777006,-0.48654947,0.40840405,-0.6203333,-0.39185423,0.02292597,-0.3842208,-0.06304633,-0.025591943,-0.41145697,0.38253924,-0.08893093,-0.016533948,-0.08967952,-0.04288732,-0.07783647,-0.03689906,-0.09546093,-0.28361928,-0.09638918,0.036297195,-0.07787663,-0.37470776,0,1
6,-0.26386082,-0.055526786,-0.57915425,0.09075545,-0.467616,-0.110729314,-0.024774713,-0.025770776,-0.028639302,-0.38808063,-0.39552987,0.4440823,-0.58905685,-0.50689745,-0.0075435834,-0.39387697,0.016592402,0.007845428,-0.2367439,0.3356854,0.08745645,-0.07228756,-0.07043737,-0.06626166,-0.00022959197,0.016331576,-0.15161212,-0.21745668,-0.087827526,-0.055639308,0.016166802,-0.415479,0,1
7,-0.33554083,-0.11130513,-0.4601889,0.027644815,-0.47880897,-0.011438318,-0.008705879,0.004785348,-0.044054713,-0.3839494,-0.49878117,0.30516532,-0.56612825,-0.37206578,0.01339163,-0.23312753,0.014235541,-0.0104845585,-0.3770252,0.26267576,0.0767718,0.060887538,-0.05884682,-0.10311501,0.034568064,0.02216896,-0.039807253,-0.13500746,0.0032401383,-0.06388861,0.043186232,-0.40286487,0,1
8,-0.3495473,-0.028301947,-0.57816744,0.0033940878,-0.5434661,-0.041874103,0.0499821,0.037281685,-0.044942617,-0.3239504,-0.49633107,0.497807,-0.5884719,-0.4611532,-0.0037377588,-0.28368294,-0.023334593,0.08092557,-0.33408797,0.31878385,0.023413267,0.033400256,-0.034205485,0.037504166,-0.022854222,0.0067541646,0.01616649,-0.21448804,-0.025537949,-0.018678762,-0.0035126256,-0.34731132,1,1
9,-0.34699458,-0.054834984,-0.51609707,0.019143362,-0.4482901,0.005049078,0.016796194,0.03655414,-0.061942928,-0.29707247,-0.3703219,0.34827095,-0.6199655,-0.4438763,0.070170164,-0.28412998,-0.04165205,0.009564415,-0.39156097,0.3019417,0.09335764,-0.025267158,-0.084442176,-0.11378218,0.007787086,0.031049129,0.07577258,-0.26103276,-0.059925735,-0.10446098,-0.012571714,-0.40673655,0,1
