,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,0.018012935,-0.16357733,-0.008325025,0.31182307,0.40202302,-0.17313255,0.47850883,0.080962986,0.41994095,0.025618602,-0.44408274,0.12191721,-0.14518867,-0.020268572,-0.24476425,-0.051040504,0.70828557,-0.020560268,0.0058072284,-0.40396821,0.044540133,-0.3547804,-0.37136674,0.011242374,-0.094033994,0.14013433,-0.01715394,0.33774012,0.036503654,0.060483072,0.38001215,0.3085127,0,1
1,-0.09093439,-0.17124571,-0.041591752,0.21326162,0.45126104,-0.16691718,0.42926997,0.11844088,0.3964362,-0.056434713,-0.44194096,0.10932929,-0.22890407,-0.024121506,-0.19703408,0.0251842,0.6924239,0.008459073,0.07393443,-0.34840012,0.08606974,-0.39506757,-0.34848693,0.009375158,-0.051731367,0.23976459,0.039942537,0.1627344,0.020524673,0.080119185,0.3193512,0.24252729,0,1
2,-0.04930275,-0.09533296,0.019816384,0.09864506,0.33032998,-0.1716753,0.5732705,0.05661046,0.26633316,-0.009798998,-0.42783985,0.16346332,-0.21751598,-0.12808844,-0.22134846,0.025221627,0.6189515,0.021559509,0.051607452,-0.28203827,0.10575392,-0.3442178,-0.3882454,-0.0062086554,-0.014220077,0.21273033,0.03604515,0.27091584,-0.012099689,0.065257296,0.33706003,0.20511633,0,1
3,-0.069513686,0.008529436,-0.060555723,0.20584509,0.4685055,-0.20254633,0.42423418,0.05074236,0.2959891,-0.0987649,-0.26462242,0.25695822,-0.15386774,0.011778495,-0.26024795,-0.05558715,0.842692,0.1142291,0.04870775,-0.45214137,0.031577487,-0.37139663,-0.61230713,-0.013977536,0.013051274,0.15669508,-0.06391477,0.29001078,-0.06658269,0.028423803,0.3954421,0.28852347,1,1
4,-0.05315814,-0.1773629,0.007685244,0.04078117,0.4287514,-0.1532757,0.53110963,0.07419565,0.34780794,0.07336796,-0.3558872,0.2294004,-0.23345914,-0.12411604,-0.1393057,-0.106271625,0.5485641,-0.07019183,0.09368384,-0.41845304,0.15198149,-0.46145582,-0.4185822,0.11538056,0.027537461,0.10564926,-0.004888056,0.37005943,0.045972873,-0.093621865,0.19830123,0.21735647,0,1
5,-0.0024419627,-0.0066310116,-0.07035704,0.23608549,0.5563127,-0.24177289,0.5745001,0.10314066,0.4362167,0.10818022,-0.4980283,0.25029474,-0.16542844,0.024230694,-0.15264224,-0.091179326,0.7783924,0.1668113,-0.029647095,-0.26017952,-0.12759885,-0.44839934,-0.51957804,0.029497754,0.04020671,0.14267768,-0.09121065,0.2915347,-0.028951146,0.018693598,0.46638083,0.3266203,0,1
6,0.048130758,-0.06972459,0.028478172,0.16369544,0.34313753,-0.21785799,0.58009315,0.012778869,0.48346892,0.051244,-0.42662784,0.20163287,-0.21828736,-0.0014563301,-0.26997563,0.028725348,0.66805935,0.018007122,0.027895654,-0.38806728,0.048270855,-0.31362924,-0.4263416,0.11395392,-0.023189327,0.10889857,-0.002116314,0.33761263,-0.0021490848,0.045918595,0.23828164,0.25540635,0,1
7,-0.07317153,0.056651086,-0.08882031,0.25908664,0.41240275,-0.109728195,0.45485622,0.0589121,0.46415025,-0.046163674,-0.3449746,0.20947874,-0.22996382,0.089607455,-0.32198578,-0.012005808,0.8452446,0.09973852,0.03867895,-0.4234849,-0.09963469,-0.36667636,-0.3732207,0.0809401,0.04128861,0.17238589,0.040069755,0.17230053,-0.034005962,-0.12218265,0.2807242,0.24161138,1,1
8,0.011245167,0.04018741,0.024416309,0.17357843,0.3726811,-0.10776505,0.6613212,0.028637046,0.33603284,0.03058339,-0.4069819,0.2425634,-0.24519682,-0.04149957,-0.26543543,0.018763278,0.7012717,0.012410351,0.13741933,-0.31075332,0.06818998,-0.33040214,-0.32526618,0.039301652,0.053527813,0.21568851,0.029201599,0.24770558,-0.023082638,-0.08052008,0.31614634,0.20601681,0,1
9,0.0609889,0.113105804,-0.044626478,0.18045063,0.37347537,0.013366237,0.5792666,0.050851375,0.11254883,-0.0071969554,-0.32476577,0.17054957,-0.16519749,-0.093018875,-0.2854974,-0.042069055,0.7390252,0.19799541,0.12252305,-0.2902472,-0.08112179,-0.26720473,-0.3786613,-0.006064999,0.079496406,0.20291184,-0.00023686024,0.2690789,-0.15137371,-0.20574324,0.36122376,0.14818044,0,1
10,0.097486146,-0.013306795,0.03700443,0.107802406,0.33662504,-0.11432454,0.5543658,0.072827704,0.13492423,-0.07809284,-0.22587956,0.22435763,-0.21525429,-0.11081407,-0.27432805,-0.16987169,0.70851505,0.094800465,0.05286014,-0.43338433,0.041001935,-0.23018144,-0.37017342,0.0799655,0.10484593,0.22227879,0.033149865,0.32994753,-0.19425634,-0.12399998,0.28046423,0.1777878,0,1
11,0.023360595,0.08107867,-0.072791085,0.20042573,0.4570012,-0.087514184,0.62923664,0.00390874,0.3457554,-0.094288744,-0.32285765,0.16819783,-0.38696736,0.06579568,-0.18881407,-0.06353622,0.77389157,0.20494348,0.026165118,-0.34803283,-0.027343001,-0.23772654,-0.47440153,0.03350753,0.040508177,0.2262566,-0.03949294,0.36307994,-0.15115857,-0.023555385,0.405895,0.2591595,1,1
12,0.04921798,-0.05350785,-0.16524205,0.06687374,0.33209696,-0.019350648,0.51682913,0.019366018,0.24128866,-0.12782449,-0.26248163,0.17227393,-0.24633811,-0.08859641,-0.10174466,0.029774547,0.44506457,0.17647,0.028704116,-0.3579179,-0.12286039,-0.19943602,-0.2272271,0.101273715,0.08246817,0.16992368,0.014265922,0.14377901,0.02919246,-0.093930304,0.2804385,0.248086,0,1
13,0.15946317,-0.038845338,0.0075628143,0.14027986,0.44015592,-0.04323904,0.49479762,-0.026087955,0.24398121,-0.1186724,-0.37572798,0.17127798,-0.23695038,-0.04307765,-0.21708062,0.017963625,0.5555356,0.17653045,0.08314418,-0.35027042,-0.03831524,-0.2162188,-0.5045762,0.07939653,0.0018504636,0.18384834,-0.020079931,0.3273273,-0.119159706,-0.0003068198,0.35412204,0.32975957,1,1
14,0.14710358,0.018406304,-0.12888604,0.12058008,0.22800808,-0.0044128667,0.38683498,-0.007133883,0.13955547,-0.058015864,-0.33626655,0.19032277,-0.20370133,-0.11078266,-0.17218348,0.05824148,0.40704355,0.243587,0.07870173,-0.28329402,-0.20890303,-0.24265666,-0.29792124,0.062290415,0.0072228303,0.2278113,0.06697287,0.09855633,-0.08422003,-0.043810084,0.22744322,0.20410725,0,1
15,0.036314912,-0.021834752,-0.024901893,0.11013872,0.37898648,-0.13617428,0.45508036,-0.15869944,0.38741487,-0.0033688138,-0.37394193,0.31880775,-0.11737241,-0.067012936,-0.06716987,0.053216416,0.57896817,0.06475319,0.11086055,-0.30594215,-0.031801116,-0.29045552,-0.34700376,0.056037094,-0.023588192,0.16813609,0.08554423,0.18422167,-0.15749353,-0.01854182,0.22925028,0.17839687,0,1
16,0.0442545,0.10450592,-0.1250715,0.14491437,0.36619672,-0.13704628,0.46711612,-0.1412809,0.30737355,-0.024158884,-0.439177,0.23014757,-0.09454928,-0.041522708,-0.29611406,0.05928099,0.6866736,0.22345604,0.11773602,-0.2524299,-0.21653305,-0.37750727,-0.44307512,-0.028700659,-0.030540232,0.10505355,0.052970808,0.1794589,-0.07033281,-0.04901089,0.42103016,0.25808963,0,1
17,0.062903255,-0.013094129,-0.058034796,0.11175969,0.38752103,-0.1752106,0.39135668,-0.124202475,0.31460935,-0.12513249,-0.35164297,0.27643237,-0.18913758,0.05071037,-0.17038447,0.0121108955,0.76982075,0.24716498,0.09407543,-0.3061024,0.017943908,-0.17486699,-0.48175305,0.07674958,0.044002254,0.14266494,0.028866446,0.28247526,-0.13698332,-0.024209408,0.32679367,0.12010746,1,1
18,-0.115165345,0.07760526,-0.012565879,0.14981724,0.50015473,-0.112675175,0.6943119,-0.12890682,0.45748058,-0.0590483,-0.377135,0.24338804,-0.24878202,0.016243098,-0.18047056,-0.033370454,0.7533962,0.1457187,0.11443085,-0.28058884,-0.021804612,-0.18493423,-0.55140054,-0.07101855,0.025201734,0.086415924,0.0054696193,0.46486226,-0.150713,-0.12920135,0.3725285,0.20190385,0,1
19,-0.03599725,0.018477997,-0.16217604,0.1089409,0.5505617,-0.12740725,0.5484303,-0.018075375,0.40077773,-0.11376833,-0.3018699,0.18630303,-0.27543065,0.071955,-0.19684157,-0.06148004,0.7462558,0.119532265,0.027751895,-0.37751088,-0.07733489,-0.22113968,-0.42050844,0.019909406,0.039067537,0.08609436,-0.011723309,0.3214201,-0.02506626,-0.093330584,0.3151007,0.17238517,1,1
20,0.061013743,0.0070284638,-0.072441205,0.093173735,0.57210785,-0.1097603,0.50081104,-0.01567423,0.42106035,-0.112627335,-0.32308236,0.20816237,-0.23496436,0.058275815,-0.24705842,-0.0885122,0.73361427,0.07654149,0.058952056,-0.35760674,-0.013082356,-0.23985852,-0.4273911,0.0739934,0.061245598,0.062570386,-0.0015926498,0.35762626,-0.016339129,-0.054349124,0.21878664,0.22284733,1,1
21,0.04670875,0.015205987,-0.07143614,0.19562525,0.5317554,0.0024022707,0.48394886,0.021909766,0.39354533,-0.168804,-0.30522406,0.15260799,-0.22918971,0.002860607,-0.29404148,-0.06877012,0.6774221,0.13917123,0.036485255,-0.36614668,-0.058799792,-0.19248606,-0.44527614,0.02539889,0.024900267,0.067876264,0.05624663,0.37702057,-0.09767914,-0.04836015,0.23365712,0.2092433,1,1
22,-0.027395194,0.12414309,-0.077094495,0.19941236,0.55103064,-0.078233585,0.5782402,0.0006760224,0.40946117,-0.17934263,-0.31489715,0.23522915,-0.23279469,0.011169058,-0.25303042,-0.041759364,0.69426996,0.08984265,0.04914547,-0.27282858,-0.05777843,-0.30058798,-0.4233029,-0.085797235,0.052713107,0.10894646,0.07692636,0.28970042,-0.053175744,0.0008347656,0.42813912,0.2011875,1,1
23,0.012103198,-0.0013090898,-0.1623852,0.14419948,0.45261985,-0.09373437,0.4474168,-0.041327976,0.37001604,-0.2142392,-0.26623794,0.16608585,-0.2806083,-0.0001634923,-0.23391786,-0.048116345,0.78754026,0.14356858,0.082028836,-0.34154218,0.005394469,-0.28872415,-0.45300233,-0.06946966,-0.033294506,0.09833042,0.003697743,0.3109388,-0.05764544,-0.050334033,0.3459738,0.13535614,1,1
24,0.019293046,-0.017394038,-0.07129568,0.11011528,0.5069172,-0.07680525,0.51078236,-0.04325321,0.40987185,-0.19788587,-0.29161412,0.22103111,-0.28157717,0.035620425,-0.29935354,-0.07058789,0.6931624,0.12567616,0.110848345,-0.41341096,0.0023951884,-0.31877407,-0.6296505,-0.039974667,-0.02244772,0.25662208,0.010160037,0.35083735,-0.02697524,-0.09440847,0.41011357,0.3857859,1,1
25,-0.028305063,-0.024561292,-0.19971138,0.07519377,0.34957883,-0.056536056,0.60155433,0.0059875227,0.4550717,-0.25536382,-0.27343547,0.13053639,-0.25434515,-0.077594034,-0.26230752,-0.0955475,0.55348647,0.2084455,-0.095173016,-0.4058367,-0.11966745,-0.16786428,-0.30887648,-0.10391877,0.05666859,0.116964884,0.11881153,0.27120546,0.11372382,-0.11070654,0.4231605,0.30103198,0,1
26,0.0105719175,0.003877954,-0.07784283,0.14492522,0.51242554,-0.031673815,0.4971062,-0.0122881755,0.40180075,-0.14996311,-0.36284602,0.18510614,-0.20491464,0.016168823,-0.24947298,-0.09405323,0.7052888,0.13678783,0.0066316472,-0.27796772,-0.11117182,-0.19868894,-0.43541896,-0.014244557,0.029411536,0.1142494,0.026618747,0.43518105,0.00046396232,-0.06403974,0.32325435,0.21819511,1,1
27,-0.0381964,0.01776109,-0.10374823,0.19983245,0.7078971,-0.15111712,0.4563556,0.016927132,0.7534,-0.24005044,-0.4240414,0.23626848,-0.2333089,0.06634703,-0.24013382,-0.036362477,0.8540322,0.23561269,-0.04399211,-0.42540887,0.059469666,-0.19507204,-0.6329747,0.08694109,0.028127935,0.23256017,0.079888165,0.33107257,-0.11072313,-0.07068114,0.57834345,0.28920165,1,1
