,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32
PC1,0.1780950029523777,-0.33244285036274185,-0.16845667659589314,-0.08581002566646007,-0.13309162103412722,0.20636222154646688,0.124460548321412,-0.04408032692507867,0.02080587623108851,-0.16320111996462536,0.05254803692821882,-0.11674703985516566,-0.1131325314607626,-0.1936798287374502,0.23081492015812555,0.0344997541058026,0.16230497955498782,0.18259491310586867,0.19322195142934118,0.07153228988230256,0.40579325826336665,-0.03731087816639316,-0.17407101173708678,-0.039224911579465185,0.28451262351209944,0.13382239181528013,0.07107192101555992,-0.014487304797768729,0.04785163513533872,0.2608628155058137,0.20304334071767371,0.2789170799916474
PC2,-0.09520619611266043,-0.013711336740627234,-0.12204020895599992,-0.04379279739416834,0.10258209953348892,0.3438553623217352,-0.07651492386723874,-0.2857872556867172,-0.11180332497085574,0.058433337745230005,-0.13872764103521795,0.19672783857592252,0.2525467348878182,-0.01786373283960151,-0.17487465031154478,0.10275886104314085,-0.07949434910030131,-0.08180046655854376,0.12027853509892913,-0.03166057544540214,0.08236440034341898,-0.024249447908575292,-0.06094798169787914,0.04739363163851989,-0.4348650770567268,0.2127550552976191,-0.13529401570859823,-0.013104997373415028,-0.04380696078284789,0.2233371046986476,-0.217951010256822,-0.30800250853628774
PC3,-0.006770581786174665,0.04395943445349846,-0.020907085371421875,-0.17420454221038018,-0.07897165946565235,-0.1864490904664276,-0.03361626936948967,0.11076361700877957,0.019183216321916087,0.31616868857279884,0.08498523897746624,-0.059691655202028106,0.016650843811715877,-0.004017689646245793,0.1411469487487311,0.10511372270211902,0.2722081236111523,0.31831479749784847,0.02200723418048315,0.15051901160361453,-0.0675155792705223,-0.04832197064160569,0.138200977354661,0.17772526861232463,0.08045847615281079,-0.09877275942565017,0.10253386011232553,0.14689531477611914,0.1465767607447413,-0.2925980450698209,0.0647155949190167,0.2084345086497798
PC4,-0.11673990556928818,0.03172192192010619,-0.08972936224996937,0.1822384801038037,-0.10869101117397006,-0.08827046359138938,-0.029993535069224912,0.043921639666169486,-0.24622115597645164,0.047275937475434085,0.06462173440845673,0.03207657463804843,-0.18464312890720375,0.3589973931913605,0.047931137927691006,-0.001715782764958526,0.035589189334236083,0.12144503594293601,-0.06965365449368445,0.015664091366817602,-0.0917967977281459,-0.09979843730803366,0.20555524532980024,-0.1491963121334063,-0.01132079542012846,0.08656828435301019,0.2612844218893276,-0.24632055883631834,-0.1456387018079351,-0.36066154492424396,0.07215470765304963,-0.14482811087888572
PC5,0.13762400301746677,-0.10243837901329726,-0.2869894377616219,-0.34750313190256116,-0.12066556544828029,-0.09628907919912247,-0.11798483532993427,0.2279679057926995,0.12247560867852672,-0.15657381752146948,0.17132061111351526,-0.06408996635926416,0.29009784075562217,0.0025627626353390163,0.2330665587803186,-0.05003846077621553,-0.16549924153836332,0.06654966553767784,-0.1934514762417044,-0.058415667751183245,0.024039107374440878,0.07226475093710065,-0.01298798694177677,-0.07589764102047013,0.09167618148601765,-0.10661774222862555,-0.09647986087828805,0.15848646488964357,-0.14824407708156165,-0.11239122845071277,0.16579460479518937,0.16855066488785164
PC6,-0.25054667341185854,0.2600429959112719,-0.024556192323510206,-0.00978416617887522,-0.07857359257360293,-0.3185026562592426,-0.01619183045803977,0.02363055132616962,0.07263201487742323,0.20080730996972523,-0.04681146846217675,0.22671127151142073,0.07548574242290008,0.14522402924960015,0.17192862903257894,-0.09052294709773451,-0.06088936660219263,0.0703800880548887,-0.18884957769951988,-0.09251218119442042,0.0049625487059765435,0.09704384960041443,0.14506496055278478,0.017547418560318894,0.056790504365854755,0.1902561581066476,-0.07628562005054527,-0.02333364648467211,-0.22132889070688777,0.02766773315874375,-0.32682375229424,-0.15698658312669478
PC7,0.13820445437903522,0.08190930751675811,-0.08638122501951381,0.19655792387551854,-0.23638483282826908,0.1935589513262243,-0.26663093115129427,0.016616402241116636,0.1428113057482406,0.038284104803106164,0.042767280563131595,-0.020581848866521063,0.06345576522432389,0.041878248751213,-0.2611906513203323,0.20981240602970458,-0.04225861097463951,-0.018025414628266827,0.06866777524050983,-0.06374439103682007,-0.12041737409501016,-0.266620283258581,-0.15327909958402053,0.22200301037160375,-0.2424532663089769,0.11715514793504558,-0.03503129009906103,-0.2070464112025267,0.15430097042187393,-0.024330658848961895,0.09461288328671405,0.054774494374298224
PC8,0.12607315888261383,-0.004022829838295589,0.08762854477040923,0.050634525744009194,0.21780487997390002,-0.05457058778629971,-0.04988903811179368,-0.0657689647869731,0.06723633498220147,0.07040704347201504,0.22163783689260924,-0.06795039673526151,0.08580504516748895,-0.09148930141999469,-0.024164903323246244,-0.03933258457525697,0.2165158507322459,-0.08098651513016986,0.23209611956495393,0.0501416076166476,-0.05973217835248701,-0.12765209617824644,0.04918324165371736,-0.06444771885010467,0.10631878466045978,0.13965950084752884,-0.10406514305181831,0.23909162453672178,0.07582372180032668,0.004104497959789189,0.15508186404261348,0.10634921873007037
PC9,0.15361807309587536,0.15189291376791333,-0.11747463770739945,0.07206451529954408,-0.17414607335069088,-0.13858031037306007,-0.03139010947755081,0.15596416405859698,0.12318549323586274,0.20895279165806277,0.12171129852304038,-0.12400426046380497,-0.027909848925854453,-0.10514936217008863,0.18796907077890046,0.07515593543048406,-0.10243130188378993,-0.014052668753241775,-0.32565036554254023,0.05230268620797054,0.020929901400636424,0.04087492802026876,0.1353385961156756,-0.23054402739328866,0.049039809387290745,-0.05425745556763811,0.20550818553787362,-0.12926371984339258,-0.020381666301678175,-0.11343283280438524,0.03918232505080639,0.13527274870004652
PC10,0.17483395071642405,0.02221991723484868,0.1828432413017538,-0.10301543778470486,0.1431003268451692,0.15717873760308693,0.06398103772441256,-0.047390848802646754,-0.13279084468242244,-0.2296160003871787,0.028801501284729202,0.025903531182050337,-0.11034045807305766,-0.07050970611173253,-0.09008009835122421,-0.2677336972115225,0.17160718676569398,-0.1817553651604745,0.11351333144434064,-0.09664902347652381,-0.1280845483180771,0.1134161759612529,0.04899519178159385,-0.026738392092712483,-0.19004927285043452,-0.1538859349253597,-0.10745463007022722,0.04017694385727016,-0.006768757455858409,-0.06243800707840739,0.1275598529921859,0.16398978482282306
PC11,-0.2004985680265985,-0.052487358528900255,0.035683754447151966,0.050643367315058176,-0.13005845053436205,-0.1354115003082367,-0.035146686673033965,-0.1255514798935297,0.2369555051444258,0.058607125424873854,-0.11416532422765795,-0.2398533428212611,0.22142179305737947,-0.04820939376855839,0.015581157724768775,-0.07208644989064299,0.0684818336793103,0.013151199886916275,-0.14075855299827228,-0.10204838350571518,0.14140308402728247,0.23483289198726895,-0.11621156530051284,0.054195647962332526,-0.03132153292238821,-0.08877937896897102,0.13600056874720864,0.09880119391746182,0.07275357987267404,-0.037624906064497796,0.17521987574299885,-0.20221790879861365
PC12,-0.11379504956828077,0.06347128068289963,-0.033964445764349156,-0.19384833623437386,-0.17429512801115746,0.027981616997091334,0.07431804035836187,-0.11859821777680497,0.0070274935074226275,0.032198872656595476,0.31516718725294357,-0.015066357161063743,-0.02804414840765885,0.009908332630224104,-0.07226496575468437,0.017991646038473186,0.017318523602406082,0.26838059314551665,0.019448328849187877,-0.003421118711901816,0.13957179110867562,0.09626432743896478,0.007028033620548446,-0.1215265360950889,0.17500869964889962,0.11819777835516472,0.05433671834404552,0.12323910592213701,0.07072118062117612,-0.09401622827079313,-0.014385532688620573,0.06761358104551743
