,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32
PC1,-0.21284488453486664,-0.002125124134150558,0.3237437466144154,0.03126056212697727,-0.18887924911473855,0.2323281897024335,0.19336807200797623,-0.17941108474178719,0.18942924907449682,-0.21354334171184494,-0.25420233363269207,0.289880855823772,-0.2951385314673235,0.12585845221816644,-0.08729267120952096,-0.08093782317092732,0.061794779672806534,-0.14763145385669646,0.23630367344942843,0.42468023081242495,-0.029849297171494295,0.044188079845312866,-0.4027470175997038,0.256314652077658,-0.4590720447269966,0.2748391877065003,0.0827790462776961,-0.2775816204036243,-0.1413012169351427,-0.3448580469489976,0.2609191844623639,-0.09676041741559634
PC2,0.010024226514570139,-0.006342919410392172,-0.037424578484299524,-0.08311226722369106,0.009745209653975961,0.06300234096388448,-0.08744634012522218,-0.03591309784050498,0.10782786103956214,0.06591981954091294,-0.14709099811261556,0.08286079753764557,-0.17336500325318743,-0.03460479450667282,-0.025384520087488836,-0.04004916657131893,0.12935935062260157,0.02528831743050398,-0.014592693799799777,0.06746549177891362,0.1432063030844347,-0.1505449124473533,-0.029033829982820065,0.09941725685749583,0.06977235372881438,0.01773174503688967,-0.005090256075201319,-0.06918758488521151,0.16087619688198587,0.01176114067798335,0.13887059596356205,-0.14060660790877755
PC3,-0.22990781698612298,0.11309033259958792,0.09376816930888833,-0.09444773024120119,-0.07708266015605973,0.04923476405861473,-0.0012015031570333401,0.00980245980108482,-0.06539948513468916,-0.13287175145218816,-0.26864790239266545,0.15825906754811547,-0.016537301560277995,-0.0008376336689047151,0.2135650463494423,0.16022115230020445,-0.04874157448870118,-0.0033108257428270393,-0.06216689513675626,0.3537010920378917,0.08342503865556021,0.08727380013843686,-0.045542920829651626,0.044159142808561466,0.006604482056943614,0.12828580124872555,0.04533508245085446,-0.18336552932124653,0.0541848305248994,0.05328562736524507,0.054115244530041975,-0.18246913964434736
PC4,0.12684240994676035,0.10449278423737703,-0.10073228879583529,0.08696081422814696,0.04450942654726286,0.15540048357075573,-0.06811918795267785,0.1597722377611705,-0.11227247031347028,-0.043824345082837786,-0.11565560280623288,0.007109056095495772,0.13372997716009355,0.06787076064663597,0.1941183587705102,0.2199091654243656,0.05503915343079342,-0.07380593218419773,-0.09924425756977492,0.10740981428913485,0.19858528392647343,0.10184488525402129,0.008297735412588764,0.101508302574957,0.10357155933714993,0.014390916659713324,-0.045858894789027896,0.005190300366259348,0.03759348436230616,0.028566231885344427,-0.08209835641324478,-0.09852373510094553
PC5,0.10782107559410525,0.07684424031089944,-0.12931102918876694,-0.041882888790936386,-0.025096339151216267,0.034028683944011345,0.031702360179500975,0.022056747760298943,-0.02208039690276525,-0.011125436665079563,0.05439436592449161,-0.10550377360966408,0.035784089083465385,0.11108729124337946,0.03063376789274319,0.04653708449714098,0.015479737589139148,0.06650101374645681,0.08996424371056944,-0.07621792334487902,0.07422901854979816,-0.09736476886182589,-0.10945720455475583,-0.09174266240960909,0.011481167675707307,-0.09472348833916962,0.07264872531334178,-0.022749862442682844,-0.054235668864577556,-0.05158157133284885,0.011077983315354112,-0.010787671707234006
PC6,0.11805358744330378,-0.028606937843955894,0.023608803895265266,-0.11782000459801076,0.10736512172389501,0.050801041989009275,-0.08803510871402855,-0.060244045285336355,-0.08844193354387223,0.050402956010181466,-0.026530895957173395,0.04039705941338056,0.02550085700018919,-0.08446716960858755,0.03002962286330897,-0.033434163072461075,0.07305762826332247,-0.07407749086855123,-0.06002395355079685,0.023825924289744345,-0.0487056018416242,0.10923545451939935,0.024897087740760195,0.10712256754423762,0.02314864125566266,-0.009288986386768972,0.032004748824374964,0.005276413615208954,0.08396365450354144,0.03628904563312316,-0.026183106025862192,0.00435764258175812
PC7,-0.05088261230214649,0.022235398800201468,0.061588455477403214,0.02374213310227464,-0.021763488551011304,-0.02949428671724209,-0.05204057436221119,0.023609577310731635,0.04240942023079197,0.008766844993131618,0.002107967470887624,0.0052605276250921595,0.02610745729319654,-0.013494630812804682,-0.07390870424500703,0.023369343195275796,-0.038803395258062465,0.024465667428479526,0.04209945263700886,-0.04330993993125641,-0.020510567519802847,-0.07712966901054094,0.09837087463253043,0.09324762601174283,-0.02711607111785109,-0.02226795341607086,-0.06433616840493282,0.005499510022455151,-0.0026621170966765056,-0.037864714754071646,0.02054253460685141,0.008562203898452853
PC8,0.015918816458351005,-0.0813777091954292,-0.05157206507401506,0.08339928997013388,-0.08932097590914341,0.03372344741586371,0.04614166956574676,0.1620003122571972,-0.02989590366431455,0.023315899214487866,0.04691326034690111,-0.07817158590855518,-0.049352373100082954,-0.019567180363088462,0.04884448579353366,-0.04624961971672575,0.049455242809737225,-0.03340595258292982,0.06400953448590059,-0.11607939871175617,0.07005785817404275,-0.06924843218224133,0.12565210388629117,-0.013451871274771422,-0.07252175607978331,-0.04792655145016283,0.08862266123937171,0.04084311156481923,0.048763757625119294,-0.026686415305713484,0.020299125982617162,-0.0054940885724465306
PC9,0.026562760506905238,-0.06484856948129372,-0.02070916895117353,-0.021606075919758504,0.0215694892009332,0.012249810289541443,0.08610234031643824,-0.04099417567972518,-0.010617116420965909,0.06268424503327003,0.07321155624866582,0.004272288368397935,-0.046435812955121405,0.0401729637968495,0.0316236393007082,0.04664358180211249,-0.006575150266530901,0.0377235451540255,0.07492856351197821,0.000381852712903033,0.006788801412681766,0.001755602275226102,-0.052567804433817554,0.048203808254504,0.042179769585957774,0.024985072510688655,0.02634979779666497,-0.055914097889597024,-0.029333395678485287,0.023234526915981064,-0.06648044784054884,-0.00285345812909817
PC10,-0.0935905575426323,-0.07849498060333354,0.062010586543741045,-0.051348882261297725,-0.1633502158003874,-0.043206469135712924,-0.05239346389635854,-0.005574080591971423,-0.05735654054140075,0.005808786716745522,0.00671666461820485,-0.026775191317390902,-0.036451437031768605,-0.06728345536483252,0.035767337838697996,-0.04476709455364815,-0.03085359043800322,0.019276338331297962,0.00014381663260994436,0.008076618621443798,0.004410049868755653,-0.03467911149953441,0.10127450196607701,0.08764222627046336,0.0025273533428799766,-0.003622679198259905,-0.005180611995771462,-0.042258748679186844,-0.011696258928226977,-0.04251813959298532,0.006018024061032674,0.030740865043364284
PC11,-0.16331547187282042,-0.03174258787206875,-0.04227446210362042,0.05403996899294781,-0.057478364688883524,-0.005876582218725035,-0.026840511229089804,-0.006184250877957263,-0.05490821394597765,-0.014842949528504281,-0.015516384055905297,0.04338396933797588,-0.017190593213545092,-0.06749813198425993,0.015471476940739807,0.012718719066653686,0.037786064816722156,-0.00027644818556468996,-0.11929905872789637,0.0849153750154178,0.0890963251543608,0.014550013436549505,0.057551815768117,-0.04434172640557073,-0.0597300214974551,-0.07430279146984686,0.06029434407190014,-0.028739295335645933,-0.02040027258505115,-0.0627646090483081,0.09489580461427602,-0.019070581952934745
PC12,0.04067428186286282,0.01669982956891407,0.06126044651344866,-0.031860422314076174,-0.06417391884999393,0.0877957132353687,-0.042025957031495455,0.0375095244484799,0.02300684643873546,0.0004392342899000451,-0.027412125162998548,0.005384063797230764,0.0361483258943495,0.06250439755889084,0.017124702200087896,-0.10379075933767261,-0.016397003299816866,0.1057767316577866,-0.0026630016405969474,0.029289439437909237,0.05564663453029295,-0.05253511404035878,-0.029827590559502265,0.03535623485343166,0.0199289143564801,0.06305187708587784,0.016264446814820595,0.06358329057312864,0.050484913177816046,0.04412343831213321,-0.07939791477741476,-0.10775600523465927
PC13,0.062236040300322946,-0.04045688226537003,-0.12256618695539301,0.0062818644965666835,-0.04012518494475403,-0.042405858363556675,0.07209568874580541,0.05105744988251929,-0.046813520173951476,0.011414351542503818,0.031115001718770574,-0.09320402850481296,-0.02050022807891284,0.010902085677085612,-0.018721053922912435,0.04873524682901505,-0.07112839020730366,-0.05069142063985042,0.03094513457760583,-0.05846995113310401,0.0672366026108043,0.05435940114051716,0.0022733699841539293,-0.018037417327118464,-0.018631600145116306,-0.014171355877826747,0.010383446587899723,-0.030466529493026688,-0.0017521076811313485,0.0919850013210717,0.047794731186300156,0.01826727092229951
PC14,-0.015006190767712198,-0.0640731646568695,0.0057780515985131455,0.039237830583703524,0.004955922766293229,-0.05723261878625184,0.03987715272080396,0.0062348290149943615,0.0036679603222540776,-0.01799259057808505,0.027281525566890657,0.02345575767384058,-0.07864988111294939,0.06893066644235388,-0.02365243626210726,0.018193840234849025,-0.010570456828348042,-0.00821996867827636,0.06343774659541854,0.036708950821911314,0.0006031102726085584,-0.01413956677803067,-0.0001540212644514788,0.013355994011265743,0.0013296772363521696,0.010359089630730647,-0.03994418753362479,-0.049538576951404394,-0.03553410928645034,-0.02075295063253338,0.01285337941184112,-0.007245502134411275
