,F1,Accuracy,F1Species,AccuracySpecies,F1_global,Accuracy_global,F1Protection,AccProtection,recon_pear_primates,recon_pear_human,recon_r2_primates,recon_r2_human,latent_human_pear,latent_mouse_pear,KNNTranslationF1,ClassifierTranslationF1,KNNTranslationAcc,ClassifierTranslationAcc
0,0.612244898,0.486486486,1,1,0.84375,0.72972973,0.806451613,0.675675676,0.789489865,0.93141669,0.16009751,0.728993595,0.005980798,0.124358773,1,1,1,1
1,0.615384615,0.444444444,1,1,0.941176471,0.888888889,0.838709677,0.722222222,0.804801583,0.869080544,-0.629022539,0.38365835,-0.021489728,0.0354608,1,1,1,1
2,0.870967742,0.771428571,1,1,0.923076923,0.857142857,0.888888889,0.8,0.621584058,0.88963747,-1.555555463,0.513734818,-0.051180948,0.071900599,1,1,1,1
3,0.916666667,0.885714286,1,1,0.852459016,0.742857143,0.813559322,0.685714286,0.537053704,0.92633009,-1.587597489,0.746284127,0.033725433,-0.003803343,1,1,1,1
4,0.966666667,0.942857143,1,1,0.923076923,0.857142857,0.813559322,0.685714286,0.740355492,0.89288497,-0.932093382,0.501963973,0.088534936,-0.015513159,1,1,1,1
5,0.8,0.685714286,1,1,0.870967742,0.771428571,0.771929825,0.628571429,0.834517419,0.904611707,-0.233123928,0.602487504,0.009810539,-0.042178784,1,1,1,1
6,0.771929825,0.628571429,1,1,0.970588235,0.942857143,0.90625,0.828571429,0.858993232,0.803563178,0.447319031,-0.008219883,-0.002500713,-0.00791029,1,1,1,1
7,0.892857143,0.828571429,1,1,0.939393939,0.885714286,0.852459016,0.742857143,0.510857999,0.907351077,-3.190073729,0.633670092,0.013143718,-0.07369408,1,1,1,1
8,0.888888889,0.8,1,1,1,1,0.727272727,0.571428571,0.587366939,0.891963542,-1.855445266,0.506986439,0.038346671,-0.002602356,1,1,1,1
9,0.793103448,0.657142857,1,1,0.923076923,0.857142857,0.90625,0.828571429,0.821899176,0.914844155,-0.280822843,0.657983363,0.007058498,-0.063147679,1,1,1,1
