,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,-0.0055331783,0.012390144,0.0027894194,-1.118188,0.5653658,0.019595485,0.045001153,0.61932266,-0.01159147,-0.016714096,-0.0020302816,-0.6282156,-0.023148887,-0.007473037,-0.03517633,0.020887712,0.106548384,0.026081571,-0.041699793,0.012975456,-0.019314418,0.4491386,-0.0037831354,-0.012441855,0.0044230777,0.0480064,-0.03421505,-0.045394808,0.6661896,-0.02001543,0.027188016,-0.029877912,1,1
1,0.009608933,-0.01992633,0.0048884805,-1.1072938,0.56461537,0.03988678,0.069686234,0.597024,-0.024274763,0.029377704,0.015821654,-0.62629163,-0.013600452,-0.0016898036,0.0050655296,-0.0077159316,0.103915885,0.016483061,-0.03924479,0.030370776,-0.016373783,0.44186613,0.0026168323,0.0036447025,0.01640212,0.015485617,-0.011765812,-0.03090285,0.6422807,0.010090318,0.041131064,-0.0031184899,1,1
2,0.08116746,0.08705811,0.0669682,-1.1246716,0.5581577,-0.088945925,0.049643923,0.6169483,0.059212998,0.0871227,0.036417607,-0.6234529,-0.13016388,-0.0114738075,-0.10535594,0.106069796,0.09673151,0.099694975,-0.13173668,-0.10131485,0.071717925,0.44804984,-0.11258177,-0.0944368,-0.035239108,0.026016172,-0.09896876,0.109680444,0.64279014,0.1204354,-0.01683848,-0.039031792,0,0
3,-0.041539446,-0.04966291,0.051048722,-1.0903727,0.53761256,-0.0012635397,0.047551453,0.58157,-0.06940902,0.11970863,0.03595612,-0.6100228,0.06211722,0.044984296,0.07600195,-0.0084082,0.09305652,0.005917564,-0.047194026,0.03202483,-0.05885153,0.42604896,8.702889e-05,0.07000486,-0.013809688,-0.0057546906,0.037838556,-0.05291861,0.6384113,-0.03748374,0.0264569,0.04182737,1,1
4,0.081992984,0.09054263,0.058717854,-1.112234,0.55841327,-0.07550314,0.0483672,0.6179855,0.06253776,0.07137783,0.04273642,-0.61988926,-0.14205399,-0.012280098,-0.108620696,0.09522296,0.09571144,0.08946597,-0.12032633,-0.101868965,0.07812702,0.44972438,-0.10866334,-0.10127896,-0.033655334,0.023485322,-0.10949549,0.11749922,0.63890404,0.11143486,-0.011332959,-0.050660614,1,0
5,0.014555789,-0.016732743,-0.007419868,-1.0656594,0.5359019,0.0037926754,0.037107047,0.5918207,0.015206392,0.058698557,0.035761666,-0.6117045,0.009098905,-0.0040564435,0.10751263,-0.07578186,0.08898934,0.008643841,-0.093799576,0.050249767,-0.021388428,0.42535475,0.027902853,0.0219367,-0.008889934,0.024368105,-0.05467688,-0.014952737,0.64462596,0.00025983973,0.033274356,0.050445188,1,1
6,-0.027251769,-0.02681477,0.04908461,-1.0949502,0.5317724,0.00022537803,0.0497052,0.58977574,-0.035441212,0.06572396,0.011155505,-0.6122573,0.038271237,0.032875493,0.06619402,0.0022554654,0.10562558,0.017645366,-0.0678757,0.06414171,-0.040469937,0.42531177,0.005136136,0.059486143,-0.008756381,-0.021423273,0.0045446786,-0.067184106,0.63249815,-0.04786677,0.008432654,0.05031439,1,1
7,0.07972685,0.08107018,0.05674081,-1.1191242,0.5612548,-0.07087874,0.05139782,0.6184523,0.059068404,0.07808329,0.04540546,-0.620966,-0.13046108,-0.004890246,-0.09343568,0.08729299,0.099351935,0.08019169,-0.10537949,-0.099132426,0.07588093,0.45405126,-0.10865187,-0.102346286,-0.04181628,0.024721637,-0.1074587,0.10739511,0.6353652,0.123230934,-0.0016738039,-0.037074406,1,0
8,-0.031810883,-0.025728518,0.03463904,-1.1205043,0.56895745,0.00536908,0.03861992,0.6140499,-0.018539751,0.024002729,0.026971735,-0.63494545,-0.020700369,-0.037476733,0.020795282,-0.02999883,0.10099813,0.022500347,-0.044152036,0.026536277,-0.03191034,0.44128406,0.016185442,0.011910513,0.028454198,-0.011989622,0.024524027,0.0023968273,0.6490185,-0.0061614728,0.0150838485,0.013593186,1,1
9,-0.014885468,-0.0074607795,0.015356418,-1.0859917,0.5514102,-0.0023610643,0.05582471,0.6019059,0.0018268793,0.00094511424,-0.009362963,-0.61565536,-0.010629363,0.020029224,0.0054436657,0.0063465587,0.09892744,0.025603987,-0.025521189,0.033505242,-0.02505823,0.4385877,0.0014572717,-0.0022699048,-0.01720491,0.07728389,-0.01296513,-0.049324036,0.6381676,-0.010884401,0.02951891,-0.010873441,1,1
10,0.038607832,-0.013028082,-0.03438682,-1.0829349,0.5785105,0.10476172,0.045817416,0.6130847,0.03316265,-0.06458238,0.042073496,-0.61339664,-0.019362204,-0.06618597,-0.06115389,-0.002634854,0.09266225,-0.015923388,0.034946818,-0.04681218,0.027582334,0.4436614,0.014492352,-0.039538037,0.06726183,0.011205159,-0.04285188,0.013179307,0.6421416,0.036858637,0.012941661,-0.0738893,1,1
11,-0.01523699,0.0105794575,-0.020180732,-1.0522304,0.5287012,-0.10466228,0.06980255,0.5948898,0.019662045,0.03392485,-0.01444568,-0.6182454,0.035517685,0.09476092,0.018531933,0.004515629,0.11012735,0.04342076,-0.07733168,0.0727435,-0.038170643,0.42783216,0.04310296,0.019735068,-0.019405529,0.08227461,-0.050393805,-0.07957523,0.6507646,-0.10563824,-0.0041237823,-0.046211768,1,1
12,0.005940593,0.0042874687,-0.009356748,-1.0767677,0.5517342,0.03282659,0.066273,0.5854971,0.016827838,-0.04305174,-0.021308614,-0.6059487,-0.0051781693,0.022157282,0.0037988988,0.02344574,0.10129636,0.016190711,-0.01014815,0.040975172,-0.007714782,0.42756063,0.027317196,0.051569466,0.042651564,0.015019347,-0.00069478375,-0.047949206,0.6405683,-0.03460669,-0.014929089,-0.02450782,1,1
13,-0.01185448,-0.021279175,0.013554551,-1.119942,0.57121015,0.051535346,0.016324522,0.6214352,-0.034543097,-0.012587278,0.035857227,-0.6180225,-0.033025987,-0.1155257,-0.0056857476,-0.030624492,0.112500384,-0.053561326,-0.028052446,-0.012881242,-0.022123447,0.4430805,0.007453914,-0.05713645,0.04170027,-0.020911094,-0.015671415,0.011086943,0.6275756,0.021486074,0.022103226,0.030250538,1,1
14,-0.033396594,-0.06297184,0.045729227,-1.1253402,0.5423242,0.09306156,0.04152679,0.58921427,-0.1339284,0.034912426,-0.00645557,-0.59950566,0.07720021,-0.11871795,-0.017888758,0.059285615,0.09381024,-0.07597586,0.012684536,-0.034292478,-0.107997864,0.4033399,0.012144681,0.03625249,0.06581818,0.044858668,0.08516093,-0.07893105,0.5826657,-0.002492833,0.03727129,0.048895057,1,1
15,0.07551316,0.08704491,0.06469159,-1.1289309,0.563417,-0.08474846,0.047408275,0.62322515,0.05355985,0.0731699,0.03886882,-0.6237844,-0.13329884,-0.012778961,-0.1091888,0.09995905,0.09923358,0.083338276,-0.10863746,-0.11104317,0.07251556,0.45696253,-0.11695506,-0.10278465,-0.0458072,0.03547288,-0.106520474,0.10689019,0.64049554,0.12237029,-0.013011196,-0.04313956,1,1
16,-0.021978036,-0.035166632,0.029878223,-1.1165859,0.5786162,0.012900888,0.037062593,0.6197324,0.021084983,-0.019421715,0.044352297,-0.6338372,-0.027165825,-0.013026201,0.0070878305,-0.032736868,0.12288125,0.0229495,-0.014025386,0.036257017,0.017418444,0.45246387,0.002921885,-0.026694946,0.019367797,-0.044694696,-0.01698152,0.0006220639,0.6424356,-0.002460578,-0.01746647,-0.0126126995,1,1
17,0.07217274,0.08595135,0.061379045,-1.1168722,0.5621609,-0.0746242,0.045918595,0.61983716,0.063723095,0.06387902,0.03645991,-0.6158108,-0.13467617,-0.023695696,-0.097640246,0.090427205,0.086055666,0.0724722,-0.090002134,-0.11830667,0.062323976,0.45993242,-0.12451824,-0.09861267,-0.054184776,0.059650663,-0.1118405,0.10457364,0.6409972,0.12471344,0.006517815,-0.05069225,0,0
18,0.0709153,0.08548205,0.06285145,-1.1369579,0.56333023,-0.10087476,0.038413066,0.6399643,0.07949526,0.06873942,0.046291202,-0.63791114,-0.12628263,-0.01874367,-0.096883684,0.08879406,0.0988504,0.092708305,-0.13098204,-0.100589484,0.07268852,0.46040452,-0.09914965,-0.11738732,-0.049176745,0.044949345,-0.10991691,0.11130778,0.65119773,0.115639895,-0.009789428,-0.037264466,1,0
19,-0.02138326,-0.039411306,0.052476227,-1.0937116,0.54699624,0.05894766,0.049021337,0.59399307,0.0055882004,-0.009405876,0.028424006,-0.6055522,0.0071053747,0.061578956,0.026286956,0.012172988,0.12127248,0.031234184,0.014958585,0.054216325,0.026008215,0.44615668,-0.03828443,-0.0070477794,-0.044911016,-0.017665436,-0.038121495,-0.079734206,0.63048536,-0.007891259,-0.012771407,-0.017804708,1,1
20,-0.054341007,-0.006621708,0.023091754,-1.1041063,0.5626335,-0.07471267,0.027853824,0.6259529,0.0052759866,-0.0048601655,0.014731638,-0.6361834,-0.022969775,-0.02006618,-0.0016674146,-0.023858586,0.12073769,-0.0026476686,-0.057967745,0.02501614,-0.03634522,0.44989392,0.027265703,-0.006379458,0.0045609986,0.014094988,-0.0074601783,-0.013223391,0.64554787,-0.036544878,-0.020256402,0.0015420014,0,1
21,-0.015906924,-0.042350866,0.048664663,-1.1024173,0.54523253,0.007937799,0.054450173,0.59673816,-0.012661246,0.06503245,0.029182445,-0.62359047,0.014416546,0.04812849,0.04789793,-0.011551574,0.10537126,0.015810885,-0.034940246,0.040927827,-0.0063217343,0.44421643,-0.013246994,0.008010279,-0.04440625,0.016282747,-0.025064457,-0.05572926,0.634362,0.0019459989,0.02649517,0.023354279,1,1
22,-0.028446302,-0.024370022,0.020890992,-1.0872211,0.54322934,0.021896929,0.024223827,0.6015721,-0.012919421,0.0062395697,0.045713693,-0.62107766,0.029784624,-0.020971583,0.027495243,-0.030315343,0.097361855,0.033760678,-0.047609564,0.03317304,-0.026688343,0.43184197,0.02601769,0.011343677,0.01583107,-0.0054331054,-0.020215744,-0.035413783,0.6617729,-0.031429637,-0.016416686,-0.008558629,1,1
23,-0.04925312,-0.032004368,0.019635791,-1.1112883,0.5683933,0.07638998,0.021133173,0.62147546,-0.041646026,-0.08524281,0.015072463,-0.6105823,0.0140928505,-0.15291096,-0.08628127,0.03353819,0.10098632,-0.0278524,0.04808784,-0.07838327,-0.071921445,0.42649072,0.006089121,-0.04639645,0.056300648,0.09264126,0.034187164,-0.030654287,0.60998285,0.029790316,-0.01325884,-0.05337799,1,1
