,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,0.20740753,-0.4334811,0.31979397,0.1605519,0.22557934,0.7175037,-0.07041113,-0.96613157,-0.8235551,0.8624111,-0.20786008,-0.1663258,-0.60831445,0.6296007,-0.04466019,-0.0851874,0.07318431,-0.40664157,0.26041174,-0.7554166,0.4005268,1.1301312,-0.10546744,0.0048025283,-0.75443393,0.80219203,-0.64362705,0.15432434,0.577327,0.8450913,-0.13094471,0.58794606,1,1
1,0.24622002,-0.5990175,0.89836013,0.47286308,-0.085338384,0.89878494,0.2667583,-0.9742624,-0.9587258,0.597424,-0.23171857,0.36662084,-0.871576,0.528078,0.06279139,-0.10854996,-0.17385678,-0.23463172,-0.12597533,-0.494078,0.2292651,1.099858,-0.6268649,-0.3329303,-0.98224425,0.71442574,-0.5053832,0.121643335,0.74529725,0.974404,-0.6391686,1.276045,1,1
2,0.62221974,2.051848,-2.1303997,-0.62268186,2.8220384,-0.21552661,0.14640863,4.590936,1.3402867,1.3270197,0.8225662,0.12198693,0.10580667,-0.066688016,-1.3724786,0.2574841,-0.0009064355,-2.2766197,0.36886346,-0.11355439,-0.38997382,-4.8720784,2.432196,2.878357,0.33124843,1.7556224,0.25229627,2.0018265,-3.7844827,-3.0024104,3.2266047,-5.9452953,0,0
3,0.3309468,-0.36617,0.38273787,0.17883725,0.30487886,0.40254822,0.22304597,-0.95447296,-1.5046635,0.28263214,-0.36612928,0.1410057,-0.55659086,0.9589666,0.16830236,0.371705,0.3237445,0.01610057,0.21250151,-0.8044294,0.56941944,0.85950243,-0.099348925,0.2766703,-0.7862361,0.82498616,-0.49990055,0.6952334,0.2934665,0.66363823,-0.013187565,0.35139167,1,1
4,0.47716427,-1.0500572,1.4867803,0.8771324,-0.7081544,1.4721904,0.20618466,-0.5382089,-0.5507406,-0.12007661,-0.8661265,0.6836019,-1.3995731,-0.13344945,0.01726523,-0.6351539,-0.2358368,-0.23725556,-0.7956467,-0.060390666,0.13223183,1.8257102,-1.5315722,-1.6328398,-1.7867436,1.0785924,-0.5359207,0.851651,1.981357,1.0424489,-1.5052434,1.8371891,1,1
5,0.66508174,2.064871,-2.0116477,-0.6386548,2.8352368,-0.258266,0.25200883,4.461765,1.1983722,1.3173141,0.8085252,0.17970252,0.15388586,0.041195028,-1.349296,0.3872457,0.065797314,-2.245233,0.31229916,-0.20052542,-0.32887504,-4.9484706,2.3978562,2.943961,0.37632415,1.6851788,0.17721522,1.9590726,-3.8719943,-2.8689535,3.2442987,-5.9541354,1,0
6,0.47426113,-0.93778604,1.9207227,0.61063576,-0.5986275,1.2667975,0.8045993,-0.6663872,-0.5080351,0.7206957,0.091315396,1.0732542,-0.9126573,0.041258156,-0.13207848,-0.9607567,-1.028825,-0.6630546,-1.040384,0.018855903,-0.86895865,1.1561968,-1.2929899,-0.6522005,-0.76784277,1.2332023,-0.5869141,-0.54692745,0.7833289,1.6183941,-1.6088406,2.1863406,1,1
7,0.5730167,-1.1662269,1.1883034,0.7170314,-0.9164167,1.0874002,0.37342182,-0.6010459,-0.58690107,0.22245336,-0.5784639,0.58123255,-1.1557425,-0.07002242,-0.10359214,-0.77403986,-0.16751492,-0.27747205,-0.91287744,-0.13876946,-0.33281747,1.9075655,-1.1151587,-1.3443518,-1.3668728,1.3119512,-0.6609538,0.53636235,1.6744494,1.5578518,-1.5000459,1.556412,1,1
8,0.4191402,-0.8371037,1.449039,0.51641685,-0.23067649,1.0127615,0.42186666,-0.7559434,-0.8173027,0.45978937,-0.15816946,0.9086864,-0.9957356,0.346387,-0.081609674,-0.6741053,-0.6647235,-0.41682824,-0.53226775,-0.100476064,-0.31429476,1.2168516,-1.0062636,-0.76070964,-0.84673816,1.0433432,-0.46112788,-0.04825759,0.85123515,1.2385193,-1.2612175,1.8167268,1,1
9,0.0044875285,-0.36360028,0.8765035,0.34183666,0.032062814,1.1114516,0.06216054,-1.1704926,-1.0146989,0.5620215,-0.5358453,-0.06773517,-0.708152,0.6002603,0.05476154,-0.34379503,0.030865587,-0.52935505,0.0723558,-0.47608757,-0.040832512,1.5867289,-0.36654618,-0.71749645,-0.6517744,1.1611357,-0.5992151,0.32075423,0.9181083,0.9707144,-0.3440814,1.3788298,1,1
10,0.46628746,-0.06915048,0.81839633,-0.037314218,0.59382766,0.33269545,0.9507159,-0.9739812,-1.6176008,0.69074464,0.56283027,0.46763903,-0.17649202,1.110169,0.34518,0.6670364,-0.1414766,-0.09895621,-0.070487484,-0.9218869,0.5410479,-0.19025874,0.018725265,1.8429722,-0.49954656,0.4365154,-0.44594327,-0.15189697,-0.8099549,0.7089333,0.23723194,0.1754936,1,1
11,-0.004528933,-0.6912527,0.71788776,0.42451555,-0.5036742,1.4936088,-0.04917038,-1.2479391,-0.40148714,0.9608657,-0.73846346,-0.7311737,-0.70958877,0.19454749,-0.18123874,-0.4666561,0.21186832,-0.7157698,-0.14873612,-0.69779366,-0.03667982,2.1147845,-0.592073,-1.0539178,-0.9829601,1.2468535,-1.0337937,0.18714881,1.5138233,1.4610063,-0.44534174,1.2750001,1,1
12,0.4388605,-0.47845706,1.2880247,0.60782355,-0.07491928,0.83259803,0.26083717,-0.78910685,-1.5695782,-0.7268595,-0.9925182,0.8528072,-1.0939695,0.6156811,0.4906927,0.551353,0.3528919,0.335909,-0.30469897,-0.5299087,1.0455022,0.92596763,-1.2006137,-0.756898,-1.7707635,0.37424254,-0.30758038,1.285288,1.2103302,0.32476512,-0.5813209,1.0844324,1,1
13,0.23699257,-0.7155107,0.9834171,0.32073784,-0.35138363,0.7716648,0.5328487,-1.1769401,-1.1972444,0.4521128,-0.36399868,-0.048862427,-0.5731765,0.7314035,0.017619502,-0.26923385,0.023955869,-0.275384,-0.25230673,-0.6136659,-0.2505988,1.798475,-0.3717428,-0.34055725,-0.6282273,1.3982115,-0.9177682,0.25403902,0.7306616,1.4561371,-0.54508954,1.2804886,1,1
14,0.38135895,-0.9868804,2.2341156,0.14982942,-0.08412405,1.7904749,-0.017994082,-1.2496647,-1.2517726,-0.70168066,-1.039669,0.4290497,-1.2046125,0.43422857,0.8577782,-1.0284154,-0.41797003,-0.19532992,0.013585384,-0.43600777,1.2027383,2.3555279,-1.9466205,-1.037559,-1.8809899,1.0876076,-0.67531925,0.8129068,2.0716708,0.4994945,-1.0269415,2.4231772,1,1
