,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,-0.22816363,-0.19433632,-0.19880658,-0.49975306,-1.7060676,3.4173453,0.0397505,-0.102114365,-0.18026328,0.101105526,-0.009272918,-1.1320863,0.23604305,-1.9427481,0.35053033,-0.19970438,-0.062913924,0.08549617,0.22133835,-0.13428336,-0.8589004,0.17989463,0.031918682,-0.09714112,-0.13876094,-0.38076973,0.9936238,0.06426482,-0.016406648,0.7646731,-0.85250795,-0.25455016,0,1
1,-0.19656688,-0.027249131,-0.0872011,-0.34679383,-1.5906006,3.33739,0.13737425,-0.2211733,-0.15946251,0.13213716,-0.025880951,-1.143395,0.08909035,-1.6469504,0.19185343,-0.12619874,0.004758425,0.19882217,0.32542646,-0.21069829,-0.63945425,0.09823935,-0.015327036,-0.099489324,-0.116656624,-0.20607921,0.8819003,-0.15402704,-0.25404435,0.634661,-1.1394876,-0.105911165,0,1
2,-0.275805,-0.20146689,-0.20498133,-0.5814325,-1.6305783,3.4646664,0.045820177,-0.25328177,-0.14777318,0.02480214,0.064848505,-1.1604297,0.3321663,-1.763737,0.1443598,-0.1990811,0.04729163,0.19489703,0.16092053,-0.2233356,-0.6553193,0.19430254,0.10967103,-0.03305329,-0.1525801,-0.16978212,0.8490881,0.098971374,-0.08854738,0.66263527,-0.9426347,-0.09543265,0,1
3,-0.034958847,0.13722958,0.014493447,-0.77511936,-1.6894265,3.4117525,0.10892792,-0.09162235,0.20768452,0.14219902,0.063053034,-1.2167504,0.23025858,-1.8743088,0.44765836,-0.18387148,0.21825033,0.21185602,0.06393364,-0.08049356,-0.6833295,0.29415953,-0.026597783,-0.23180489,-0.11630664,0.034800187,0.87176037,0.1444535,0.2860641,0.84583104,-1.6595668,-0.16034769,1,1
4,-0.18045153,-0.16322562,-0.1418451,-0.36776018,-1.7172056,3.5656347,-0.050645567,-0.06514632,-0.10814121,0.02097623,0.013146132,-1.0548725,0.27387586,-1.9699208,0.008565798,-0.33531204,-0.039291576,-0.18501586,0.23929156,-0.004243672,-0.89060414,0.4963498,0.24243826,0.10738815,0.2815237,-0.11271493,0.96428907,-0.16307,-0.051080346,1.0214536,-1.1833345,-0.46505404,0,1
5,-0.16441557,0.009706922,-0.31878215,-0.7563788,-1.7375537,3.4473915,-0.02330634,-0.10118766,-0.12084411,-0.03645488,-0.043179795,-1.4976041,0.0984204,-1.6603649,0.23735341,-0.32683328,0.003300311,0.079121485,-0.30570763,0.07674901,-0.79945385,0.31309146,-0.25539452,-0.4323883,-0.16024828,0.17235157,0.6559514,0.15551716,-0.22065097,0.59721184,-1.2825837,-0.21726568,0,1
6,-0.15884404,0.042029895,-0.17629974,-0.59062284,-1.6384668,3.5612645,-0.1790035,-0.10813847,-0.027019437,-0.09598529,0.007459067,-1.1213601,0.16178077,-1.9650528,0.004104018,-0.28087223,-0.12894681,-0.19410059,0.18989423,-0.05481725,-0.8493738,0.46048504,0.16564061,-0.11885971,0.21952395,-0.10407226,0.87791073,-0.15542743,-0.12135348,0.9295106,-1.341325,-0.32077268,0,1
7,-0.23095343,-0.24067982,-0.2533002,-0.8589115,-1.8319211,3.7547326,-0.02182497,0.0021560416,-0.21309021,0.02319438,-0.11043166,-1.1489668,0.2910118,-1.8942807,0.23303822,-0.1716105,-0.09740095,-0.13464142,0.1291185,-0.20698076,-0.7660084,0.37300435,0.1068819,-0.22601318,-0.04995712,-0.30040202,0.96629727,0.030986145,-0.035184845,0.9812001,-0.85478485,-0.042812105,0,1
8,-0.11400838,-0.007599868,-0.07104831,-0.7451007,-1.7587284,3.4434156,0.013454944,0.050934963,0.049133744,-0.12920868,-0.05994355,-1.2704574,-0.041819155,-1.6550475,0.11894859,-0.08486558,-0.050714955,0.07422942,0.05355175,-0.12536345,-0.6034117,0.3074748,-0.1300722,-0.42562413,-0.10844406,-0.20996241,0.9614481,-0.14711933,-0.10386349,0.8558899,-1.3802364,0.01593396,1,1
9,-0.24157336,-0.15557036,-0.34386668,-0.77121365,-1.6171067,3.5519714,0.015414327,-0.05788323,-0.062483978,-0.11117655,0.039949436,-1.1342578,0.17761728,-1.7214029,-0.0020119064,-0.2271558,-0.005809758,-0.054710656,0.04107794,-0.06887309,-0.79432786,0.28517225,0.07956216,-0.29205406,-0.017869081,-0.30831575,0.8083244,0.06055519,-0.0057933554,0.7227185,-0.9278724,-0.074502245,0,1
