,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,0.38989806,1.6656641,-0.39174622,1.1261046,-0.71144146,1.7680702,-1.1564595,0.6631049,1.0880433,0.5738199,0.633279,-0.7998826,0.38023868,1.9243637,0.051062636,2.4895906,-0.29521376,-1.1491389,-0.2291569,-1.8360095,1.6928877,0.29036805,0.33526033,1.4436706,-0.5653379,1.778584,-0.1920431,0.3440637,-1.4248163,-1.0455366,-0.5358057,0.092466876,0,1
1,-0.8553437,1.9541639,-0.10345375,2.068468,-0.75376874,1.3401027,-0.5818898,1.7399129,2.0864513,0.29229924,1.4294797,-0.91969824,2.1683521,0.91777086,-0.62075794,2.9709427,-0.73142296,-1.1937542,-0.331365,-1.5874957,0.5416721,0.30029982,-0.40533093,1.2532423,-1.0707546,1.1639167,-0.04798688,-0.006131447,-2.0461314,-1.1565639,-0.26456934,-0.50016487,0,1
2,-0.3519797,1.4359666,-0.93997425,1.3257309,-1.3482134,1.2528222,-1.5170873,0.8341964,0.3691513,0.6891973,1.8124957,-1.4032485,1.4001087,2.1922162,-0.19807623,3.136247,-0.35603288,-0.5587808,0.07607513,-2.624664,1.5461031,0.5887885,0.6119295,1.55617,-0.1982228,1.7752273,0.3076651,-0.12835601,-1.8955646,-0.5236343,-0.61798143,-0.8606739,0,1
3,-0.7936601,2.6397343,-0.3228803,0.17744312,-0.76750976,0.58118063,-1.0109134,0.54979986,0.48072222,0.83401984,0.4110953,0.34785044,-0.40366712,1.4418385,0.029735459,1.8272948,1.3650184,0.9772937,0.7008567,-1.8919419,3.0987883,-0.48764592,-0.6338572,1.9445618,1.2539314,1.7597481,-0.0668426,0.8146837,-0.12255623,-1.0784546,-2.7371945,-0.50547594,1,1
4,-0.5525468,0.98543286,-0.51943034,1.0757289,-0.08828877,1.5929773,-2.4691532,0.71321803,0.15815634,0.81645757,-0.49451792,-1.2571586,-0.53613204,1.4802786,0.37786177,2.983965,-0.53459024,-1.1118644,0.44497997,-2.2700572,1.5099381,1.8610505,0.07546428,1.8826337,-0.9541069,0.9435585,-0.85931736,1.1900954,-0.41800612,0.50135195,-0.3760077,-0.17031997,0,1
5,-0.26402587,1.4556428,0.26169893,-0.39130083,-1.9259208,0.32902336,-1.8519517,-1.4036077,0.33960178,1.0416751,0.54915357,0.79747254,0.26220545,1.6347383,0.90366,0.8816702,0.29419568,-0.75234,-0.65050733,-0.26465008,1.5587797,-0.99810296,0.49047056,-0.35207433,1.001407,1.8519189,0.2748429,0.7547407,0.21615328,-0.7323194,-0.85306656,-0.09594526,0,1
6,-0.12332658,1.1089079,-0.70933247,0.6201634,-0.91092277,1.8266388,-2.143824,0.7188873,0.7990923,0.43454966,-0.6803456,-1.3367065,-0.3520364,1.9818097,0.43323573,2.0933962,-0.22414471,-1.3742051,0.27551743,-1.3310317,1.6807954,1.6946405,-0.9375312,1.3319254,-0.62245625,0.81316185,-0.3388562,1.8302065,-0.36738336,-0.55996364,-0.16166191,-1.129992,0,1
7,0.5388032,0.73623466,-0.19459832,0.92355967,-1.0728682,1.3189621,-1.5532063,0.3518972,0.013987845,-0.22807634,-0.45026112,-0.39384618,0.18046393,2.6175308,0.273488,2.681183,0.41767794,-1.0065545,0.22424151,-1.7721847,1.4620234,0.3171864,0.6354533,1.181111,-0.29305765,0.8475454,-0.038155008,0.77498156,-1.1502872,-0.96425873,-0.047506496,-0.5870776,0,1
8,-0.3446118,0.88109607,0.2775001,0.38248366,-1.5454776,0.1628631,-1.1542519,-0.030692523,0.62991834,0.06187464,-0.44596398,-0.11753671,1.0404073,1.230079,0.27625132,0.91888297,0.42394248,-0.91682214,-0.05820852,-0.1403932,0.79841393,0.02923468,-0.66939336,-0.11926025,0.15098408,0.50184464,0.22969824,1.1431651,-0.3008958,-0.5333461,-0.48365545,-1.306655,1,1
9,-0.24743316,1.011785,0.03252577,0.57401526,-1.7403114,0.31294718,-1.5471467,-0.12646317,0.48998344,0.3722795,0.872211,-0.40207934,1.003476,2.3709903,0.71721756,1.2926911,0.2784258,-1.2260911,0.10710037,-1.6527983,0.9348713,0.5373535,0.09282604,0.23736228,-0.5101949,0.7621782,0.5217323,0.15501511,-0.70192456,-0.53841287,-0.6433133,-1.043787,0,1
10,0.40504414,0.81438035,-0.39270386,-0.39358252,-1.676717,-0.85803735,-2.3494852,-1.4133875,0.15804256,0.15641488,1.0341969,-1.6570274,1.2565545,2.0113525,0.80409443,0.523359,-0.33074906,-0.92965496,-0.48587894,-0.6749646,0.9269382,1.0434141,-1.3965926,-0.30203384,0.6583054,1.0948452,0.6786195,-0.010521755,-0.48352277,0.43519434,-0.8535991,-2.1968677,0,1
11,-0.19813915,1.2750117,-1.550554,-0.23262876,-1.2638043,0.4986883,-2.4304407,0.11690533,-0.18048087,-0.15633056,0.43206576,-2.3429163,-0.059600893,1.9067751,0.5015494,1.6570934,-0.14965853,-0.07780896,-0.08439431,-1.6837361,1.9214194,2.0714016,-2.1515853,1.3424101,0.5027435,1.5151803,0.0151627045,1.0616881,-1.4422288,0.2210941,-0.7975637,-3.2015834,0,1
12,-0.15311423,0.57538456,0.4354594,-0.7088053,-1.1447206,-0.9911369,-1.267228,-1.5141938,0.052443396,0.95820224,0.558555,-1.2957267,0.73595953,0.52037376,0.08087973,-0.47284463,0.8806533,0.20163478,-1.453171,-0.1584699,1.3978224,0.6984985,-1.9762846,0.37372738,1.2097502,1.1805921,0.69470423,0.52848333,0.3980053,0.8278195,-1.4123807,-1.3887124,1,1
13,0.92654824,0.64708304,0.13310419,0.25457093,0.27974024,-0.73702294,-1.2635787,-1.7804255,0.69481623,0.052077815,0.18835554,-1.9283965,1.3933036,0.09904365,-0.4155727,0.3204197,-0.17080617,-0.6552976,-2.650456,-0.1743731,0.07203045,0.5000197,-2.374787,0.7715056,0.63069844,1.2953541,0.2723712,-0.89889646,-0.57783973,0.8973507,-0.58997136,-0.96983945,1,1
14,0.5377458,0.65391845,-0.010480043,0.5329078,-0.96559894,-1.7761894,-1.316128,-1.3117874,1.1621684,-0.41590375,0.6431515,-1.9749206,3.3128715,0.06882187,-0.9585751,0.585487,-0.33910534,-0.8307549,-2.613914,0.45323843,-0.6172875,-0.3389863,-2.3996255,-0.6251725,1.0714684,1.0882047,0.13159414,-0.7293177,-1.4091024,1.1258668,-0.2946296,-2.3362951,0,1
15,-0.78506464,0.8963151,1.1307588,-1.0075691,-2.0794315,-1.4304508,-1.3076259,-1.3369946,0.48504615,-0.8691772,-0.44419867,0.9725572,1.0995675,0.9701272,1.1891938,-0.5178628,1.2575305,-1.0303838,-1.1532335,0.1217995,-0.52041984,-0.90066266,-1.0252594,-1.1573273,-0.22904475,0.8104814,-0.56189114,0.29522672,-1.0435216,-0.09248281,-0.26964462,-2.5158548,0,1
16,0.7612923,0.204304,0.8472428,-0.9692849,-1.4051255,-2.313607,-1.2160678,-1.9925573,-0.92172056,-1.0260841,0.59901696,1.0691406,1.2842789,2.0245733,0.5761765,0.55950075,1.129699,0.37078512,-0.52283466,-0.62843674,0.110477656,-1.8575312,0.55876565,-0.75684035,1.6918287,0.63018286,0.11674034,-1.3761646,-1.071113,-0.1502726,-0.6833555,-1.6902928,0,1
17,0.021737108,0.99619657,0.8735539,-1.4808334,-1.7302024,-1.2424091,-1.2207814,-1.0101804,0.34687752,-1.4717712,-0.30572936,0.71682435,0.8205602,1.3851371,1.0367043,-0.04675819,1.0291041,-0.011137961,-0.4443145,0.3516289,0.6058214,-0.70084196,-1.6775894,-0.46269968,0.76219875,0.8996674,-0.4232146,0.6083984,-1.5556729,-0.8650008,-0.78298783,-3.4164112,1,1
18,0.32480153,-0.5250069,1.163882,-1.9688349,-0.49229184,-1.4803008,-1.3544524,-2.6983619,-0.8825808,-0.2479992,0.2711473,0.3444163,-0.77575177,1.4380921,1.647276,-1.4809424,0.60676515,-0.11358578,-0.53020155,-0.19715703,0.026084067,0.7124226,-0.76772445,-0.32055166,0.13454628,0.25750917,0.26437983,-0.40891078,0.6155919,0.34362653,-0.43151298,-1.1146021,0,1
19,-0.09707429,-0.26173264,0.42213503,-0.4810147,-0.07392255,-0.38551217,-1.3664402,-1.2676014,-0.5390802,-0.94380707,-1.5870746,-0.22090203,-0.0053096,0.64997005,0.90431255,0.05875342,0.3056812,-0.6608966,-0.53834164,0.48983687,-0.44866437,0.95477426,-1.6366796,0.35966173,0.48199642,-0.6279476,0.08264458,0.5492112,0.8521687,0.013403092,0.42833358,-1.7569731,1,1
20,0.36203644,-0.47997794,0.27550614,-0.018944971,0.28953677,-0.64714503,-0.8931594,-1.1751382,0.19933791,-1.3022093,-1.093372,-0.553919,1.0709448,0.048471853,0.063879535,-0.1642303,-0.051721506,-0.698736,-1.2599481,1.1050581,-1.0968105,0.33027142,-2.1261039,0.07224927,0.556223,-0.58422536,0.262874,-0.14930904,0.37052906,0.089595936,0.60204077,-1.5782257,1,1
21,-1.0849733,0.09259304,0.82534605,-0.12885046,-0.44148642,-1.1135136,-0.81895435,-0.16858964,0.515713,-1.5576133,-1.2579052,0.12060674,1.2153484,-0.41960093,0.3803578,-0.20906675,0.3353057,-0.9612342,-0.878483,0.5553402,-1.8796549,0.35191974,-2.2439811,-0.38439122,-0.83387434,-0.7327308,-0.6063621,0.26074144,-0.6905189,0.072261885,0.7189676,-2.7226653,1,1
22,-0.38896054,-0.09400458,0.7979577,0.11036829,-0.23101841,-1.8021683,0.17753163,-0.41651,0.6307082,-0.82908255,1.3532158,1.8134254,1.4264965,0.23449823,0.24977964,-1.0067043,0.14102401,0.20577477,0.09473967,0.622188,-1.1327987,-1.4832417,-0.27797717,-0.8337281,0.78520125,-1.3515931,0.8067719,-1.8005579,0.6455257,-0.7881744,-0.79962456,-0.36440116,1,1
23,0.05639891,-0.19378403,1.4771653,0.015369278,0.06289912,-1.3234742,-0.14625461,0.39824748,0.4006381,-1.1500008,0.6500079,0.19916888,1.8717434,0.42438146,0.25047335,0.7039255,-0.045245882,0.5108294,0.7131445,0.25957006,-0.27505353,0.15037882,-1.4092662,0.521763,0.81882656,-1.4286036,0.48791575,-0.5461266,-0.7749273,-1.1833032,-0.64054066,-2.2679703,1,1
24,0.030272154,0.061577093,0.13200724,0.36374703,1.9224697,-0.46380955,0.82307154,-0.5199619,0.3841622,0.22274762,1.3220551,-1.2466584,0.66367596,-1.9189881,-0.6359705,-0.9155497,-0.5678185,1.0208786,-1.6942569,0.14150277,-0.5445823,0.9199673,-2.1368494,1.650391,0.58292544,-0.17522737,0.432252,-2.1355114,0.10110391,0.83105063,-0.9595509,-0.037341364,1,1
25,0.711116,-2.0060909,0.05040893,1.4464805,2.5881886,-2.4313242,1.7298794,0.0030972916,0.5751446,-1.776812,3.3791769,-1.1337788,3.416548,-1.6079676,-2.9764535,-0.10799059,-1.6147574,1.6858543,-1.7053933,0.25436553,-2.9422016,-0.6135681,-1.3026444,0.7483955,0.8030883,-0.98427486,0.48423478,-4.0191913,-1.5955056,1.1343468,0.5995748,-0.07332384,0,1
