,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,-2.0257614,-0.043879744,0.2175975,-0.022607518,-0.012168543,1.7005783,-0.09931942,0.08822749,-0.5864215,0.12458591,-1.3528752,-0.002346486,1.4865599,0.06954887,-0.20320457,-0.35798606,-0.19893554,-0.027166208,-0.24008846,0.14675649,-0.20004758,2.3304257,0.15287727,0.6870288,-0.04350002,0.0064159855,-0.06537659,1.9196509,-0.032145277,0.11262601,-0.1549688,-0.22234672,1,1
1,-2.2924502,-0.43610638,-0.34162542,-0.3590464,0.30321208,2.0109608,-0.46270922,0.4329898,-0.740938,0.50213176,-1.5975108,-0.2989351,1.4376273,0.024612278,-0.41143748,-0.29534253,-0.04357592,0.301975,0.020983092,-0.03735869,0.43453848,2.3683393,-0.24269028,0.7845599,0.42168486,0.31543484,0.5403458,1.8853365,-0.050331216,0.4784118,0.09494045,-0.36630028,0,0
2,-2.1560144,-0.016445829,0.038721316,-0.049454503,0.14203745,1.8541619,-0.015712032,0.05042997,-0.6430538,0.11715456,-1.3455666,0.052874997,1.5636281,0.14565092,-0.07554481,-0.46020874,-0.2094521,-0.09596938,-0.307013,0.2671107,-0.2300786,2.442666,0.220504,0.7447629,0.10963274,0.10399153,-0.21591465,1.9978621,-0.21559182,-0.09696128,-0.062214706,-0.29734808,1,1
3,-1.9678525,0.09287001,0.4608951,0.070080675,-0.37474644,1.7807606,0.20174845,-0.22946891,-0.60467297,-0.18790919,-1.4339517,-0.05204375,1.53768,0.19543459,0.009332736,-0.5645257,-0.015189316,0.057095964,-0.09331951,-0.14257029,-0.18979381,2.4843702,0.081707746,0.7837359,-0.2258697,0.066437565,0.085960865,2.028097,0.06487398,-0.1475658,0.39472035,-0.080101565,1,1
4,-2.3004715,-0.43273807,-0.3959133,-0.32594675,0.4087349,2.0471117,-0.49104652,0.3468699,-0.8062585,0.5014473,-1.5888,-0.26735574,1.4284297,0.023142016,-0.4291861,-0.29318446,-0.014997287,0.28001347,0.01759584,-0.040837847,0.46779576,2.3654006,-0.24555148,0.7958454,0.41525343,0.31320792,0.511035,1.9230548,-0.016956331,0.44384572,0.08416633,-0.38150814,1,0
5,-1.8286773,0.08366853,0.09504082,0.1688413,-0.22506976,1.7724911,0.07462887,-0.18923347,-0.69999284,-0.3210719,-1.3895435,-0.093238614,1.4388443,0.053145338,0.0688579,-0.4564603,0.052170306,-0.14784889,0.19787094,-0.14452566,0.08216649,2.3547368,-0.17942907,0.63926697,-0.23682782,-0.030756613,0.15368849,2.0022528,0.20841251,-0.07690661,0.20200568,-0.11272671,1,1
6,-1.9584746,0.09726759,0.3238801,-0.011151469,-0.38772887,1.8635252,0.29199603,-0.12054616,-0.5891793,-0.21807235,-1.486192,-0.0138108,1.5467557,0.10870376,0.13651587,-0.55484605,0.10695619,0.08768051,0.0063403226,-0.051473875,-0.18269952,2.5001683,0.020040637,0.7328304,-0.26720536,0.17077588,0.0828048,2.0126994,0.041753147,-0.027680904,0.17104469,-0.0061138915,1,1
7,-2.2257116,-0.4353365,-0.39866647,-0.3163456,0.35752386,2.0186386,-0.45510978,0.3050965,-0.7595984,0.47039503,-1.543596,-0.30449307,1.4176944,0.033305656,-0.3500579,-0.31741002,-0.011183486,0.24694566,0.029775497,-0.05227125,0.41805503,2.306281,-0.25044933,0.7441093,0.44665834,0.32189357,0.48133534,1.8947294,-0.07035937,0.35657918,0.06502765,-0.3781659,1,0
8,-2.024073,0.08291505,0.16701055,0.11614879,-0.0614903,1.8924993,0.0153500885,-0.08925405,-0.75544566,-0.15072973,-1.3152034,0.036662262,1.4897435,0.18792082,0.018117284,-0.47654045,-0.069771074,0.007678611,-0.09191469,-0.00025038712,-0.047630847,2.407322,0.036527317,0.6809972,-0.051046334,0.09572384,-0.03277414,2.0018854,0.13150655,-0.14018553,0.28168318,-0.16594525,1,1
9,-1.9840425,0.11884092,0.19578154,0.005807717,-0.029360007,1.7243555,-0.054071855,-0.13520336,-0.7155462,-0.050389744,-1.3345702,0.04585916,1.4950204,0.17545949,-0.2570417,-0.37772673,-0.09041387,-0.050010003,-0.1356485,0.06114733,-0.13273914,2.386998,0.1368039,0.7141559,-0.15855026,0.12467746,0.0371644,1.9673672,0.048933577,0.015066086,0.010432088,-0.24756476,1,1
10,-1.8438275,0.13956764,0.35296562,-0.027353363,-0.40491572,1.6650883,-0.027551165,-0.064949825,-0.71008825,-0.09413458,-1.5457662,-0.1145656,1.527238,-0.2219458,-0.045804683,-0.25920954,0.054929942,-0.12385137,0.03871605,-0.13611314,-0.16591014,2.3914855,-0.11378818,0.6843295,-0.400273,0.10766481,0.07524933,2.0029774,0.037286147,0.20611204,-0.27414206,-0.03291274,1,1
