,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,-0.36242136,1.3506905,0.9512356,0.56309015,-0.23777592,0.19865355,-1.277955,0.2484181,-1.379891,-1.3238667,-0.9112342,0.046008963,0.32371956,2.0916584,-1.7777027,1.0873092,-1.0013053,-1.0027647,0.09411266,0.80862164,0.4065007,1.8189367,0.28953353,1.3051039,-0.6494137,0.09527481,-0.32801738,-0.52759594,0.78584105,-1.1389099,-0.63600934,0.452694,1,1
1,-0.71368957,1.1490315,1.2258914,0.52940446,-0.5448704,0.03633332,-1.4019119,0.19718894,-0.60883945,-1.579702,-1.284568,0.71106416,-0.19159183,1.7929446,-1.4701381,0.9426639,-0.8058236,-0.64773595,-0.15772337,0.9878528,0.13365749,1.5905361,0.74988186,1.7847887,-0.9657186,0.6675321,-0.21061462,-0.8353431,0.44412646,-0.667609,-1.2175779,0.68184865,1,1
2,2.3463254,1.9504862,1.3746467,-3.223067,3.5592587,0.86455196,1.7997636,-0.12649138,-2.086774,3.9253922,6.9249716,0.51150286,1.1242006,0.017814903,0.57779616,1.507057,-0.33115977,0.83413655,1.5898131,0.54607856,-0.69974256,-3.263713,1.0057628,-3.055226,4.0531945,-1.1753728,0.9755396,2.400225,0.16013096,-2.2498553,5.0441337,-2.6219234,0,0
3,-0.33548263,0.9770737,0.8008131,-0.3114304,-0.37152243,0.58634126,-1.0416005,-0.12671909,-1.8169237,-1.1779361,-0.17618868,-0.07898231,-0.10550612,1.9106979,-1.7837982,0.96421444,-1.1870396,-0.5134483,0.46589658,1.0488887,0.13099682,1.9165725,0.2391584,1.5963618,-1.025617,0.4914637,-0.094928436,-0.57326186,0.96239614,-0.8930691,-1.2515926,0.78176963,1,1
4,-1.2561172,1.3790432,1.6449755,0.97847074,-1.4248134,0.42193523,-2.2504053,0.13529004,0.56742245,-2.3894556,-2.8925943,1.1442152,-0.71116537,2.1154857,-2.0190685,0.44870925,-0.14366828,-0.9515792,-1.4151034,0.30037305,-0.51360095,1.6618271,0.7194432,3.0569413,-0.7572033,1.9173682,0.5307631,-1.2519761,0.5316274,0.47385868,-1.7899542,0.90087056,1,1
5,-0.69512594,1.4476292,1.8583142,0.95144093,-1.2259029,0.19368427,-2.0013728,0.24044669,0.8461918,-1.6858974,-2.9724972,1.5314744,0.077572875,0.9233979,-1.2801759,0.42098922,-0.5500879,-0.9636391,-1.4679043,0.80766404,-0.57658863,0.40993002,1.3509542,1.6626261,-1.0304635,0.4788713,-0.18699671,-1.1077137,0.66921043,-0.5416699,-1.6336262,0.90695155,1,1
6,-1.3481135,0.9552247,1.5024586,0.7746045,-1.068939,0.24318732,-2.3597927,-0.18382098,0.32038486,-2.1385975,-2.6542714,0.912197,-1.2170306,1.7505008,-1.9012834,0.23878692,-0.47241423,-0.27116066,-1.3972756,0.84845185,-0.5227121,1.0396626,0.62821364,2.1077116,-0.87863564,2.2570503,-0.19211829,-0.7620146,0.8993439,0.34177887,-1.2988313,0.7019752,1,1
7,2.2329922,1.910192,1.2340144,-3.1474404,3.2253847,0.7520652,1.5117444,-0.28427926,-2.101209,3.6500435,6.547266,0.44720054,0.99906635,0.09380722,0.4934095,1.453061,-0.44584116,0.76851565,1.6822938,0.72134984,-0.57798755,-3.0298698,1.0230603,-2.792849,3.5972726,-1.24069,0.7651121,2.241059,0.18785104,-2.2765427,4.573238,-2.3993752,1,0
8,-0.85921377,1.1121979,1.3909274,0.50784737,-0.95312715,0.46635967,-1.7639952,0.0070626675,-0.006446271,-1.5815831,-2.0966704,1.0116891,-0.12587085,1.6268206,-1.6917359,0.61391234,-0.7511269,-0.56160957,-0.671998,0.9173453,-0.47399068,1.1011182,0.8279335,1.8897799,-1.0482858,0.5660872,0.3118991,-0.84789693,0.6105557,-0.4501448,-1.6186346,1.2076228,1,1
9,-0.8679504,1.2962044,1.0668024,0.6414857,-0.51377964,0.25253764,-1.7166001,0.13612625,-0.9629569,-1.5882978,-1.8454363,0.47971374,0.07980965,2.0627196,-2.1332145,0.84773755,-0.8967402,-0.8212124,-0.4551604,0.9306269,0.122089535,1.626488,0.344131,1.465053,-0.73908144,0.48766738,-0.0023496374,-0.563135,0.8951725,-0.90288824,-0.8623866,0.6030911,1,1
