,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,-0.1987221,0.13406079,0.18939887,0.1100268,0.14754131,-1.5520211,0.08420348,-0.29534927,-0.07418025,0.17576206,0.30130142,0.2289494,0.19797431,0.6881442,-0.13286395,0.42518178,-0.18653181,0.155548,-5.0675573,0.12936537,0.061002877,0.26153827,-0.025518902,-0.9247511,-0.29310444,0.26374274,0.3597567,0.15563267,-0.88913643,-0.22084546,-0.105737686,0.2262662,0,1
1,-0.15270844,0.27033827,0.06372081,0.22469491,0.14871123,-1.7990454,0.16575536,-0.32855058,0.11372338,0.21185878,0.2472873,0.1811642,0.03841488,0.75627244,0.037932556,0.47271082,-0.085355364,0.048607536,-5.3717957,0.107280284,0.13017459,0.22185221,0.017353944,-0.99411905,-0.43051833,0.18426923,0.31821603,0.4076598,-0.9740916,-0.33281112,-0.0900832,0.32746637,0,1
2,-0.18749823,0.4001518,-0.11088905,-0.2194647,-0.24313653,-1.3886647,0.045170907,-0.16051131,-0.19583334,0.06264068,0.32579845,0.31337067,0.41298133,0.82187045,0.36915088,0.12267031,0.018669069,0.0895012,-5.101588,0.3601332,0.100866996,-0.14408116,-0.07209356,-0.9365075,-0.4525165,0.15818045,0.48466653,0.38265783,-0.43365782,-0.23146334,-0.2155887,0.05469084,0,1
3,-0.057375953,0.5246346,0.2996756,0.285181,0.07594314,-1.3419809,-0.1753268,-0.24063842,-0.00836291,0.14416863,0.18765444,0.21139538,0.27408245,0.84469795,-0.14252411,0.10385121,0.04557022,0.13896269,-4.787145,0.21171182,0.25269032,-0.1819134,-0.22842978,-0.6941558,-0.042988192,0.25179663,-0.012631763,0.27812275,-0.60995245,0.00022508204,-0.019949522,0.28055114,0,1
4,-0.1954786,0.67963594,-0.021758419,-0.10654926,-0.16508844,-1.3740225,-0.03929704,-0.07825069,-0.023358293,0.21640266,0.16648269,0.325503,0.3216764,0.94529617,0.47157687,-0.043546014,-0.010373637,0.20096615,-4.974102,0.32422248,0.054935813,-0.123040885,-0.10708889,-0.8808508,-0.2531837,0.20425625,0.49839637,0.3946601,-0.27891645,-0.08223709,-0.15009102,-0.0060312524,0,1
5,-0.06228571,0.31391665,-0.00096046925,-0.016674265,0.20068517,-1.5963547,0.16881502,-0.12933093,0.18946761,0.2518703,-0.14297727,0.40948665,-0.18649144,1.0419375,0.2806887,0.20679963,0.1566816,0.1639044,-4.4020348,0.07582434,-0.059975136,0.15871292,-0.071422055,-1.1479845,-0.1502093,0.1547037,0.1176455,0.35532963,-0.5050099,0.109170996,-0.0729375,0.18133357,1,1
6,-0.18239674,0.44916457,0.20290276,0.099546924,0.08851803,-1.5036108,0.104835175,-0.16175728,0.120006576,0.18463518,-0.08375526,0.38005432,0.16285755,0.79564804,0.180614,0.27047592,-0.13880253,0.12681733,-4.5372477,0.035732098,-0.014351331,0.23515794,-0.22653958,-0.49415997,-0.3446223,-0.017460272,0.2991177,0.31293806,-0.65643275,-0.09553414,-0.16623485,0.04603248,0,1
7,-0.0020269305,0.40375024,0.24774235,0.117503144,-0.09369102,-1.3579794,-0.006027095,-0.116154075,0.36575428,0.19048657,-0.29473394,0.24917294,0.12609096,0.75021046,0.21549132,0.1695756,-0.0660041,0.025085956,-4.2777567,0.07006389,-0.042691704,0.23602164,-0.047385804,-0.55725336,-0.23710299,-0.27880687,0.23240176,0.5260045,-0.40925375,0.13230741,-0.09177597,-0.18891782,0,1
8,-0.05625251,0.7958741,0.045831244,-0.03094785,-0.11114277,-1.2814827,-0.13801672,-0.22312008,0.3248231,0.35481215,-0.10470028,0.16178003,0.27977723,1.0134379,0.36074045,-0.050033204,-0.21273431,0.18902448,-4.8818274,0.22244972,-0.020522416,-0.0439851,0.013003439,-0.5816497,-0.36427307,-0.2775942,0.57470363,0.30310753,-0.48705488,0.15324475,-0.025845453,-0.2410624,0,1
9,0.28280574,0.8523561,0.057093292,-0.12840849,-0.09321311,-1.335701,0.08662781,-0.16326255,0.2895221,-0.0616256,-0.17740567,0.11870013,-0.2836306,1.1780331,0.052811638,0.23304047,-0.060007095,0.08206107,-4.4510307,0.029269923,-0.09997301,0.12131199,-0.19662741,-1.0816541,-0.08988968,-0.20365554,0.054822445,0.333718,-0.50708055,0.4046701,0.14038935,-0.28020543,1,1
10,0.49097815,0.23628372,-0.22468618,-0.0169151,0.017059729,-1.4790947,0.22501472,0.025581732,0.4295746,0.25298572,-0.53127885,0.016910907,0.010751605,1.084448,0.09856513,0.36968812,0.0859596,-0.3844465,-4.2566757,0.2998151,0.32849532,0.114566155,-0.0043735504,-1.0687958,0.040125795,-0.30805776,0.14082229,0.5385466,-0.27437162,0.21319118,-0.032866657,-0.33052552,0,1
11,0.2358234,0.5466456,-0.20052549,-0.2320902,-0.0646175,-1.3078578,0.09749639,0.010406941,0.08315571,-0.07328051,0.10033853,-0.057941474,-0.04371056,1.1552699,-0.17936742,0.3133856,-0.09552622,-0.1809175,-4.4012938,0.072627895,0.02985131,0.1342275,-0.199772,-1.0616238,-0.13694483,-0.23059753,0.16938314,0.21356967,-0.58408415,0.19204436,0.11791457,-0.26506045,1,1
12,0.25194257,0.15838501,-0.18408966,0.15747172,0.12741321,-1.5123861,0.2358595,0.002834566,0.4701196,0.19944258,-0.5017122,-0.018525794,0.03641644,1.0575533,0.021618664,0.31199464,-0.06856118,-0.16825788,-4.2926006,0.26789376,0.20530668,0.36908963,-0.0023948997,-0.8459926,-0.046456184,-0.44216293,0.12110263,0.42408994,-0.48055607,0.31257126,0.02392038,-0.21879634,0,1
13,-0.049252056,0.14868279,-0.052538548,-0.046477795,0.048464,-1.3683193,0.25090507,0.10833641,0.32038027,-0.08358651,-0.4061088,-0.018605195,0.18527913,1.2142125,0.008006766,0.13965443,0.09658091,-0.019558758,-4.458261,0.27875265,0.0945268,0.23006304,-0.5219964,-0.268243,-0.14554742,-0.13915847,0.1301223,0.18409449,-0.85263044,0.17577,-0.118810974,0.15866515,0,1
14,0.21537527,-0.34864706,0.0883442,0.109125465,0.43137187,-1.6163483,0.095210865,0.07946576,0.15199012,0.25657827,-0.3891992,0.12926012,0.10089072,1.14294,-0.36260554,0.24458578,0.11754297,0.0035216436,-4.0379176,0.1549677,0.015919283,0.5921352,-0.036547046,-0.599059,0.052584954,-0.18039334,-0.23464818,-0.022685818,-0.612873,0.24824521,-0.04947405,0.10694192,0,1
15,0.06333119,0.45041668,-0.1672592,-0.4283288,-0.14892696,-1.5117271,0.14365625,0.1554108,0.1353908,0.16691917,-0.21030107,0.2361652,-0.16657315,1.2133029,0.14242947,0.012515932,0.33186734,0.038286477,-4.204509,-0.038083926,-0.16515806,0.0536843,-0.18213257,-1.0705624,0.051811762,0.07037343,-0.10078638,0.29064322,-0.23127581,0.22331603,-0.11368699,-0.062671095,1,1
16,-0.12953582,0.7338449,-0.23376977,-0.5259984,-0.12981467,-1.4535491,0.1326473,0.15501937,-0.002415374,0.12011664,-0.023051009,0.14709395,-0.12894833,1.3004167,0.10118649,-0.22179459,0.38885322,0.07011519,-4.3471994,-0.10218894,-0.14948434,0.027644001,-0.29258186,-1.0307887,-0.065420896,0.112358876,0.09505399,0.108939335,-0.3387285,0.13313602,-0.10720849,0.036886565,1,1
17,-0.13252091,0.6008714,-0.30102718,-0.33278525,-0.0047822744,-1.5358958,0.2563018,0.20212701,0.10933077,0.016538791,-0.035138912,0.059439026,-0.1625321,1.2628696,0.050350353,-0.09518267,0.24397129,0.0023515224,-4.3494015,-0.1575368,-0.14172706,0.14849669,-0.09603377,-1.2387373,-0.017125102,-0.045930814,-0.059211798,0.09444967,-0.43086562,0.1435646,0.045159355,-0.06078289,1,1
18,-0.20591849,0.5149016,-0.38085794,-0.484793,-0.068048924,-1.5578024,0.38518,0.15462759,0.35642177,-0.05649909,-0.20978428,0.017364949,-0.06534977,1.2854645,0.14403826,-0.058363914,0.3274965,-0.043214597,-4.5827885,-0.009662613,-0.11329296,0.007362636,-0.2549468,-0.80971,-0.2095152,-0.12232517,0.08825543,0.25008637,-0.7189027,0.12231636,-0.117770195,0.1284343,1,1
19,-0.059247077,0.5667834,-0.14505857,-0.0526012,0.23581979,-1.6163187,0.32259703,0.044259757,0.06346453,0.2587129,-0.161332,0.24077226,-0.09916898,1.411607,-0.12112407,0.03413929,-0.0051347315,0.08672939,-4.2418013,-0.28095585,-0.080179095,0.060894437,-0.22692254,-0.89174175,0.10059851,-0.008931741,-0.4468726,-0.032186754,-0.5251942,0.026893795,0.09148683,0.16587332,1,1
20,0.09607491,0.35674965,-0.27257824,-0.36289114,-0.046839967,-1.7025906,0.28477493,-0.020663105,0.28437784,0.36234644,-0.29607975,0.41517532,-0.28587443,1.2195721,0.03748757,0.018644545,0.16441683,0.24284376,-4.3337784,-0.23135552,-0.22028005,0.30702543,-0.11975076,-1.06616,-0.1363884,0.026389848,-0.17131305,0.074051194,-0.6714282,-0.021265164,-0.08545801,0.0953801,1,1
21,0.19937627,0.41481772,-0.3674533,-0.45258558,-0.27163258,-1.358413,0.19906758,-0.068647,-0.09943409,0.08283892,0.045268036,-0.15592945,-0.09001399,1.4217203,-0.20526196,0.17408393,-0.30677027,-0.23535588,-4.4436955,-0.10309018,-0.08381106,-0.043601587,-0.1586901,-1.145082,0.061917678,0.028424133,0.011724643,-0.10975276,-0.43501738,-0.0065571815,0.17460343,-0.21190833,1,1
22,0.34728813,0.035982184,-0.4843703,0.07716006,0.111676976,-1.8673725,0.52734107,0.07420576,0.16040748,0.4816119,-0.53444016,-0.014808238,0.017371014,1.2991861,-0.14705846,0.24626727,-0.12444827,-0.3404562,-4.1567707,-0.17898962,0.22979924,0.03374515,0.4212953,-1.3422925,0.21911985,-0.20407487,-0.21173581,0.029836386,-0.17315038,-0.24749647,0.0063800886,-0.2748102,0,1
