,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated
0,1.3385733,-0.34938386,0.046850424,-0.36750376,-0.3012484,-0.13845162,-1.085562,2.5071456,0.813373,-1.072663,-1.670399,0.33905062,0.71731794,0.64885336,-0.3177223,-1.0776638,-0.113515474,-1.5833019,-0.038159847,0.25619268,-1.4119767,-0.67665774,-2.4974568,-1.7300555,0.58413696,-1.7238517,-1.2327254,-0.90722394,-1.6090152,1.6114155,-0.4127875,1.682144,0,1
1,1.1906326,0.3436564,0.016787041,-0.68723583,-0.25613302,0.029029032,-0.8642687,2.1788838,0.911564,-0.8945617,-2.1644301,0.14446165,0.5767464,0.92403996,-0.027366076,-0.9094739,0.0047692903,-1.0967823,0.52223825,0.3346146,-1.2249671,-0.6910824,-2.495644,-1.2310108,0.1852459,-1.4379736,-1.5232108,-1.297697,-2.0405483,1.9436282,-0.09803747,1.2461203,0,1
2,1.8012431,-0.854811,-1.4031972,1.2792774,1.8638015,-1.1384755,-0.31506494,2.7905958,0.47844037,-0.9041737,-1.5652539,0.19198267,0.23603922,-0.022758119,0.4370854,-1.4070878,0.50714326,-1.1585273,0.9910161,0.5699508,-0.29481846,0.25478065,-2.73752,-0.8003654,-0.67528474,-1.6141092,-0.08292986,-0.4498935,-2.0840917,0.8985829,0.2904194,-0.007528805,0,1
3,0.3767581,1.015889,-0.97528476,-0.826078,-0.43896666,0.055997197,0.9448321,1.8930259,-0.3664868,-0.21925956,0.5885862,0.1665886,0.33035135,-0.3280286,-0.030427923,0.29399505,1.6477952,-1.248446,-0.5470427,0.35234582,-0.87745124,-0.106179185,-0.6965556,-0.7226536,-0.074987136,-0.23572977,-1.4504758,0.0061396244,-0.7868916,1.8993753,0.03222454,0.9038276,0,1
4,1.692947,-0.46430933,-1.5069686,1.5983524,2.2521079,-1.5441128,-0.018146586,2.3276668,-0.4825906,-0.8634159,-0.9463446,0.2096031,-0.08222586,-0.1642068,0.62228733,-1.1977912,1.1489257,-1.4818633,0.68473625,1.227138,-0.09248633,0.18587507,-2.1201837,-0.7791146,-0.37421867,-1.5227518,-0.5134317,-0.3912275,-2.1301916,1.602831,0.24930198,-0.1835788,0,1
5,1.1701155,0.4627491,-0.1127413,0.95794,0.087668546,-0.025807738,-1.152988,1.013003,-0.56826264,-0.66825646,-0.9276878,-0.02314595,0.44416055,1.5379204,-0.19327676,-0.28237677,1.1415714,-0.23493978,-0.20752081,1.3266599,-1.2852112,-1.0139225,-0.014963613,-0.9593897,-0.116088495,-1.308458,-0.7117186,-1.8156033,-1.3307369,2.4093854,0.8126482,1.1894344,1,1
6,1.4973619,-0.023962814,-0.039466113,0.97343034,0.13133156,-0.44565496,-1.1039147,1.6846734,-0.17650509,-0.8108735,-1.5286812,0.329747,0.26382753,1.0176655,-0.055044137,-0.9193493,0.8775344,-0.83224285,0.61575913,0.961775,-1.3039836,-0.8144399,-0.9735901,-0.8758767,0.835838,-2.3629773,-1.1881253,-0.42837033,-1.5383112,2.327264,-0.2849072,1.3455236,0,1
7,0.06635144,0.12530757,0.13086286,1.0541614,0.8465144,0.18722983,0.33147854,0.75998455,-0.63794476,-0.6390425,-1.7470938,-0.5703982,-0.34796992,0.7645063,-0.5160248,-0.40031722,0.9885915,-0.34175295,1.4566246,1.8184716,-1.371584,0.105919406,0.024161879,0.5279921,0.70202905,-2.105254,-1.1261827,0.104295194,-0.87828434,1.902716,-0.45496252,0.8271339,0,1
8,0.251021,-0.71458757,-0.7251235,1.3160172,2.487207,-1.4872347,0.6413947,0.81293994,-0.6089271,-1.0695696,-1.4164414,-0.18518065,-0.44833758,-0.10174364,0.72329843,-1.1354035,0.689483,-1.3652723,1.7337385,1.6097585,0.21372852,1.2023664,-2.0986986,0.14127013,0.3731509,-1.5702128,-0.6178782,0.8701791,-1.1038827,1.3644665,-0.7168348,0.31887403,0,1
9,-0.7545815,0.6320603,0.22043628,1.6404251,0.5401731,0.1907804,0.0981351,0.42563218,-1.383249,-0.8861307,-0.4680139,-1.2547443,1.0300013,0.21612988,-1.4460157,-0.11290854,0.9890475,0.63339925,1.6990789,0.68594235,-1.9531248,0.017190808,0.9683974,0.48204306,0.37911603,-0.7248718,-0.8183836,-0.11138658,-0.04598865,0.48632807,-0.63470453,0.9563993,1,1
