z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated,species
-1.0170882,0.03413463,-0.024942111,0.050695576,0.5207548,0.7722031,0.034073934,-0.0028415255,0.020654775,0.017016375,-0.050454453,-0.08696003,0.0029648894,-0.030136177,-0.0013838075,0.0024139534,-0.0067751496,0.041957583,-0.0056446614,-0.010058681,-0.94150865,-0.0013049039,0.28237703,-0.038582876,-0.032581285,0.005059902,-0.17240995,-0.0376993,-0.03407275,0.00025714014,-0.009056814,-0.024635203,1,1,human
-1.0227479,0.034365088,-0.01649949,0.019717706,0.53539723,0.7559956,0.023271685,0.00866309,0.03430213,0.035430316,-0.00582443,-0.003867011,0.029505577,-0.024210414,0.03578411,0.007161058,-0.0019389254,-0.023185698,-0.022279479,0.036994655,-0.9452211,0.018997256,0.29663244,0.00014947221,-0.013681552,-0.024634412,-0.16014418,0.01492812,-0.015486046,-0.029448807,-0.009663259,0.023977727,1,1,human
-1.010823,-0.098297395,-0.048875093,-0.05175081,0.5490909,0.7693549,-0.069449425,0.030218909,0.051461272,-0.097807564,0.0144561,-0.06484847,-0.073950246,0.08302287,-0.08528657,0.075187996,0.0047451025,0.03530032,0.09527106,-0.009117363,-0.9654643,0.029074332,0.2606052,-0.11627018,0.053209882,0.10550043,-0.13918011,-0.050233256,0.022356702,-0.0060606506,-0.011594469,-0.100874506,0,0,human
-1.0296767,0.06527719,-0.01832407,-0.0013720347,0.5267515,0.77911866,0.015671214,-0.04343596,-0.02886742,0.046953004,-0.0020848773,-0.070969194,-0.010167276,-0.004759343,0.01861966,0.007605229,-0.020838013,-0.026014337,-0.006255058,-0.025572844,-0.9606395,0.03462616,0.30627722,-0.039186884,-0.04212218,0.0033912603,-0.15727916,-0.050096747,0.011451933,-0.0063844514,0.0146251265,0.004543967,1,1,human
-1.0123972,0.0386932,-0.06433641,0.033076286,0.52419835,0.7160744,0.027802313,0.057086717,0.09679466,0.07725869,0.011758352,0.04164147,0.013983564,-0.061736204,0.07954078,0.0044341534,-0.034754954,-0.05682731,-0.07248527,0.06254398,-0.89760053,-0.0074494593,0.2661381,-0.0095082205,-0.016186932,-0.045517847,-0.15363798,0.0758252,-0.028373372,-0.0023070786,-0.04982596,0.09165088,1,1,human
-0.98697734,-0.0051665846,0.036255173,0.045053482,0.5012008,0.6862861,0.03703412,0.03277432,0.11198988,0.05864548,-0.02435755,0.0143423015,0.02827733,-0.09669072,0.006718488,-0.023053229,-0.03697078,-0.013968161,-0.08145025,0.06771304,-0.8766923,0.003501056,0.2697534,0.011291334,-0.009968796,-0.057551146,-0.15704496,0.07874794,-0.010002924,-0.034790866,-0.07309611,0.07676281,1,1,human
-1.0173547,0.018437956,-0.05450603,0.027246797,0.5220984,0.7377769,0.01846562,0.045215074,0.028877482,0.05143835,-0.01644816,0.0597219,-0.021782046,-0.0665553,0.07419402,-0.020003835,-0.0050597726,-0.0045488277,-0.07236101,0.03448216,-0.9244661,-0.019040229,0.27311975,0.034888078,0.0013714682,-0.041030277,-0.17131434,0.06504821,-0.008984073,0.0074562775,-0.05630585,0.059024993,1,1,human
-1.0238203,-0.0846919,-0.031937413,-0.05668364,0.55388975,0.7744766,-0.07045912,0.019620232,0.061145682,-0.09093303,0.017718961,-0.05095168,-0.07741946,0.09464755,-0.07165366,0.060580593,-0.01729146,0.035387423,0.07697147,-0.00329826,-0.96232694,0.042440277,0.26700956,-0.10667862,0.055176947,0.09003001,-0.13996606,-0.06571739,0.0043378808,-0.025581103,-0.008021656,-0.090522796,1,0,human
-1.0431497,0.024223909,0.015960362,-0.007594745,0.5319369,0.75588727,0.038285982,0.008817177,0.060110092,0.056852713,-0.0010391278,-0.027763013,0.014684942,-0.05809234,0.03802628,-0.009528878,-0.031026658,-0.0011559447,-0.050684966,-0.007204314,-0.94397086,-0.023064317,0.29602757,-0.015181233,-0.005203882,-0.05371774,-0.1705132,0.030004302,0.01044804,0.0013625763,-0.015652202,0.05881406,1,1,human
-1.0106136,0.022167346,-0.037502076,0.025213586,0.51197654,0.7378334,0.06344132,0.020417187,0.044629373,0.06676476,-0.028974064,-0.06022413,0.0056408974,-0.04894272,-0.0024857044,-0.0010052546,-0.033844214,0.0018279558,0.020345667,0.014262977,-0.9188053,0.025196327,0.28326946,-0.03160614,-0.045735043,-0.03773666,-0.16201583,0.025308007,-0.014552932,-0.04518464,0.0042446204,0.010977217,1,1,human
