z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,protected,vaccinated,species
0.176408,0.05822602,0.19281057,0.26014197,0.5200195,0.15211307,0.10291518,0.0017796457,0.17406856,0.0771816,0.051141758,-0.12581967,-0.16754921,0.034357417,-0.13222659,0.4520743,0.27134338,-0.061926007,0.5162152,0.38414037,0.24029575,0.39487383,0.06173656,0.37849745,-0.19486211,0.1843168,-0.050686974,0.064071134,0.39284077,-0.23770623,-0.31688768,-0.50242245,1,1,human
0.26028726,0.17104185,0.12281044,0.07876422,0.65265816,0.08421696,0.3524468,-0.0263788,0.20534647,0.10260882,0.10249101,-0.22609106,-0.29638663,-0.12063916,-0.084079586,0.24632125,0.103529416,-0.005692339,0.56946945,0.25088707,0.37146494,0.41524526,0.1568822,0.4224649,-0.2312734,0.16104323,0.024696922,0.081450105,0.16636704,-0.116199076,-0.40914455,-0.65710086,1,1,human
-1.0578836,-1.243059,0.23646764,0.7301983,-1.198314,-1.1986567,-1.778257,0.30115095,-0.89668095,-0.82180136,-0.81765145,1.0153412,-0.20636709,0.87516594,-0.9210271,0.38382655,0.20159452,-0.26356798,-0.5569524,-0.38858193,-0.115047455,-0.9110932,-1.0364999,0.53363407,0.14970867,0.7111454,-0.39770937,-0.8265552,-0.16368113,-0.8411507,0.05579665,0.8594436,0,0,human
0.2859367,0.120915845,0.20786677,0.19823365,0.24128334,0.19723861,0.060353693,0.023413444,0.41047278,0.01665293,-0.09220392,-0.15382807,-0.27608627,0.21359769,-0.21443681,0.33521914,0.22741762,-0.06301903,0.64883506,0.39076096,0.23974358,0.21525574,0.11790049,0.24467598,-0.16282052,0.36666626,-0.22834277,0.036553513,0.37294427,-0.018106192,-0.45032817,-0.6329706,1,1,human
0.45146284,0.6322978,-0.056087352,-0.15009198,1.208329,-0.023075461,0.6938346,-0.20555528,0.48619586,0.50281346,0.7208961,-0.34994298,-0.3689266,-0.36546764,0.18112926,0.4369157,-0.05622481,0.29989243,0.9609219,0.35646704,0.3717006,0.8190767,-0.05160985,0.26853895,-0.30304083,0.098936915,0.47714534,0.11272278,0.006940204,0.09264663,-0.406353,-0.5866826,1,1,human
-1.0453024,-1.2418318,0.22235933,0.7154855,-1.2077692,-1.1920779,-1.7810593,0.3068522,-0.88241273,-0.8349957,-0.8256483,1.0066375,-0.21347459,0.8798744,-0.952548,0.3749851,0.19777146,-0.2832477,-0.5545314,-0.38437313,-0.0971457,-0.9401774,-0.98109305,0.5268988,0.1596248,0.7160232,-0.40365624,-0.83086395,-0.16436516,-0.86126727,0.050507165,0.8388819,1,0,human
0.41445264,0.22025993,0.094922416,-0.0717181,1.1543683,0.02936535,0.75150007,0.04370865,0.14170322,0.18834285,0.38510346,-0.4335998,-0.42077857,-0.35505095,-0.15233734,0.26168844,0.09933391,0.10558861,0.3467911,0.12627721,0.48882744,0.66922295,0.100676894,0.43229634,-0.13834833,0.10201428,0.25767216,0.228024,-0.1095593,-0.27165502,-0.3714656,-0.62251884,1,1,human
0.29917845,0.61074215,0.0042933943,-0.08749854,1.075747,-0.049562383,0.6574681,-0.020618463,0.44075185,0.32857212,0.56390494,-0.24605472,-0.40584776,-0.31451997,0.16291009,0.3498595,-0.05041511,0.17585309,0.7506335,0.31968233,0.40957722,0.6401545,0.015308238,0.47031423,-0.33430606,0.21225059,0.27949238,0.18287754,0.0056141554,0.026951095,-0.39323717,-0.5821188,1,1,human
-0.9364935,-1.1517193,0.20072348,0.6779254,-1.170721,-1.1047199,-1.663913,0.27665216,-0.8208665,-0.81690997,-0.8411061,0.95841783,-0.18625021,0.8155079,-0.8616584,0.30595657,0.19598284,-0.23833846,-0.46305743,-0.3318378,-0.07057748,-0.90902215,-0.90625614,0.52696544,0.1461811,0.66926575,-0.41095158,-0.77663434,-0.16083293,-0.79936224,0.012942112,0.7607238,1,0,human
0.40419632,0.2823753,0.042631127,0.022420062,0.8552929,0.08235077,0.48905095,-0.06457235,0.25251648,0.13954847,0.2382149,-0.3028724,-0.32537326,-0.18939762,-0.15429774,0.24417844,0.039564718,0.05857377,0.54090947,0.19775069,0.40725127,0.534496,0.08198434,0.26226398,-0.14590716,0.16380154,0.12292428,0.17719638,-0.0463941,-0.05147943,-0.44995496,-0.59376824,1,1,human
0.3748521,0.24647613,-4.448891e-05,0.15324464,0.79360396,0.14019291,0.37893075,0.020771444,0.27601373,0.19370876,0.26343486,-0.19052716,-0.18449359,-0.26580465,-0.13089828,0.442176,0.21103095,-0.005828732,0.6216149,0.34881738,0.29277137,0.58677185,0.0756065,0.32399306,-0.31969315,0.13136533,0.1066424,0.03353553,0.2934601,-0.16895226,-0.33671576,-0.56592745,1,1,human
0.21331576,-0.36338758,0.40578562,0.27439234,0.02706237,0.20016892,-0.083950385,0.1544532,0.19701746,-0.26431248,-0.4454392,-0.2169423,-0.3215504,0.436076,-0.584171,0.256281,0.24753778,-0.24423729,0.16526525,0.25006792,0.32213435,-0.01613686,0.2796819,0.2752514,0.022234296,0.44638786,-0.39291653,0.047502443,0.24785285,-0.2845187,-0.5166375,-0.67280483,1,1,human
0.17193906,0.2597544,0.02228179,0.20105723,1.0553687,0.031437684,0.49754986,0.029082919,0.26857218,0.33014607,0.58433336,-0.21537142,-0.22031303,-0.39862978,0.024952425,0.60069466,0.29200158,0.0010223031,0.65412,0.48948383,0.36863235,0.6239037,0.040804565,0.58182555,-0.4095079,0.09141674,0.3073801,0.048062336,0.34681168,-0.32381326,-0.24848591,-0.42166758,1,1,human
0.4419962,0.39576882,-0.095121734,-0.075612046,0.46416092,0.08883418,0.47766867,-0.22724989,0.595936,0.26967046,0.24495451,-0.3967422,-0.42959705,-0.14105058,-0.21280186,0.2937009,0.038154304,0.016093994,0.9952223,0.328238,0.39965507,0.40884852,0.16559117,0.120209694,-0.28446028,0.34719512,0.101302564,-0.061229195,0.10939982,0.24939866,-0.57788306,-0.6700743,1,1,human
0.1819746,0.17952342,0.1873788,0.15019056,0.7405588,0.09374243,0.40169674,0.15623276,0.37927046,0.07216425,0.17219256,-0.1922148,-0.32614794,-0.08369752,-0.12561154,0.34991178,0.13993706,-0.17623791,0.4590554,0.27454945,0.36288548,0.4597109,0.19278593,0.50381124,-0.3176522,0.31340426,-0.04687333,0.09350258,0.25025412,-0.23195091,-0.3950956,-0.72703594,1,1,human
