,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1,0.10690277,-0.23457427,-0.01483618,-0.1494382,0.053754296,-0.008137065,0.12865931,-0.030265301,-0.22424617,-0.029407514,0.08274177,0.18063402,-0.10912035,-0.31085044,0.07029738,-0.23473187,-0.033769246,0.029589226,-0.054106016,-0.16510688,0.090640806,-0.2105418,-0.027213205,-0.20403913,0.30160978,0.095942765,-0.047728326,-0.022108067,-0.04165761,0.14146303,0.0036103658,0.0051131397
2,0.07353828,-0.07863262,-0.042182796,-0.052991766,-0.046257053,-0.015144653,-0.0026159824,0.056811977,-0.24473505,-0.017605668,0.11594303,0.06779531,0.070000865,-0.13540082,0.19810031,-0.011284766,-0.07149922,0.031149015,-0.13949761,-0.10983942,0.120886706,-0.041538924,-0.023128474,-0.20399931,0.4828705,-0.045941856,-0.05194732,0.06334888,-0.07830122,0.17436638,-0.15372244,0.06674232
3,-0.9874365,-0.076893225,0.3856363,-0.029932989,-0.2213377,-0.031377565,0.32063913,-0.2471642,0.6112451,-0.43462583,-0.6960892,0.13686234,-0.46808988,0.6345167,-0.34824085,-0.3832619,0.51420677,-0.03765546,0.3208918,1.1853485,-0.009384418,-0.0148551585,-0.070168905,0.687457,-1.5489072,0.66797364,0.6667142,-0.8077386,0.05642357,-1.1537756,0.24649297,-0.6629872
4,0.11583276,-0.24975096,0.066267006,-0.2320147,-0.012192691,-0.12039232,0.041001387,-0.14320111,-0.25185642,0.063778765,0.17259626,0.14064176,-0.0716982,-0.28939444,-0.066300206,-0.3327731,-0.12254973,-0.09209757,-0.14445819,-0.14790356,-0.19475853,-0.122139506,0.050406393,-0.114428736,0.33527133,0.05882133,-0.13164747,0.21964942,-0.113430314,0.30764857,-0.1130949,0.07880126
5,0.14884286,0.074781656,-0.34323022,-0.13876584,-0.113526784,0.0812461,-0.11615391,0.29064533,-0.31601307,-0.02398969,-0.061104663,0.12438591,0.18286398,0.022189392,0.49044785,0.2299793,0.1379882,0.016186237,-0.43846273,0.1877185,0.32144147,0.007576633,-0.073146425,-0.064811446,0.9251262,-0.21377917,-0.060811084,-0.13762002,0.040771544,0.38290256,-0.15980636,-0.047448542
6,-0.96878624,-0.09605398,0.4024329,-0.03881657,-0.21264677,-0.033035267,0.30539572,-0.25086403,0.5932285,-0.41941324,-0.6798135,0.1281061,-0.44430754,0.62093633,-0.36141,-0.38295776,0.4970983,-0.024545461,0.34000233,1.1482546,-0.025333334,-0.029838515,-0.073206544,0.6785516,-1.5202585,0.6584899,0.6819909,-0.7757239,0.043477513,-1.1324586,0.25390998,-0.64261216
7,0.35205925,0.009671277,-0.37997302,0.107002035,0.15085293,0.18267737,0.03978307,0.2640512,-0.37352353,0.025923168,-0.013364422,0.05552137,0.3937665,-0.045295157,0.48186928,0.39140058,-0.0048835874,0.114379264,-0.2381682,-0.16702698,0.39022747,0.18077983,-0.14768107,-0.30530578,0.5214872,-0.19779426,-0.034915216,-0.017751638,0.049211282,0.039937403,-0.16034018,0.13066083
8,0.2801118,0.008473243,-0.3733058,-0.016952593,-0.06981422,0.1088899,-0.07401855,0.28745037,-0.2864275,0.12126577,-0.056387164,0.032568622,0.20351394,-0.0032503724,0.41430607,0.20413423,0.08806565,-0.02844786,-0.35823056,0.049352344,0.2955449,-0.036313713,0.014701068,0.0048953057,0.7569519,-0.28809515,-0.10801522,-0.027000666,0.05939911,0.38536283,-0.09593791,-0.016031766
9,-0.90469074,-0.11952136,0.4056397,-0.019750202,-0.18272398,-0.02390089,0.27984443,-0.23723225,0.55122274,-0.4005665,-0.6108753,0.11877804,-0.4330028,0.5867998,-0.32252273,-0.3699893,0.43701297,-0.009437419,0.3119534,1.0461415,-0.0059265853,-0.029801464,-0.053187348,0.6411229,-1.4233483,0.61465406,0.6380022,-0.7322785,0.035353582,-1.0466884,0.22422297,-0.58010876
10,0.28055373,-0.051809944,-0.2028269,0.00363978,0.095232986,0.10365391,-0.023625422,0.13349055,-0.34637293,0.019615388,0.007452017,0.09072514,0.2000413,-0.059319954,0.30625108,0.17950366,-0.05545312,-0.039671104,-0.30692726,-0.10051849,0.11449058,0.15860958,-0.078834035,-0.1310654,0.51065224,-0.083952725,-0.09159119,0.018876547,0.0364688,0.19158857,-0.18553661,0.091723815
