,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1,0.8592261,0.9451512,0.783886,0.17994618,0.9295627,1.2894058,0.7860008,0.10806636,0.28529912,0.52547836,1.0032635,1.1451211,1.13439,0.67578465,0.48935798,0.50158244,0.1339221,0.18364184,1.5125749,1.2923771,0.5455473,0.940844,0.5852481,1.0459417,0.26215068,0.9308473,0.6751259,1.1796759,0.6495492,0.23226884,1.0521301,0.1520089
2,0.84772813,0.9635053,0.7744441,0.21281554,0.952604,1.3068905,0.77607626,0.07677671,0.3145333,0.53638655,1.0056056,1.1816261,1.1479678,0.7170537,0.49208254,0.49059522,0.11388254,0.18207258,1.5533165,1.2946402,0.58285356,0.9732022,0.6237204,1.0533366,0.25180364,0.91720587,0.6913259,1.2230711,0.59542197,0.25568697,1.0191615,0.16277258
3,0.9252253,1.0098742,0.862943,0.2893822,1.034652,1.5417844,0.8933212,0.32918444,0.28697658,0.46966532,1.0890002,1.1135526,1.2175696,0.80602574,0.55423826,0.5206364,0.30595255,0.19999397,1.6474533,1.3767549,0.70190376,0.96926093,0.6363434,1.3277549,0.38730657,0.88133883,0.78996074,1.2576455,0.61832464,0.3145459,1.1390889,0.29669917
4,0.9100255,0.98630685,0.8204697,0.18089794,0.9650917,1.3668652,0.7901047,0.11936454,0.32335207,0.55013406,0.9734083,1.1836181,1.1501491,0.6999453,0.4900549,0.5299801,0.15262136,0.20003314,1.5588384,1.3129057,0.5556826,0.9731053,0.64416313,1.0631788,0.25444382,0.94516456,0.7186628,1.2211931,0.619442,0.27996543,1.0379758,0.21235338
5,0.86196655,1.0030754,0.8237875,0.2946202,0.9559228,1.2622026,0.7944957,0.15764743,0.35222465,0.55515414,1.0449313,1.2244402,1.1684097,0.73194605,0.52709377,0.463571,0.14234877,0.20917185,1.5790445,1.3010755,0.5687437,1.0408903,0.66237885,1.0598283,0.31108883,0.92181075,0.7154411,1.1997187,0.63180226,0.2886479,1.0099242,0.22171585
6,0.9288651,1.012388,0.8772015,0.25947675,1.0438515,1.5581421,0.8932243,0.3298156,0.28908098,0.47191674,1.0884107,1.1222036,1.2194796,0.8106415,0.55539894,0.52028066,0.29546475,0.18729332,1.7023362,1.3984846,0.7122012,0.97214246,0.6480268,1.3559701,0.37606296,0.8981424,0.80055404,1.2781856,0.61959755,0.3006989,1.136808,0.30807245
7,0.8273126,0.9694534,0.72444445,0.25885344,0.9435924,1.2533697,0.8041159,0.17119996,0.32130307,0.5456586,1.0687315,1.2269763,1.1635981,0.71767014,0.49254477,0.4711313,0.19088428,0.17919683,1.6374115,1.3034916,0.6551189,1.0019873,0.6241997,0.9835055,0.29880646,0.95215046,0.6991488,1.2366657,0.6673525,0.27711505,1.0412234,0.17128187
8,0.85925037,0.9803602,0.8241441,0.25773147,0.98009634,1.294613,0.79389185,0.16881657,0.32215273,0.53937477,1.072598,1.2162918,1.1648432,0.74636644,0.5565872,0.48441896,0.12690179,0.23506247,1.6153069,1.2766924,0.5648129,1.0401481,0.6535418,1.0535071,0.26881534,0.91485167,0.7187021,1.1941258,0.6303016,0.2822524,1.0151793,0.19546436
9,0.9037318,1.0127351,0.8486447,0.25954938,1.0187362,1.5225787,0.8725481,0.30906138,0.285194,0.46595803,1.0636467,1.1021523,1.1996261,0.7971619,0.5332058,0.49404383,0.28542048,0.17827588,1.6390222,1.3585232,0.6852728,0.9538087,0.6353891,1.2992721,0.37119058,0.8863146,0.76438963,1.2460667,0.6059612,0.2803492,1.1167313,0.29805955
10,0.87799335,0.9948481,0.75943655,0.2244405,0.97265875,1.3283659,0.80224323,0.113917775,0.33821702,0.5393505,0.99202996,1.2076182,1.1742573,0.70561886,0.49993235,0.4913384,0.11978323,0.15362266,1.594435,1.3065524,0.56019133,0.98074454,0.640013,1.0034925,0.25556752,0.90874565,0.70790696,1.212794,0.6027613,0.25576264,1.0169181,0.15277827
