,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1,-0.2252426,-0.010156321,-0.29820123,-0.11296415,-0.26266882,-0.33338448,-0.52091974,-0.120914005,0.5099697,-0.14900275,0.46703672,-0.12747282,0.5683028,-0.7477121,-0.043909658,-0.70373106,-0.20094304,-0.22227767,-0.010903835,-0.41160917,-0.07204056,0.02346089,-0.007941938,-0.01603353,0.2852372,-0.15340891,0.10003676,0.2989472,-0.48123246,0.08320534,-0.23298927,-0.07422264
2,-0.15611392,0.09075762,-0.5248243,-0.10367813,-0.48282075,-0.14231998,-0.35199386,-0.29537782,0.20622616,-0.038483895,0.27252242,-0.18808283,0.5299691,-0.7767198,0.11759519,-0.7728325,0.07314211,-0.5379397,0.0582649,-0.22792946,-0.33494204,0.19437154,-0.06296046,-0.11839499,0.20755795,-0.12434145,0.033614874,0.3242726,-0.62628907,0.16370925,-0.09423428,0.19601057
3,-0.18747972,0.112159684,-0.37015224,0.11695323,-0.3312485,-0.43556815,-0.42407808,-0.09001816,0.39410177,-0.31095225,0.35831043,-0.21527033,0.6325491,-0.6676782,0.15444319,-0.39957938,0.27009863,-0.35391036,0.08039899,-0.3443167,-0.46825996,-0.036569696,-0.19041546,-0.24918544,0.40680614,-0.4247665,0.11157403,0.30230215,-0.24666071,-0.033934306,-0.21117325,0.04495653
4,-0.1439605,-0.3509999,0.23219351,-0.5575349,-0.097950816,-0.14786384,-0.4398822,-0.13482307,0.84995043,0.022640733,0.01632445,-0.05625161,0.5334522,-1.0496368,-0.37198627,-0.36908984,-0.1440179,-0.1960816,0.3145413,-0.37799636,0.41254756,-0.19903229,-0.030185401,-0.06642981,0.49395925,-0.4573159,0.1486041,0.094719745,-0.1275445,-0.0957162,-0.2900981,-0.15625194
5,-0.6275483,0.22725117,-0.09920744,0.29453617,-0.09945953,0.23219617,-0.3420244,-0.21533723,0.86821574,-0.24938464,-0.13961606,0.05055383,0.4313039,-0.6714679,-0.075975515,-0.5605396,0.2274173,0.4415698,-0.2573433,-0.8263225,0.2885584,-0.19785416,0.17145602,-0.08432925,-0.13401617,-0.23604217,0.060056742,0.078544155,0.31289592,-0.6455824,-0.55537236,-0.13088863
6,-0.22174294,-0.45491144,-0.40439245,-0.013318407,0.35726294,-0.1643977,-0.22244985,-0.38687763,0.44329548,0.047580957,0.52574563,-0.35116923,0.26583347,-0.4354026,-0.30211517,-0.39805362,-0.036059346,-0.2749579,0.44904453,-0.7721796,0.47453824,-0.16319202,-0.09296948,-0.08745803,-0.055714797,0.28786835,-0.16812882,-0.3228584,-0.08782655,0.06559954,-0.02422545,-0.27250144
7,-0.5428391,-0.024652464,-0.35330877,0.31596467,-0.13071187,0.005238271,-0.24788986,-0.20114365,0.6226731,-0.24022773,-0.026416494,-0.17149588,0.2019898,-0.42713353,0.019981718,-0.43534613,0.25781336,0.27978393,-0.11957586,-0.8002446,0.34733453,-0.3185377,0.060378622,0.18755703,-0.28860608,-0.08181311,0.12510614,-0.2146465,0.19506551,-0.607203,-0.35251138,0.033469345
8,-0.462629,0.06260183,-0.1006819,0.2891032,-0.038534205,-0.39361396,-0.53394586,-0.15344982,0.49936953,-0.36928424,0.29920238,0.030850256,0.64490694,-0.49173507,0.40526667,-0.3992336,0.10615134,-0.0908248,0.05555737,-0.47557995,0.07039066,-0.327108,0.23955838,0.063835025,0.26290157,-0.12950087,0.51384133,0.07437161,-0.3777475,-0.077862374,-0.36793548,-0.20266068
9,-0.34148106,-0.17132905,-0.39937115,-0.022691805,-0.02245976,-0.18440716,-0.23814598,-0.5380295,0.29498655,-0.18294434,0.088168815,0.0849624,0.31603783,-0.52999115,0.11607565,-0.4148572,0.12388223,-0.16676013,0.12301662,-0.3876147,0.25141972,-0.29924667,0.19171587,0.092925094,-0.04273188,0.153486,0.26963958,-0.1873729,-0.42478856,0.0879211,0.07602973,0.053905785
10,-0.27851436,-0.1112384,-0.519322,0.1463397,0.058506466,-0.38059852,-0.48634282,-0.38319835,0.45308575,-0.5786787,0.13062294,0.07313851,0.45431596,-0.5232448,0.0731594,-0.2745795,0.16495645,-0.28155622,0.028016448,-0.4944923,0.014765108,-0.36268115,0.08418002,-0.09863067,-0.007994688,0.01857378,0.08277378,-0.24809213,-0.31150794,0.037409425,0.0808629,-0.03266588
