,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1,0.43111077,-0.09263072,-0.2603398,0.12628101,-0.15730275,-0.065152854,0.12272873,-1.0310031,0.06606721,-0.60949576,0.40572795,-0.079449415,-0.0004787624,0.17124031,0.14771841,0.3336001,0.10076954,-0.4138379,0.3989179,-1.0920134,-0.73567563,0.28428346,-0.24965072,-0.8783847,-0.049499918,-0.124809384,-1.3009936,0.5766457,-0.20135684,-0.48952255,0.08666533,-0.13794415
2,0.5453803,-0.19201139,-0.29255873,0.038136054,-0.04927933,-0.30820096,0.36778098,-1.0241812,0.049720444,-0.62050694,0.24359913,-0.01477623,0.32962045,-0.003608924,0.48244688,0.25271997,0.11923315,-0.54199463,0.32425928,-1.253278,-0.7771947,0.28067157,-0.064738266,-0.99047977,-0.06763639,-0.05284387,-1.385427,0.65490705,-0.22138147,-0.34693545,0.108154155,-0.20865475
3,0.2913025,-0.11014172,-0.3516438,0.0038016438,0.2169721,-0.48554498,0.10252148,-0.70639485,0.07654072,-0.9437713,0.42425308,-0.011840987,-0.20587502,-0.01646102,0.37308705,0.30081493,0.15386115,-0.17648333,0.501227,-1.0982367,-0.5381132,0.16448414,-0.3119567,-0.92101973,-0.17404886,0.07140292,-1.263134,0.58513683,-0.20627013,-0.3276572,0.2621018,-0.010398531
4,0.48052564,-0.4673832,-0.026860654,-0.23250651,-0.094853826,-0.30302113,0.016458308,-1.0546812,0.53389734,-0.80064595,0.51331323,-0.08596935,-0.14458935,0.31609717,0.08715858,0.2504029,0.0062926295,-0.04803424,0.23867774,-1.5664673,-0.92024386,0.32022324,-0.3626775,-0.4409972,-0.2627614,-0.010510719,-1.2344218,0.71133214,-0.2541194,-0.37148476,0.049072742,-0.08968802
5,0.6480891,0.0068839313,-0.23280595,0.20064226,-0.08998477,0.4282201,-0.11107271,-0.41955072,0.07007793,-1.0979545,0.2721165,-0.33071205,0.2331152,0.047573715,-0.21711805,0.36307627,0.5792846,-0.25126153,0.32168505,-1.1673787,-0.27715313,0.4914024,-0.54040813,-0.8971462,0.28505954,-0.14663492,-0.755807,0.6308794,-0.1585007,-0.53523177,-0.677874,-0.23914094
6,0.413583,-0.33442315,-0.021571446,-0.076235235,-0.17116874,-0.2583649,0.3584054,-1.1172225,0.42916748,-0.014280045,0.56981647,0.07501936,-0.14191282,-0.18989034,0.2752907,0.6810916,-0.10021949,-0.05238231,0.5377704,-0.9126833,-0.9443108,0.068430364,-0.21202369,-0.80464906,-0.3050911,-0.02007841,-1.0169796,1.150412,-0.51110476,-0.4603722,0.17099784,-0.5622061
7,0.615366,-0.32498714,-0.33136985,0.028087867,0.019122053,0.24637508,0.025336815,-0.68605405,0.057334185,-0.8392243,0.15190665,-0.14676252,0.5880375,0.19964856,-0.17782043,0.44478694,0.5398405,-0.5627346,0.16551837,-1.0138559,-0.49853572,0.44434115,-0.4927864,-1.1536463,0.22096263,-0.18119119,-1.0685586,0.59653884,-0.2778328,-0.58942974,-0.25562927,-0.35694677
8,0.38950458,-0.0887342,-0.024646927,0.1629257,0.13120165,0.16676986,0.09250253,-0.99365294,0.024818733,-0.56683856,0.29451138,-0.09406412,0.25865307,0.14878798,0.019857049,0.29547283,0.21891923,-0.28894386,0.36220986,-1.0396088,-0.40913126,0.34954137,-0.28002545,-0.84633887,0.19077237,-0.12966718,-1.0910301,0.41208702,-0.13110098,-0.463264,0.26436564,-0.24939282
9,0.58064264,-0.27137846,0.07502458,-0.016653633,-0.10228135,-0.07155646,0.27272055,-0.94136995,0.08340903,-0.1306896,0.09034819,-0.050031003,0.53093237,0.04354138,0.2359318,0.15205728,0.021159505,-0.53724426,0.05281774,-0.98675054,-0.7990037,0.30598053,-0.04892695,-0.8370162,0.30097893,-0.28760943,-0.9737194,0.5205689,-0.35156408,-0.5325874,0.42799696,-0.3833161
10,0.44667697,-0.043959726,-0.21124823,-0.08318333,0.0957778,-0.3008729,0.22266376,-0.85137856,0.012732953,-0.84569484,0.26411653,-0.010523582,0.24173975,0.11219194,0.3027639,0.18094347,0.3091132,-0.3840176,0.34933025,-0.9727629,-0.6317302,0.16190872,-0.30989406,-1.1419247,0.31771293,-0.039266862,-0.9890048,0.6205508,-0.37705332,-0.5020502,0.50639945,-0.37510452
11,0.44625416,-0.28978038,-0.22934607,-0.3340845,0.118673615,-0.2805442,0.22805929,-0.40305883,0.017164959,-0.90714705,0.08184748,-0.049536694,0.14255151,0.016117562,0.50054324,0.43589544,0.4088264,-0.36148772,0.5583379,-0.7618447,-0.8242378,-0.03271967,-0.35939637,-1.195734,0.4354826,-0.17095904,-0.7689377,0.6412574,-0.60088325,-0.43374905,0.40435725,-0.30976352
12,0.47591725,-0.73914737,-0.34362808,-0.3019478,0.32914352,-0.17628454,0.06847991,-0.2996727,0.056239974,-1.1982505,0.12751839,-0.03576676,0.2813793,0.19109951,0.055162646,0.3600131,0.5849071,-0.29754868,0.36446562,-0.68149954,-0.43947297,0.06230342,-0.37309465,-0.9302109,0.14238226,-0.04725767,-0.582646,0.35783452,-0.35444924,-0.49662247,-0.21383777,-0.07863598
13,0.5837423,-0.399075,0.19540003,-0.4331855,-7.6216464e-05,0.0049013793,0.29968545,-0.22093773,-0.31497836,-0.59891313,0.0059304773,-0.11505411,0.5686993,0.0544791,0.20395051,0.34333816,0.06505332,-0.4498375,0.3321157,-0.40643463,-1.0938926,-0.02045391,-0.091748625,-0.97169876,0.4112259,-0.14206326,-0.7089154,0.94907475,-0.6803633,-0.35934988,0.50325865,-0.58413225
14,0.95160675,-0.34271958,0.35489362,-0.34811226,-0.15348002,0.0074513615,0.45720634,-0.27259594,-0.5536535,-0.59388125,-0.15802349,-0.29555866,0.9584694,-0.05641204,0.5313504,0.42493707,0.12353604,-0.8105583,0.59914124,-0.3622795,-1.0739988,0.03220768,-0.13107885,-1.1299725,0.57046753,-0.24361439,-0.78171235,0.96801883,-0.71587175,-0.27515373,0.34265572,-0.4977393
15,0.851075,-0.28698847,0.16784826,-0.22763038,-0.124709666,0.14775942,0.40502033,-0.3634975,-0.41707474,-0.7421232,0.0086912215,-0.26374647,0.5666655,0.11242892,0.39003024,0.48839816,0.28439823,-0.5096585,0.56077564,-0.5495664,-1.1977724,0.037451234,-0.25911093,-0.87404597,0.5257277,-0.10915653,-0.7238835,0.85004485,-0.527042,-0.19469252,0.24150796,-0.45555502
16,0.78309387,-0.45924875,0.06932368,-0.25706187,0.04008081,-0.27575985,0.5262623,-0.34351182,-0.31006727,-0.5524584,-0.067060836,-0.03000096,0.6165147,-0.050076056,0.6614919,0.51775426,0.1070236,-0.55367243,0.535788,-0.5410041,-1.1369793,-0.05493474,-0.1457315,-1.010581,0.53323555,-0.14255185,-0.65656674,0.6052619,-0.70250916,-0.38141412,0.53002834,-0.2939231
17,0.5701965,-0.5260437,0.52025,-0.1983201,-0.016779238,-0.13869277,0.5170929,-0.97005093,0.05591568,-0.31164184,0.14933543,-0.019966586,0.69233376,-0.19528382,0.2728074,0.11880691,0.28605792,-0.1335508,0.4895792,-0.7034025,-1.0231626,0.28969368,0.033058465,-0.6333113,0.47514534,-0.040150013,-0.5679273,0.6162403,-0.35543767,-0.42000324,0.089065395,-0.5796016
18,0.41358456,-0.28071013,0.63069534,-0.122952536,-0.03022324,-0.27404314,0.40959057,-0.818839,0.20526801,-0.035553753,0.37558436,-0.08171037,0.09324708,-0.13453625,0.56924355,0.27384874,-0.039193805,0.14527552,0.61354345,-0.51317084,-1.1316935,0.21956955,-0.08882912,-0.37873662,0.12583002,-0.06412737,-0.6565137,0.5335341,-0.51419324,-0.2589868,0.6434369,-0.19467254
