,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1,0.35804564,0.2164127,0.2418224,0.36118397,0.3143965,0.23485251,0.07027559,0.23834881,0.063263655,0.4603016,0.45176747,0.57564133,0.27145705,0.11381348,0.038543515,0.13590342,0.19740036,0.20772476,0.16731916,0.19960293,0.43286636,0.2589404,0.08893592,0.39080113,0.06697424,0.0642388,0.33209887,0.11434166,0.24938343,0.16921106,0.07892611,0.14975621
2,0.38220805,0.21902458,0.22880228,0.35976595,0.31412616,0.25100088,0.0620223,0.24041758,0.058162145,0.47634715,0.45509687,0.5391311,0.24853005,0.11889728,0.05571908,0.14481026,0.21457402,0.19748877,0.16735682,0.22548777,0.45771953,0.27189872,0.07339869,0.4091102,0.065872274,0.062772304,0.3474603,0.11941439,0.25165737,0.17715703,0.09098887,0.1506333
3,0.33653906,0.21438818,0.22786742,0.35337824,0.32778504,0.2493293,0.061484084,0.21373856,0.064596005,0.5141337,0.4604747,0.55809575,0.25397304,0.12563622,0.06303199,0.15113932,0.20600502,0.19463255,0.15495692,0.21021801,0.44394374,0.25221497,0.106310956,0.38862738,0.07674217,0.057386905,0.33342776,0.111917175,0.26142436,0.17533542,0.07365899,0.15210411
4,0.46907243,0.28253758,0.26593375,0.43935037,0.34692925,0.24902794,0.069427975,0.27497777,0.051814213,0.47255015,0.4745334,0.5985775,0.34402406,0.13309933,0.06957473,0.1456194,0.21039052,0.2348271,0.16854768,0.20817174,0.46324816,0.2915094,0.1053289,0.43304166,0.072479196,0.10547638,0.42680344,0.14567758,0.27713642,0.1660043,0.06904259,0.17807184
5,0.3601217,0.23357962,0.22294325,0.34723926,0.3231237,0.2321783,0.0564727,0.22584699,0.0735789,0.50406796,0.45029873,0.6065767,0.29786617,0.14196937,0.064559765,0.15338673,0.19609006,0.20273657,0.1902499,0.23475862,0.44196662,0.20828727,0.1015076,0.38040847,0.096001856,0.060897708,0.33882698,0.14145489,0.26315233,0.17716582,0.09468743,0.16405107
6,0.3663929,0.2148181,0.2469514,0.38684246,0.33330733,0.20280145,0.06382682,0.22457565,0.0699679,0.4687751,0.4721397,0.5560132,0.24671736,0.13677213,0.084348634,0.13639411,0.15335114,0.25588593,0.16311428,0.21688543,0.39760992,0.24526966,0.07600368,0.38173294,0.07108831,0.019197736,0.3589069,0.15881872,0.27693534,0.17875385,0.05772631,0.14970188
7,0.35747123,0.2512472,0.2136724,0.32396817,0.2988216,0.22795561,0.03737153,0.24152616,0.056867763,0.47291622,0.45207036,0.60280216,0.2896451,0.15542674,0.058704615,0.14227661,0.17960437,0.21269281,0.18088755,0.2381064,0.42921197,0.20602585,0.11511889,0.3597619,0.103599355,0.043330427,0.3736676,0.1496257,0.24851719,0.18801413,0.075977586,0.15255846
8,0.35003448,0.24434198,0.2340227,0.34483454,0.30471897,0.22647834,0.048185613,0.23983857,0.040043212,0.47371402,0.44403362,0.5833028,0.3046093,0.12793346,0.04866333,0.14321686,0.18236141,0.25363743,0.17059563,0.22837892,0.44932425,0.23321226,0.103024244,0.38536352,0.08782438,0.05535927,0.338876,0.12668055,0.24211602,0.17118353,0.063077524,0.14563876
9,0.4256737,0.26205772,0.2551424,0.38072902,0.32034445,0.25086918,0.04179014,0.27192652,0.035929836,0.44162837,0.4482771,0.5446063,0.2830412,0.15236641,0.022685884,0.11176674,0.18735623,0.2953549,0.17122047,0.22852121,0.4288343,0.2739465,0.08827975,0.40172404,0.07311042,0.049277335,0.4126107,0.16849305,0.25660774,0.16571909,0.030767111,0.14164309
10,0.32528222,0.20805496,0.2280139,0.32800788,0.31355977,0.24298882,0.03445613,0.21616426,0.053599242,0.48101142,0.45713937,0.56018543,0.26351056,0.13294534,0.037597455,0.13044113,0.18772642,0.21118271,0.16042459,0.21241567,0.42417088,0.22167747,0.119728915,0.35628635,0.08259251,0.035353564,0.34357566,0.124406904,0.25945538,0.1554401,0.04358853,0.14827718
11,0.34582642,0.19836439,0.22848423,0.32943073,0.32677978,0.25244802,0.044857346,0.23672456,0.06390174,0.4576542,0.45470336,0.5572403,0.2477382,0.16128789,0.06200057,0.113836884,0.17318605,0.2466895,0.1480267,0.18929791,0.3930971,0.22988237,0.1466921,0.33590516,0.07907808,0.05639604,0.36611506,0.15956496,0.2509821,0.17004737,0.02985223,0.14713952
