,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1,1.0588753,0.90949446,0.6047559,0.3640882,0.9850736,1.5100516,0.3766278,0.21906379,0.33283368,0.5108897,0.9967819,0.8596767,1.221701,0.7064287,0.38227525,0.59011835,0.21065354,0.25975835,1.7343205,1.4855635,0.52464855,0.9946531,0.5094414,0.89199257,0.20310828,0.7589532,0.56958973,1.098489,0.73951185,0.29488564,1.0061151,0.33396214
2,1.0660633,0.9701674,0.58634406,0.29028958,0.9526049,1.4966676,0.57028943,0.2478035,0.35220706,0.5205917,0.9476743,0.79579675,1.3297375,0.6204094,0.4543809,0.5765059,0.20214292,0.25062925,1.8557303,1.5043446,0.5198358,1.0565752,0.55012494,0.9034983,0.23974372,0.76310927,0.63039356,1.1981422,0.7784461,0.286021,1.0236366,0.33735088
3,1.0899868,0.98233145,0.549362,0.3806539,0.9479023,1.4936421,0.47518057,0.22772835,0.3491974,0.5063872,0.82253146,0.744859,1.200583,0.6435368,0.3929466,0.614837,0.20744014,0.2120166,1.7099484,1.4152868,0.60364515,1.0330983,0.5475555,0.87132657,0.18942346,0.7134024,0.59043473,1.0979823,0.7581476,0.29015407,1.0677763,0.30545694
4,0.96081406,0.89464587,0.80074006,0.34609076,1.0516906,1.4240588,0.7110945,0.18997991,0.4290229,0.5198511,1.0396017,1.2742928,1.333373,0.72703665,0.51521397,0.57837427,0.23501883,0.25664356,1.6675422,1.5215915,0.60367703,1.0105323,0.71303755,1.0447766,0.18946424,0.8731307,0.6313808,1.2691662,0.6409878,0.41168907,1.1801888,0.38634142
5,1.0514865,1.0064627,0.607389,0.24950613,1.0103716,1.4613127,0.3260888,0.28925914,0.30638373,0.5202698,0.8179377,0.9143411,1.0915116,0.7479464,0.4413515,0.54581916,0.17755072,0.2507202,1.7476966,1.4966509,0.46260396,0.9651489,0.39547223,0.6488375,0.3157187,0.81049985,0.6137083,1.0150354,0.65912825,0.37931272,1.0775508,0.2917678
6,1.0956196,0.95455396,0.6333362,0.34411174,1.0501927,1.4014058,0.4385755,0.23502645,0.44863728,0.48571673,0.8519074,1.0817859,1.224657,0.6738375,0.25920275,0.4783976,0.2019653,0.29612303,1.7003403,1.4877843,0.5957168,1.1878294,0.627914,0.78955704,0.20770966,0.8937203,0.65044546,1.312176,0.6410308,0.2732138,1.2058356,0.27482566
7,1.0308619,1.1322194,0.6307604,0.25165588,0.9025673,1.3896711,0.4355385,0.2631787,0.240507,0.5499484,0.85767263,1.0323328,0.9984081,0.7562589,0.34066036,0.46478853,0.12952831,0.2815762,1.7103868,1.5165784,0.50587964,0.9893577,0.4607106,0.66959256,0.23502946,0.8696393,0.59397995,0.99617434,0.6268958,0.37444752,1.0027446,0.25254676
8,1.0156571,0.9955563,0.6472465,0.37074098,0.94513315,1.5353893,0.40619215,0.18590125,0.2929927,0.49954548,1.0326847,0.8188305,1.038337,0.7043511,0.4018034,0.57550323,0.16234452,0.32853672,1.5741917,1.3357283,0.5029444,0.9589932,0.51515245,0.7507565,0.18560798,0.80912226,0.5789556,1.0269356,0.74041116,0.3431508,0.9853263,0.27487844
9,0.9104685,0.9581271,0.6633382,0.25534657,0.959963,1.3561502,0.664285,0.18138257,0.32936424,0.49543473,0.98615575,1.0924735,1.0710809,0.6668421,0.39807436,0.51824677,0.178392,0.2332684,1.5724932,1.4293629,0.4950015,0.9555963,0.59157735,0.7809129,0.24808122,0.85735387,0.6200623,1.1475651,0.61556256,0.29514426,0.9773097,0.2210099
10,1.0360037,1.0241911,0.58462757,0.29452646,0.9501292,1.3990338,0.4049953,0.19613326,0.31639823,0.45563602,0.76879126,0.7705735,1.0358618,0.6480446,0.39315358,0.593871,0.18029885,0.2280425,1.5849565,1.3874649,0.59227407,0.9726936,0.53110063,0.7658177,0.18711212,0.7329635,0.65109646,1.0640955,0.67900485,0.27876964,1.0507401,0.19678384
11,0.99214166,0.9602267,0.60475564,0.31190842,1.0004538,1.29914,0.41651314,0.14040884,0.32220906,0.52846134,0.7171362,1.0341748,1.0260378,0.6625784,0.3994257,0.5722466,0.108527325,0.2948755,1.5271803,1.4105308,0.67249614,1.0156393,0.50791603,0.7991099,0.29876104,0.8149486,0.6647137,1.1393275,0.5686679,0.2269331,1.0709492,0.2805255
12,1.0267241,1.1035221,0.61410314,0.36577186,0.88833755,1.2362508,0.48040134,0.21494433,0.251226,0.52784085,0.79938275,1.2070795,0.8988129,0.7312698,0.49659508,0.5570577,0.13988341,0.24293832,1.6499313,1.3927602,0.5988402,0.9962948,0.42953947,0.7694803,0.33563772,0.8854397,0.5997393,1.0940928,0.59025615,0.32443675,1.0096006,0.27994123
13,0.98585,1.0047632,0.7673111,0.30714396,0.9835782,1.291439,0.8034202,0.15111336,0.43415087,0.562752,1.0518572,1.328482,1.1051702,0.7530774,0.47332734,0.56383806,0.18698591,0.35375872,1.6301813,1.4460359,0.5342843,1.0807145,0.6073927,1.0228642,0.27302366,0.90554523,0.68852884,1.3152025,0.56257766,0.3358001,1.032804,0.24149129
14,1.0877773,0.98897743,0.52476007,0.3043805,1.0164121,1.3044736,0.87657666,0.2610634,0.5546064,0.5695104,0.88508916,1.1730416,1.3249669,0.69112766,0.4539002,0.6916793,0.38763052,0.3500428,1.651499,1.6299721,0.6443205,1.1466684,0.7100694,1.1179856,0.25275332,0.9365439,0.77893424,1.4373375,0.7125433,0.37460482,1.1401795,0.37286252
15,0.95075995,0.90448743,0.7459186,0.3248739,1.0472033,1.4169432,0.77992505,0.16681597,0.40977794,0.54293185,1.0327921,1.222603,1.2174248,0.7860686,0.462071,0.46450746,0.36943597,0.3206746,1.5894281,1.4370253,0.5786731,1.0779337,0.5735734,1.1037196,0.25863037,0.89453167,0.5738264,1.324375,0.6046311,0.32823202,1.0378399,0.25019404
16,1.0211223,0.9144475,0.5258968,0.32344148,0.9778585,1.3183765,0.6124485,0.19543178,0.46403834,0.5634056,0.85766584,1.0513322,1.1731049,0.68043566,0.39739347,0.57733506,0.28642124,0.337696,1.588614,1.5302716,0.6420542,1.109458,0.59078634,1.0749314,0.2106645,0.86918324,0.7016473,1.395629,0.60665756,0.31736353,1.0824426,0.34062287
17,0.97787,0.8629896,0.49378672,0.38320383,0.98452806,1.3853544,0.53180003,0.37519726,0.4410932,0.5217933,0.8625926,0.91227245,0.8915308,0.6539123,0.48417065,0.53059036,0.11911913,0.31629488,1.6197419,1.4075416,0.5905879,1.0272298,0.62843716,0.7358907,0.20872411,0.7923932,0.70254993,1.4348369,0.66233057,0.3507789,1.1296484,0.33409816
18,0.95483667,0.7499614,0.6162301,0.50214154,1.0280591,1.4647936,0.5419131,0.18547915,0.44786876,0.48623702,0.88438374,0.8963656,1.1514335,0.66910404,0.42493343,0.6058008,0.24345702,0.31181857,1.4645143,1.3579086,0.6496467,1.0470659,0.6349603,0.98811877,0.24676837,0.7961191,0.71687144,1.3627496,0.6506195,0.37447903,1.0761461,0.31741902
19,0.9486191,0.9179659,0.7670973,0.3831778,1.0341195,1.4174708,0.8840767,0.3372122,0.4420896,0.46343935,1.1186267,1.1825114,1.1763122,0.7490103,0.5780054,0.59860945,0.22939979,0.29573852,1.66157,1.3636534,0.6958201,1.0574923,0.5939196,1.0139722,0.19586034,0.8986004,0.81235784,1.4923335,0.6633708,0.3576786,1.1536193,0.43468606
20,0.9145531,0.9422235,0.79422456,0.39678138,1.093898,1.4750528,0.608058,0.2993571,0.36058462,0.54493785,0.95191354,1.0596195,0.88770694,0.83589494,0.4900012,0.6046479,0.1652455,0.43978643,1.521639,1.2495071,0.6679264,0.90337455,0.6294494,0.7196555,0.31689692,0.7512615,0.68862087,1.1889776,0.565349,0.3282358,0.9951463,0.2870935
21,0.9053034,0.9207683,0.77128613,0.33227706,0.9254023,1.3103935,0.76915056,0.19959174,0.41371626,0.5115514,1.0763118,1.238325,1.0017638,0.76383024,0.4095064,0.50486106,0.19356945,0.34049988,1.5247654,1.4272071,0.53916866,1.110579,0.6403193,0.89220864,0.25943348,0.920899,0.71137834,1.2399939,0.6235993,0.2925596,0.98741204,0.22495335
