,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
1,1.0463719,1.2682916,1.3500651,1.5553666,1.1496682,1.2969625,1.3121287,0.82453394,1.3513068,1.2900393,1.3403853,1.3579658,1.0679585,1.3045447,1.0870218,1.2350594,1.1723963,0.9748407,1.0478404,1.5043023,0.83301526,0.89499664,1.8387927,0.9311033,1.1172904,1.1974127,1.2209852,1.8448474,1.0160722,1.3208376,1.5418717,0.956922
2,0.98998123,1.2480869,1.293395,1.8321886,1.1505595,1.2263074,1.2901331,0.8395391,1.5938283,1.3710285,1.4140217,1.1415637,1.3647969,1.064125,1.1043519,1.4079508,1.5762653,1.0713919,1.27035,1.3183348,0.7080529,1.2660594,1.555455,0.6819419,0.9034103,1.3029777,1.2435359,1.7369117,1.1953547,1.356086,1.4133505,0.9797278
3,0.9898999,1.2191303,1.2912046,1.739542,1.29846,1.3327978,1.3515323,0.83679426,1.1252913,1.345718,1.2230196,1.2950124,1.0086268,1.5899901,1.178614,1.3928941,1.3933953,0.7712123,1.075448,1.5335431,0.8301643,1.3364403,1.8852398,0.6630928,1.1611334,1.1545068,1.1927629,1.910121,1.0277437,1.5391723,1.6559849,1.1743923
4,1.6128603,1.6346439,1.7661537,1.2785472,1.3987464,1.1210195,1.2368277,0.93766683,1.5171902,1.4120725,1.223556,1.2314962,1.2870567,1.6332111,0.7580412,1.2984827,1.025866,1.5107899,0.9214529,2.0363758,1.2382387,0.9252646,2.1844006,1.1737968,1.793545,1.160046,1.6033891,1.7709421,1.289912,1.2239319,2.0084436,0.9571981
5,1.356857,1.3593861,1.2031411,1.3438671,0.50293046,1.4130058,1.3563905,0.67595047,0.9929996,1.34655,1.3492312,1.334638,1.2529896,0.9005837,1.2971398,1.5467265,1.5199796,1.0704919,0.8186881,1.4109584,1.5167768,1.3303527,2.1520534,0.99540156,1.682573,1.1855334,1.3322424,1.3634342,0.7612639,1.9171045,1.3648144,1.4190991
6,1.4642016,1.3732406,1.232325,1.4721802,1.2440745,0.9556226,1.2097275,1.032124,1.3707876,0.6105745,0.95590734,1.3574767,1.1839471,1.2840048,1.1255006,0.8091271,0.7733939,0.7897563,1.1725127,1.2518641,0.701166,0.6657252,1.1678811,0.92857295,1.0977191,1.2965866,0.8622311,1.0827004,1.0909423,1.1352816,0.9403058,0.9223872
7,1.4558753,1.3595325,1.0915216,1.1359731,0.7817633,1.5776504,1.4954066,0.7535759,1.1056602,1.3124051,1.3576463,0.9798186,1.3348339,1.0307001,1.3141354,1.147937,1.5280712,1.0440388,1.1140814,1.3841239,1.4249022,1.3776878,1.9094799,0.9724923,1.4794948,1.234777,1.196947,1.5826378,0.61868936,1.7287476,1.1990095,1.037124
8,0.9849296,1.0291475,1.2782634,1.2704679,0.85104567,1.3559753,1.4920661,0.7057572,1.2786846,1.2808495,0.93168366,1.0146116,1.1665773,1.1606728,1.1860361,1.3998244,1.1715418,1.0132576,0.8839576,1.396124,0.99502456,0.4017884,1.8685709,1.1781592,1.0958452,0.83988625,1.2206848,1.5471268,0.7244269,1.134322,1.3514438,0.8972238
9,0.8840954,0.9179292,0.9367174,0.9722515,1.0495223,1.1199939,1.1640099,0.5652079,1.292439,0.9655852,0.8392858,0.52440464,1.0634359,0.62773794,0.89072764,0.87812424,0.82288456,0.9472655,0.9564054,0.98521817,0.8627204,0.5560348,1.3031182,0.8535337,0.5856684,0.90975815,0.7920271,1.1014961,0.47388664,0.8451938,0.75116926,0.8097525
10,0.9461834,1.1538188,0.8221396,1.3652312,1.0271679,1.2492727,1.3726761,0.7471032,1.0408572,1.1463323,0.8370847,1.0962757,1.0459013,0.94911015,0.79277515,0.92685246,0.9906298,0.8192994,0.8847657,1.228166,0.79398805,0.79809785,1.455002,0.9685697,1.0021937,0.8804541,1.0070047,1.3589125,0.62944436,1.0191052,1.0207794,0.8443046
