,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32
PC1,0.3782385332738266,-0.4203163944431326,0.37608616433877196,0.1911964080710081,-0.2576595233061481,-0.18441693331596493,0.002313502354005037,-0.01734688661799518,0.24062977599131666,0.34279920645361367,-0.2207494448962176,-0.365107597377366,-0.14353955030757817,-0.0579558588786966,-0.09965924054080434,-0.06941203622307,0.23918849871598832,0.01414649424676837,-0.17007924081889841,0.2120548267071948,0.029666088442010897,0.05685775206928588,-0.27230862113280574,-0.103710030394185,-0.16334763328548627,0.16081153402922502,0.010340950626617803,0.24193501137510104,-0.40824553249836804,0.1631150685194992,-0.4094873516923462,0.22615697619558367
PC2,-0.10533492241807692,0.06053172427425686,0.010090949607730864,-0.030951700615021588,-0.13119311827693783,0.12657349905333662,0.029291115877033348,-0.07965085652737143,-0.1118565076461729,0.2056340585689785,-0.13384092201232806,-0.028408026892570222,0.08565525028393106,-0.2421806693588256,-0.20654296925072294,-0.044506072570628906,0.014988013602761825,0.10334223420469775,0.09808860298688009,-0.035267128576260576,-0.08129169137002548,0.11992062869102016,0.06693730777433163,0.08608166801685715,0.018766699896257455,-0.11815346422954898,0.003392497828743668,-0.15882878933677586,0.11729848852574913,-0.03927539735700277,-0.04405190019737724,-0.07090388330051603
PC3,0.05479752687860068,-0.07083825195507394,0.050058479210125094,-0.22961343442727392,0.07294966804506,0.024492312944764,-0.13809136005062358,0.2381810696399779,-0.017274706943877907,0.11029686139305947,-0.23686456530591,0.17166316915584082,0.04962795062936161,0.04101393486309492,0.07570953828007083,0.0736802841081611,0.21150027092746804,-0.13714556608581419,-0.18770896446720353,0.13513171538717694,-0.15051506408176055,0.011320025230502573,-0.16777504098000018,0.23374580891039112,-0.039690348403997835,0.024505740029450364,-0.23060056757478892,0.0629513064973894,-0.11597627397419903,-0.06328686441448385,-0.09836906775515922,-0.10994084162694187
PC4,-0.0034545885673021256,-0.037406004263432976,-0.07261823832911549,-0.12524626716810677,0.07405079505330038,0.08889190590532539,0.08822844191402925,0.05455098249379155,-0.10911559282615846,-0.03854019683918104,0.16392116807700516,-0.015548859533121368,-0.030608549687510738,-0.06809054210223017,0.022763990389600468,0.08179220499802066,-0.1517554728861203,0.0881274744006137,-0.033050592786001254,0.014724310515890255,-0.07363012986776528,0.08141440511453615,0.10445314001401333,-0.02332834124811626,-0.1054896882505388,0.2256465409242001,0.13776598128037526,-0.0965050373999883,-0.08786375456182552,-0.023925448336870433,0.15519368673740994,0.030807541080398664
PC5,-0.10819057609173524,0.07453263020414172,-0.006840142383276815,0.0866055271867876,0.032869690370760596,-0.1333367196925191,0.047277940915868386,-0.06302185052973275,-0.00840456659286819,-0.10689402766804217,0.1271162957629203,-0.07909353943782486,0.07134047736510148,0.01461284234427812,0.1426719152484398,0.021431925250458856,-0.06208846177044991,0.001439802569595331,-0.004315934982643682,-0.17367958438613354,-0.06535719987627424,-0.10437077007112232,-0.0166500099075537,0.08118173590548092,0.007505753334966318,0.03307801362419292,-0.08660072724157722,-0.05832989378234634,0.03591316390268012,-0.025220307030473073,-0.0550419353422428,0.002600452978389374
PC6,-0.07668005893326199,-0.000601639362278332,0.077102766058921,-0.018967169368710228,-0.05467109522681338,-0.08945788243017752,-0.05677233819260431,-0.015928227853783346,-0.041910499418119765,0.07832624364220955,0.06612028925731414,-0.0023336862160053306,-0.06005554341828321,-0.04051164570441541,0.007264354548405527,0.07681833489528296,0.07467013444187537,0.052171184956081994,-0.09723016469745852,0.03207890146148893,-0.04776638715739735,-0.08043845753617919,-0.05033726768105836,0.0891556710196695,0.002047246019872212,-0.033470239861676354,0.00726523021951533,0.02150252297272603,0.0532899876941539,0.004809173918017889,-0.006704065138243366,0.01778518034208313
PC7,0.057063263533085586,0.0029046007005992525,0.03813669320691815,-0.03526411164029016,0.032472764623252715,0.13796137418817644,0.025501504499210282,-0.013710053184534077,0.04875661465572394,0.021913735382308317,-0.04019261797257819,-0.007452802810944278,0.096307512304091,-0.04541822388876955,0.06751358893178307,-0.04660412110871019,0.0663253048812741,0.035825623435644154,0.06251176879945596,0.09374426145593798,-0.04077947799085512,-0.019098518353966365,-0.0411782590735393,0.1416317530386117,0.10710988944492257,0.028373966715948412,-0.1172511043069947,-0.058349488536340144,0.037690182738652586,0.12727450153804257,0.01431073861716825,0.010232699216436821
PC8,0.05404893956959589,0.045797761211598745,-0.05238142649548581,0.001271471144645661,0.006455533749208947,-0.04225268627575661,0.1661623404788301,-0.03869186631005552,-0.02675588874687666,-0.13013964475820844,0.03417319149822273,0.08559930646122216,-0.004881435515275067,0.020194651045954488,0.055629613606494786,0.006758856606519484,-0.014976404129336129,0.005164803655245609,0.058974343852920996,-0.06281848055997241,-0.0016121470185220185,0.07948942952490705,0.017555086171544193,-0.025951250376349662,0.032991590914998994,0.15647853616252874,0.022309887005911282,-0.04417529534646501,0.1145296661842156,0.0480487913607933,0.017894945425233993,0.0049861909582773175
PC9,-0.05497829205639622,0.008702656162056493,0.09051888869198482,-0.04277213277958526,-0.04700639966105796,-0.11100463485977934,0.08162509550058497,-0.022383958563006297,0.013744458856363032,-0.04469187380629409,0.05351170450797046,-0.022320855007938994,0.04241022961427558,-0.01650158274397224,-0.030802819545142496,-0.014504244746148106,0.05852016130151856,0.010199808518815448,-0.02541161335861448,0.030259775274072937,0.0209792058278068,-0.045849427564700736,-0.004532500874725528,0.09478041857327263,0.04187067321265577,0.003802936234753307,-0.05792455360266532,0.02169411630940575,-0.042650707489496086,-0.03179596796057115,-0.018249761549831742,-0.014895050160422335
PC10,0.018709227436717768,-0.03554369614623504,-0.02412082072762762,0.05139652454517406,0.0333460351346319,0.036212990984340304,-0.03031703351325731,-0.04299489242520475,-0.04105205783072492,0.05557282654649396,0.0016837184622146284,-0.05786192265459199,0.05697383752499798,0.010096304277260007,5.714679789222063e-05,7.143277755558008e-05,0.053702090053145815,0.028107901568942863,0.10248263427127355,-0.05076100217730386,-0.023928980080708716,0.019653467811914342,0.06452327484641611,-0.024246778500750528,0.06097305435339022,0.02479016723535824,0.025468833613112928,-0.006752258064356453,0.07345766386003912,-0.054508730904635275,-0.08472684507786801,-0.0011921981811872761
