,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32
PC1,0.029130260281229597,-0.33310270648041695,-0.2156351318503821,-0.021166935692841515,-0.03832503535004699,-0.06590468206467262,-0.40572241663585284,-0.25476041471977434,0.10112396233105943,-0.026889610441023247,-0.2648632784763661,0.03332363675625719,-0.05567847065711745,-0.05196044699731132,-0.18633670815209163,0.0498785234894905,-0.082657330136547,-0.502408371844667,-0.22016744090088572,-0.29365178258578933,-0.16134321813227254,0.6139540698919629,0.43566727148604734,-0.16820683856074456,-0.21731094116001182,0.1281144418397609,-0.11719799314251889,-0.10234805288811621,0.031430898622883334,0.05083213146079226,0.2248245111256309,-0.24019324331786543
PC2,-0.05753605104931547,0.08322541661791436,-0.15447188547707555,0.19453507109740237,0.3275241674941328,0.4685107990710927,-0.02154381546442099,0.19869177474096314,-0.044006390926575545,-0.023676432748954,0.0930824377789831,0.013839996519082437,-0.12316269963059982,-0.003074982491326833,0.32064816151281134,0.06908978966298407,0.217053850991538,0.02928098583039166,0.16545192955859486,-0.01094536974653415,0.33072941286891683,-0.3609673452647256,-0.17211750601502895,0.024440423102822746,0.0035963537626877316,0.11384473663538772,-0.061498859886043734,-0.02470547103257178,0.15021479339078483,0.0710880319200591,-0.21673302740579067,-0.1296489533503463
PC3,-0.12368557315234174,0.019035835404229363,-0.13456990788633683,-0.04412475442828785,-0.1406803583873447,0.16159448144978167,0.048480051333480316,0.010455904993523422,-0.21614589266413073,0.07722024325668145,0.10833557827834825,0.285676271781948,0.10802175588407706,-0.12949760012928832,0.040194644638490054,-0.20826718251820403,0.0071615169411615495,-0.054583521753939615,-0.015333439767199596,-0.16377982468265434,0.02436750520308121,-0.16308657837570054,-0.0362212544625247,-0.29617203089420047,0.20698939284490522,-0.021105151868124596,0.01985050644215437,-0.0475383868765744,0.16271914262923753,0.31781767497436664,0.025906768727590273,0.029796843360331615
PC4,0.08109048799186525,0.21737924186599256,0.07697510690594539,0.09181308284024392,0.2116368117056843,0.06784168083547348,0.08861271660115502,-0.12079526901516187,-0.24604489089518675,0.19039447796411385,0.006360927583895118,-0.050140643125152415,0.07853792708000434,-0.06343005754834126,-0.10406138694545546,0.1138272094453265,-0.31208548635909283,-0.07540884547115737,-0.06854900407588523,0.053985457365540904,-0.1294406321570603,0.05100743737935257,-0.043887229615987164,-0.14573764235958928,-0.0769057472744004,-0.16478812446258911,-0.0032432027670913064,-0.18175268005464112,-0.32830999920170484,-0.42220503684262123,-0.1380925949155178,0.035313451879545474
PC5,-0.08609398995685323,-0.17478922987192325,-0.20446891482905527,0.12450640358238238,0.03828153464031055,-0.19118303460852992,0.026032101881168706,0.11545846473658694,-0.10778546950866594,-0.11371584080926558,-0.006183166842355259,-0.057172207051250146,0.11540551056538598,-0.12171329717812455,0.11795577366392389,-0.09403542056073935,-0.028654906209005432,0.006741608196540736,0.1455652201500144,-0.010427814245584258,0.026181463840730508,0.2871263499928767,0.00047099123745250604,0.31362285193061107,-0.06647915684240055,0.036599967687750555,0.12748385675149368,0.11186571324752878,-0.01987940128744513,-0.031097330007930236,0.05705295730690664,-0.004197582683989331
PC6,0.029291444346875473,-0.2025076441025344,-0.09841875146592226,-0.12445531291703733,-0.010431657292977087,-0.10468593078826141,0.19724023774009966,0.09983283208929558,0.00473329723833468,-0.0007914675786262293,-0.011620304032939104,0.06582583097364592,-0.016312231632990216,0.025884557053444862,0.2615004755028346,-0.16332464216770237,0.22632445935427475,-0.045627060645603526,-0.12674599586660762,0.1017877288556368,-0.10492751902168904,-0.1768638837109912,0.07779686535911014,0.10958146442467623,0.007883794142101792,0.13543985525326346,-0.013405386053279256,-0.17499905852305625,0.11362387864187969,0.15779394924690976,-0.04183055674838084,0.1420122029653667
PC7,0.12326032800987881,-0.0431493540405679,0.07598338271132968,-0.04120392903183967,0.12728746834061896,0.09640261074910787,0.1475317130286081,0.13425421674734625,0.046034929477578646,0.04259437153737653,-0.02473552958532521,0.15209770381033025,0.0411624382026755,0.035318206409798415,-0.11654848732845483,-0.030506781950515233,-0.06739640920438869,-0.03824523081834028,0.04394752204420392,0.019332746532884266,0.19952042823480212,-0.10436484180784152,0.19386588066368163,-0.09200179172012048,0.004538259981615211,0.007144211371626195,-0.03790690813137183,-0.014564407013139163,-0.09960637816453197,0.04896179828965176,0.09327493196135904,0.03475970399986894
PC8,-0.19101483455115725,-0.06202467547531469,0.024829373867682587,-0.18158447644876075,-0.07328691876204355,-0.04154328779470368,-0.03429937746655629,-0.1652280540281025,0.10945537592045322,0.08863816715493537,0.009380465234840107,0.3827373482869022,-0.0038721055972098907,0.21569468772053918,-0.18295658870919101,-0.009721901723114174,-0.03769603676807261,-0.08803956621660212,-0.18638239883203264,0.11308990979902914,0.055132866117249525,0.107595763115268,-0.22441245923664885,0.06571075662097767,-0.04400371814614405,-0.016149058513836235,-0.012105569457258936,-0.0665350253032526,0.01372402793201817,0.25233086778003455,0.19417620898830923,-0.20750041344301445
PC9,0.010231911296589003,-0.00878982440139644,-0.005580659887532283,0.19077544064025684,-0.08304816495474619,-0.19270138080931015,0.0918639379149817,-0.09721126809374188,0.021680945493164277,0.05394088972543485,-0.0726617843154427,-0.09034458812907312,-0.09504814867688999,-0.20998875783595822,-0.006590204959106197,-0.04640465115963031,-0.23658341118166804,0.09484777946598179,0.10272346613825274,-0.04705293314217508,0.183077493991242,-0.006814724255716162,-0.012282511165063495,0.05589424712900104,-0.07805056118138354,-0.026271577815188955,-0.0850403706008939,-0.014969647352437648,-0.20445936606401888,-0.09139711304454397,-0.0438983813564619,0.3562786277130318
PC10,-0.08026477649295426,-0.05541367386941202,-0.04992253131497153,-0.07142543160447379,-0.004064805826503726,0.1314598614002233,-0.09966190104986974,0.05899693850678219,0.06661333172971255,0.25112216408060123,0.22807092320740274,0.02917588682024731,-0.09683092063841414,0.08284570363002629,-0.023077263328882137,0.04325603890772696,-0.037017590920273104,0.022123920065150883,0.2551018241041186,0.14188817094923267,0.0661857824190528,0.0055103711913872784,0.11395454127651143,-0.03934434586510725,-0.14261738880189728,-0.007829917611802517,0.05470883725238731,0.20942428985998762,0.06494268978413306,-0.041313411398393084,-0.194324115598976,0.024632848344635687
