,F1,Accuracy,F1Species,AccuracySpecies,F1_global,Accuracy_global,F1Protection,AccProtection,recon_pear_primates,recon_pear_human,recon_r2_primates,recon_r2_human,latent_human_pear,latent_mouse_pear,KNNTranslationF1,ClassifierTranslationF1
0,0.981132075,0.972972973,1,1,0.981132075,0.972972973,0,0.324324324,0.818509758,0.931823254,0.005721074,0.738894522,0.007242426,-0.017373109,1,1
1,0.984126984,0.972222222,1,1,0.984126984,0.972222222,0.769230769,0.666666667,0.844731987,0.883894801,0.107771963,0.493415147,0.049378343,0.012236623,0.941176471,0.888888889
2,0.965517241,0.942857143,1,1,1,1,0.487804878,0.4,0.653599739,0.891700923,-1.051149011,0.611826658,0.054257467,-0.107635811,1,1
3,0.961538462,0.942857143,1,1,0.961538462,0.942857143,0.1875,0.257142857,0.596285403,0.934778392,-2.189484596,0.775002837,-0.004270265,0.078037784,1,1
4,1,1,1,1,1,1,0.807692308,0.714285714,0.74782443,0.902131796,-0.607623994,0.514858305,-0.000902312,0.046752322,1,1
5,0.981132075,0.971428571,1,1,0.981132075,0.971428571,0.230769231,0.428571429,0.853226542,0.911374032,0.037414335,0.679240525,-0.059243888,-0.12467169,1,1
6,1,1,1,1,1,1,0.935483871,0.885714286,0.876684606,0.818646669,0.016339036,0.189852789,0.085481264,0.064823538,1,1
7,0.983606557,0.971428571,1,1,0.983606557,0.971428571,0.680851064,0.571428571,0.571983755,0.918728828,-1.263152242,0.701861918,0.003248446,-0.055094779,0.933333333,1
8,0.970588235,0.942857143,1,1,0.970588235,0.942857143,0.708333333,0.6,0.620172083,0.898397267,-1.313767314,0.558291972,-0.085820891,0.058203086,1,0.933333333
9,1,1,1,1,1,1,0.847457627,0.742857143,0.821889877,0.92344296,-0.140907541,0.711504877,0.057578769,0.093642525,1,1
,,,,,,,,,,,,,,,,
,0.982764163,0.971662377,1,1,0.986212439,0.977376662,0.565512308,0.559099099,0.740490818,0.901491892,-0.639883829,0.597474955,0.010694936,0.004892049,0.98745098,0.982222222
